"Tanggal","SKU","Lokasi","Permintaan"
2023-02-01,"KK-ORI-BES-POU","Pabrik B",135
2023-02-01,"KK-ORI-KEC-SAC","Pabrik A",289
2023-02-01,"KK-ORI-KEC-SAC","Pabrik B",199
2023-02-01,"KK-ORI-SED-POU","Pabrik A",159
2023-02-01,"KK-ORI-SED-POU","Pabrik B",104
2023-02-01,"KK-ORI-SED-SAC","Pabrik A",263
2023-02-01,"KK-ORI-SED-SAC","Pabrik B",156
2023-02-01,"KK-PAP-BES-POU","Pabrik A",192
2023-02-01,"KK-PAP-BES-POU","Pabrik B",122
2023-02-01,"KK-PAP-KEC-SAC","Pabrik A",238
2023-02-01,"KK-PAP-KEC-SAC","Pabrik B",167
2023-02-01,"KK-PAP-SED-POU","Pabrik A",131
2023-02-01,"KK-PAP-SED-POU","Pabrik B",84
2023-02-01,"KK-PAP-SED-SAC","Pabrik A",214
2023-02-01,"KK-PAP-SED-SAC","Pabrik B",137
2023-02-01,"TB-JAS-BES-KAC","Pabrik A",397
2023-02-01,"TB-JAS-BES-KAC","Pabrik B",293
2023-02-01,"TB-JAS-KEC-PET","Pabrik A",467
2023-02-01,"TB-JAS-KEC-PET","Pabrik B",347
2023-02-01,"TB-JAS-SED-KAC","Pabrik A",347
2023-02-01,"TB-JAS-SED-KAC","Pabrik B",223
2023-02-01,"TB-JAS-SED-PET","Pabrik A",661
2023-02-01,"TB-JAS-SED-PET","Pabrik B",480
2023-02-01,"TB-PCH-BES-KAC","Pabrik A",286
2023-02-01,"TB-PCH-BES-KAC","Pabrik B",172
2023-02-01,"TB-PCH-KEC-PET","Pabrik A",297
2023-02-01,"TB-PCH-KEC-PET","Pabrik B",196
2023-02-01,"TB-PCH-SED-KAC","Pabrik A",192
2023-02-01,"TB-PCH-SED-KAC","Pabrik B",146
2023-02-01,"TB-PCH-SED-PET","Pabrik A",351
2023-02-01,"TB-PCH-SED-PET","Pabrik B",272
2023-03-01,"KK-ORI-BES-POU","Pabrik A",390
2023-03-01,"KK-ORI-BES-POU","Pabrik B",283
2023-03-01,"KK-ORI-KEC-SAC","Pabrik A",306
2023-03-01,"KK-ORI-KEC-SAC","Pabrik B",219
2023-03-01,"KK-ORI-SED-POU","Pabrik A",170
2023-03-01,"KK-ORI-SED-POU","Pabrik B",97
2023-03-01,"KK-ORI-SED-SAC","Pabrik A",259
2023-03-01,"KK-ORI-SED-SAC","Pabrik B",187
2023-03-01,"KK-PAP-BES-POU","Pabrik A",183
2023-03-01,"KK-PAP-BES-POU","Pabrik B",98
2023-03-01,"KK-PAP-KEC-SAC","Pabrik A",248
2023-03-01,"KK-PAP-KEC-SAC","Pabrik B",163
2023-03-01,"KK-PAP-SED-POU","Pabrik A",133
2023-03-01,"KK-PAP-SED-POU","Pabrik B",78
2023-03-01,"KK-PAP-SED-SAC","Pabrik A",205
2023-03-01,"KK-PAP-SED-SAC","Pabrik B",154
2023-03-01,"TB-JAS-BES-KAC","Pabrik A",449
2023-03-01,"TB-JAS-BES-KAC","Pabrik B",306
2023-03-01,"TB-JAS-KEC-PET","Pabrik A",509
2023-03-01,"TB-JAS-KEC-PET","Pabrik B",358
2023-03-01,"TB-JAS-SED-KAC","Pabrik A",319
2023-03-01,"TB-JAS-SED-KAC","Pabrik B",249
2023-03-01,"TB-JAS-SED-PET","Pabrik A",720
2023-03-01,"TB-JAS-SED-PET","Pabrik B",500
2023-03-01,"TB-PCH-BES-KAC","Pabrik A",245
2023-03-01,"TB-PCH-BES-KAC","Pabrik B",208
2023-03-01,"TB-PCH-KEC-PET","Pabrik A",392
2023-03-01,"TB-PCH-KEC-PET","Pabrik B",227
2023-03-01,"TB-PCH-SED-KAC","Pabrik A",289
2023-03-01,"TB-PCH-SED-KAC","Pabrik B",154
2023-03-01,"TB-PCH-SED-PET","Pabrik A",446
2023-03-01,"TB-PCH-SED-PET","Pabrik B",276
2023-04-01,"KK-ORI-BES-POU","Pabrik A",284
2023-04-01,"KK-ORI-BES-POU","Pabrik B",171
2023-04-01,"KK-ORI-KEC-SAC","Pabrik A",328
2023-04-01,"KK-ORI-KEC-SAC","Pabrik B",196
2023-04-01,"KK-ORI-SED-POU","Pabrik A",177
2023-04-01,"KK-ORI-SED-POU","Pabrik B",118
2023-04-01,"KK-ORI-SED-SAC","Pabrik A",293
2023-04-01,"KK-ORI-SED-SAC","Pabrik B",197
2023-04-01,"KK-PAP-BES-POU","Pabrik A",232
2023-04-01,"KK-PAP-BES-POU","Pabrik B",135
2023-04-01,"KK-PAP-KEC-SAC","Pabrik A",273
2023-04-01,"KK-PAP-KEC-SAC","Pabrik B",163
2023-04-01,"KK-PAP-SED-POU","Pabrik A",134
2023-04-01,"KK-PAP-SED-POU","Pabrik B",101
2023-04-01,"KK-PAP-SED-SAC","Pabrik A",295
2023-04-01,"KK-PAP-SED-SAC","Pabrik B",174
2023-04-01,"TB-JAS-BES-KAC","Pabrik A",550
2023-04-01,"TB-JAS-BES-KAC","Pabrik B",344
2023-04-01,"TB-JAS-KEC-PET","Pabrik A",173
2023-04-01,"TB-JAS-KEC-PET","Pabrik B",396
2023-04-01,"TB-JAS-SED-KAC","Pabrik A",382
2023-04-01,"TB-JAS-SED-KAC","Pabrik B",241
2023-04-01,"TB-JAS-SED-PET","Pabrik A",698
2023-04-01,"TB-JAS-SED-PET","Pabrik B",516
2023-04-01,"TB-PCH-BES-KAC","Pabrik A",333
2023-04-01,"TB-PCH-BES-KAC","Pabrik B",232
2023-04-01,"TB-PCH-KEC-PET","Pabrik A",361
2023-04-01,"TB-PCH-KEC-PET","Pabrik B",251
2023-04-01,"TB-PCH-SED-KAC","Pabrik A",254
2023-04-01,"TB-PCH-SED-KAC","Pabrik B",179
2023-04-01,"TB-PCH-SED-PET","Pabrik A",505
2023-04-01,"TB-PCH-SED-PET","Pabrik B",337
2023-05-01,"KK-ORI-BES-POU","Pabrik A",265
2023-05-01,"KK-ORI-BES-POU","Pabrik B",172
2023-05-01,"KK-ORI-KEC-SAC","Pabrik A",345
2023-05-01,"KK-ORI-KEC-SAC","Pabrik B",199
2023-05-01,"KK-ORI-SED-POU","Pabrik A",176
2023-05-01,"KK-ORI-SED-POU","Pabrik B",132
2023-05-01,"KK-ORI-SED-SAC","Pabrik A",336
2023-05-01,"KK-ORI-SED-SAC","Pabrik B",241
2023-05-01,"KK-PAP-BES-POU","Pabrik A",246
2023-05-01,"KK-PAP-BES-POU","Pabrik B",138
2023-05-01,"KK-PAP-KEC-SAC","Pabrik A",319
2023-05-01,"KK-PAP-KEC-SAC","Pabrik B",215
2023-05-01,"KK-PAP-SED-POU","Pabrik A",172
2023-05-01,"KK-PAP-SED-POU","Pabrik B",105
2023-05-01,"KK-PAP-SED-SAC","Pabrik A",279
2023-05-01,"KK-PAP-SED-SAC","Pabrik B",191
2023-05-01,"TB-JAS-BES-KAC","Pabrik A",637
2023-05-01,"TB-JAS-BES-KAC","Pabrik B",368
2023-05-01,"TB-JAS-KEC-PET","Pabrik A",563
2023-05-01,"TB-JAS-KEC-PET","Pabrik B",367
2023-05-01,"TB-JAS-SED-KAC","Pabrik A",460
2023-05-01,"TB-JAS-SED-KAC","Pabrik B",326
2023-05-01,"TB-JAS-SED-PET","Pabrik A",760
2023-05-01,"TB-JAS-SED-PET","Pabrik B",592
2023-05-01,"TB-PCH-BES-KAC","Pabrik A",357
2023-05-01,"TB-PCH-BES-KAC","Pabrik B",240
2023-05-01,"TB-PCH-KEC-PET","Pabrik A",368
2023-05-01,"TB-PCH-KEC-PET","Pabrik B",258
2023-05-01,"TB-PCH-SED-KAC","Pabrik A",312
2023-05-01,"TB-PCH-SED-KAC","Pabrik B",190
2023-05-01,"TB-PCH-SED-PET","Pabrik A",510
2023-05-01,"TB-PCH-SED-PET","Pabrik B",340
2023-06-01,"KK-ORI-BES-POU","Pabrik A",326
2023-06-01,"KK-ORI-BES-POU","Pabrik B",200
2023-06-01,"KK-ORI-KEC-SAC","Pabrik A",382
2023-06-01,"KK-ORI-KEC-SAC","Pabrik B",274
2023-06-01,"KK-ORI-SED-POU","Pabrik A",225
2023-06-01,"KK-ORI-SED-POU","Pabrik B",155
2023-06-01,"KK-ORI-SED-SAC","Pabrik A",354
2023-06-01,"KK-ORI-SED-SAC","Pabrik B",238
2023-06-01,"KK-PAP-BES-POU","Pabrik A",243
2023-06-01,"KK-PAP-BES-POU","Pabrik B",170
2023-06-01,"KK-PAP-KEC-SAC","Pabrik A",292
2023-06-01,"KK-PAP-KEC-SAC","Pabrik B",212
2023-06-01,"KK-PAP-SED-POU","Pabrik A",195
2023-06-01,"KK-PAP-SED-POU","Pabrik B",120
2023-06-01,"KK-PAP-SED-SAC","Pabrik A",281
2023-06-01,"KK-PAP-SED-SAC","Pabrik B",191
2023-06-01,"TB-JAS-BES-KAC","Pabrik A",678
2023-06-01,"TB-JAS-BES-KAC","Pabrik B",381
2023-06-01,"TB-JAS-KEC-PET","Pabrik A",633
2023-06-01,"TB-JAS-KEC-PET","Pabrik B",419
2023-06-01,"TB-JAS-SED-KAC","Pabrik A",463
2023-06-01,"TB-JAS-SED-KAC","Pabrik B",292
2023-06-01,"TB-JAS-SED-PET","Pabrik A",887
2023-06-01,"TB-JAS-SED-PET","Pabrik B",617
2023-06-01,"TB-PCH-BES-KAC","Pabrik A",390
2023-06-01,"TB-PCH-BES-KAC","Pabrik B",267
2023-06-01,"TB-PCH-KEC-PET","Pabrik A",449
2023-06-01,"TB-PCH-KEC-PET","Pabrik B",257
2023-06-01,"TB-PCH-SED-KAC","Pabrik A",305
2023-06-01,"TB-PCH-SED-KAC","Pabrik B",203
2023-06-01,"TB-PCH-SED-PET","Pabrik A",624
2023-06-01,"TB-PCH-SED-PET","Pabrik B",145
2023-07-01,"KK-ORI-BES-POU","Pabrik A",302
2023-07-01,"KK-ORI-BES-POU","Pabrik B",206
2023-07-01,"KK-ORI-KEC-SAC","Pabrik A",333
2023-07-01,"KK-ORI-KEC-SAC","Pabrik B",224
2023-07-01,"KK-ORI-SED-POU","Pabrik A",210
2023-07-01,"KK-ORI-SED-POU","Pabrik B",142
2023-07-01,"KK-ORI-SED-SAC","Pabrik A",353
2023-07-01,"KK-ORI-SED-SAC","Pabrik B",243
2023-07-01,"KK-PAP-BES-POU","Pabrik A",236
2023-07-01,"KK-PAP-BES-POU","Pabrik B",158
2023-07-01,"KK-PAP-KEC-SAC","Pabrik A",270
2023-07-01,"KK-PAP-KEC-SAC","Pabrik B",218
2023-07-01,"KK-PAP-SED-POU","Pabrik A",189
2023-07-01,"KK-PAP-SED-POU","Pabrik B",113
2023-07-01,"KK-PAP-SED-SAC","Pabrik A",270
2023-07-01,"KK-PAP-SED-SAC","Pabrik B",179
2023-07-01,"TB-JAS-BES-KAC","Pabrik A",495
2023-07-01,"TB-JAS-BES-KAC","Pabrik B",323
2023-07-01,"TB-JAS-KEC-PET","Pabrik A",557
2023-07-01,"TB-JAS-KEC-PET","Pabrik B",402
2023-07-01,"TB-JAS-SED-KAC","Pabrik A",447
2023-07-01,"TB-JAS-SED-KAC","Pabrik B",296
2023-07-01,"TB-JAS-SED-PET","Pabrik A",783
2023-07-01,"TB-JAS-SED-PET","Pabrik B",579
2023-07-01,"TB-PCH-BES-KAC","Pabrik A",385
2023-07-01,"TB-PCH-BES-KAC","Pabrik B",255
2023-07-01,"TB-PCH-KEC-PET","Pabrik A",692
2023-07-01,"TB-PCH-KEC-PET","Pabrik B",256
2023-07-01,"TB-PCH-SED-KAC","Pabrik A",337
2023-07-01,"TB-PCH-SED-KAC","Pabrik B",213
2023-07-01,"TB-PCH-SED-PET","Pabrik A",543
2023-07-01,"TB-PCH-SED-PET","Pabrik B",375
2023-08-01,"KK-ORI-BES-POU","Pabrik A",277
2023-08-01,"KK-ORI-BES-POU","Pabrik B",175
2023-08-01,"KK-ORI-KEC-SAC","Pabrik A",349
2023-08-01,"KK-ORI-KEC-SAC","Pabrik B",234
2023-08-01,"KK-ORI-SED-POU","Pabrik A",194
2023-08-01,"KK-ORI-SED-POU","Pabrik B",129
2023-08-01,"KK-ORI-SED-SAC","Pabrik A",321
2023-08-01,"KK-ORI-SED-SAC","Pabrik B",180
2023-08-01,"KK-PAP-BES-POU","Pabrik A",211
2023-08-01,"KK-PAP-BES-POU","Pabrik B",135
2023-08-01,"KK-PAP-KEC-SAC","Pabrik A",282
2023-08-01,"KK-PAP-KEC-SAC","Pabrik B",178
2023-08-01,"KK-PAP-SED-POU","Pabrik A",166
2023-08-01,"KK-PAP-SED-POU","Pabrik B",97
2023-08-01,"KK-PAP-SED-SAC","Pabrik A",239
2023-08-01,"KK-PAP-SED-SAC","Pabrik B",180
2023-08-01,"TB-JAS-BES-KAC","Pabrik A",561
2023-08-01,"TB-JAS-BES-KAC","Pabrik B",366
2023-08-01,"TB-JAS-KEC-PET","Pabrik A",578
2023-08-01,"TB-JAS-KEC-PET","Pabrik B",390
2023-08-01,"TB-JAS-SED-KAC","Pabrik A",412
2023-08-01,"TB-JAS-SED-KAC","Pabrik B",297
2023-08-01,"TB-JAS-SED-PET","Pabrik A",751
2023-08-01,"TB-JAS-SED-PET","Pabrik B",450
2023-08-01,"TB-PCH-BES-KAC","Pabrik A",328
2023-08-01,"TB-PCH-BES-KAC","Pabrik B",252
2023-08-01,"TB-PCH-KEC-PET","Pabrik A",377
2023-08-01,"TB-PCH-KEC-PET","Pabrik B",245
2023-08-01,"TB-PCH-SED-KAC","Pabrik A",285
2023-08-01,"TB-PCH-SED-KAC","Pabrik B",180
2023-08-01,"TB-PCH-SED-PET","Pabrik A",512
2023-08-01,"TB-PCH-SED-PET","Pabrik B",349
2023-09-01,"KK-ORI-BES-POU","Pabrik A",309
2023-09-01,"KK-ORI-BES-POU","Pabrik B",201
2023-09-01,"KK-ORI-KEC-SAC","Pabrik A",339
2023-09-01,"KK-ORI-KEC-SAC","Pabrik B",247
2023-09-01,"KK-ORI-SED-POU","Pabrik A",199
2023-09-01,"KK-ORI-SED-POU","Pabrik B",105
2023-09-01,"KK-ORI-SED-SAC","Pabrik A",336
2023-09-01,"KK-ORI-SED-SAC","Pabrik B",195
2023-09-01,"KK-PAP-BES-POU","Pabrik A",208
2023-09-01,"KK-PAP-BES-POU","Pabrik B",150
2023-09-01,"KK-PAP-KEC-SAC","Pabrik A",301
2023-09-01,"KK-PAP-KEC-SAC","Pabrik B",179
2023-09-01,"KK-PAP-SED-POU","Pabrik A",161
2023-09-01,"KK-PAP-SED-POU","Pabrik B",111
2023-09-01,"KK-PAP-SED-SAC","Pabrik A",209
2023-09-01,"KK-PAP-SED-SAC","Pabrik B",174
2023-09-01,"TB-JAS-BES-KAC","Pabrik A",539
2023-09-01,"TB-JAS-BES-KAC","Pabrik B",380
2023-09-01,"TB-JAS-KEC-PET","Pabrik A",287
2023-09-01,"TB-JAS-KEC-PET","Pabrik B",383
2023-09-01,"TB-JAS-SED-KAC","Pabrik A",456
2023-09-01,"TB-JAS-SED-KAC","Pabrik B",311
2023-09-01,"TB-JAS-SED-PET","Pabrik A",798
2023-09-01,"TB-JAS-SED-PET","Pabrik B",528
2023-09-01,"TB-PCH-BES-KAC","Pabrik A",368
2023-09-01,"TB-PCH-BES-KAC","Pabrik B",270
2023-09-01,"TB-PCH-KEC-PET","Pabrik A",400
2023-09-01,"TB-PCH-KEC-PET","Pabrik B",264
2023-09-01,"TB-PCH-SED-KAC","Pabrik A",265
2023-09-01,"TB-PCH-SED-KAC","Pabrik B",192
2023-09-01,"TB-PCH-SED-PET","Pabrik A",551
2023-09-01,"TB-PCH-SED-PET","Pabrik B",365
2023-10-01,"KK-ORI-BES-POU","Pabrik A",297
2023-10-01,"KK-ORI-BES-POU","Pabrik B",227
2023-10-01,"KK-ORI-KEC-SAC","Pabrik A",359
2023-10-01,"KK-ORI-KEC-SAC","Pabrik B",252
2023-10-01,"KK-ORI-SED-POU","Pabrik A",227
2023-10-01,"KK-ORI-SED-POU","Pabrik B",139
2023-10-01,"KK-ORI-SED-SAC","Pabrik A",309
2023-10-01,"KK-ORI-SED-SAC","Pabrik B",212
2023-10-01,"KK-PAP-BES-POU","Pabrik A",277
2023-10-01,"KK-PAP-BES-POU","Pabrik B",162
2023-10-01,"KK-PAP-KEC-SAC","Pabrik A",343
2023-10-01,"KK-PAP-KEC-SAC","Pabrik B",206
2023-10-01,"KK-PAP-SED-POU","Pabrik A",189
2023-10-01,"KK-PAP-SED-POU","Pabrik B",110
2023-10-01,"KK-PAP-SED-SAC","Pabrik A",301
2023-10-01,"KK-PAP-SED-SAC","Pabrik B",176
2023-10-01,"TB-JAS-BES-KAC","Pabrik A",546
2023-10-01,"TB-JAS-BES-KAC","Pabrik B",377
2023-10-01,"TB-JAS-KEC-PET","Pabrik A",598
2023-10-01,"TB-JAS-KEC-PET","Pabrik B",440
2023-10-01,"TB-JAS-SED-KAC","Pabrik A",1309
2023-10-01,"TB-JAS-SED-KAC","Pabrik B",301
2023-10-01,"TB-JAS-SED-PET","Pabrik A",910
2023-10-01,"TB-JAS-SED-PET","Pabrik B",572
2023-10-01,"TB-PCH-BES-KAC","Pabrik A",437
2023-10-01,"TB-PCH-BES-KAC","Pabrik B",256
2023-10-01,"TB-PCH-KEC-PET","Pabrik A",696
2023-10-01,"TB-PCH-KEC-PET","Pabrik B",276
2023-10-01,"TB-PCH-SED-KAC","Pabrik A",307
2023-10-01,"TB-PCH-SED-KAC","Pabrik B",219
2023-10-01,"TB-PCH-SED-PET","Pabrik A",595
2023-10-01,"TB-PCH-SED-PET","Pabrik B",431
2023-11-01,"KK-ORI-BES-POU","Pabrik A",422
2023-11-01,"KK-ORI-BES-POU","Pabrik B",376
2023-11-01,"KK-ORI-KEC-SAC","Pabrik A",408
2023-11-01,"KK-ORI-KEC-SAC","Pabrik B",274
2023-11-01,"KK-ORI-SED-POU","Pabrik A",256
2023-11-01,"KK-ORI-SED-POU","Pabrik B",161
2023-11-01,"KK-ORI-SED-SAC","Pabrik A",390
2023-11-01,"KK-ORI-SED-SAC","Pabrik B",123
2023-11-01,"KK-PAP-BES-POU","Pabrik A",283
2023-11-01,"KK-PAP-BES-POU","Pabrik B",198
2023-11-01,"KK-PAP-KEC-SAC","Pabrik A",364
2023-11-01,"KK-PAP-KEC-SAC","Pabrik B",228
2023-11-01,"KK-PAP-SED-POU","Pabrik A",197
2023-11-01,"KK-PAP-SED-POU","Pabrik B",146
2023-11-01,"KK-PAP-SED-SAC","Pabrik A",312
2023-11-01,"KK-PAP-SED-SAC","Pabrik B",183
2023-11-01,"TB-JAS-BES-KAC","Pabrik A",787
2023-11-01,"TB-JAS-BES-KAC","Pabrik B",443
2023-11-01,"TB-JAS-KEC-PET","Pabrik A",761
2023-11-01,"TB-JAS-KEC-PET","Pabrik B",440
2023-11-01,"TB-JAS-SED-KAC","Pabrik A",544
2023-11-01,"TB-JAS-SED-KAC","Pabrik B",364
2023-11-01,"TB-JAS-SED-PET","Pabrik A",999
2023-11-01,"TB-JAS-SED-PET","Pabrik B",927
2023-11-01,"TB-PCH-BES-KAC","Pabrik A",475
2023-11-01,"TB-PCH-BES-KAC","Pabrik B",326
2023-11-01,"TB-PCH-KEC-PET","Pabrik A",471
2023-11-01,"TB-PCH-KEC-PET","Pabrik B",185
2023-11-01,"TB-PCH-SED-KAC","Pabrik A",373
2023-11-01,"TB-PCH-SED-KAC","Pabrik B",247
2023-11-01,"TB-PCH-SED-PET","Pabrik A",674
2023-11-01,"TB-PCH-SED-PET","Pabrik B",430
2023-12-01,"KK-ORI-BES-POU","Pabrik A",352
2023-12-01,"KK-ORI-BES-POU","Pabrik B",264
2023-12-01,"KK-ORI-KEC-SAC","Pabrik A",817
2023-12-01,"KK-ORI-KEC-SAC","Pabrik B",300
2023-12-01,"KK-ORI-SED-POU","Pabrik A",435
2023-12-01,"KK-ORI-SED-POU","Pabrik B",194
2023-12-01,"KK-ORI-SED-SAC","Pabrik A",457
2023-12-01,"KK-ORI-SED-SAC","Pabrik B",289
2023-12-01,"KK-PAP-BES-POU","Pabrik A",278
2023-12-01,"KK-PAP-BES-POU","Pabrik B",192
2023-12-01,"KK-PAP-KEC-SAC","Pabrik A",305
2023-12-01,"KK-PAP-KEC-SAC","Pabrik B",264
2023-12-01,"KK-PAP-SED-POU","Pabrik A",238
2023-12-01,"KK-PAP-SED-POU","Pabrik B",159
2023-12-01,"KK-PAP-SED-SAC","Pabrik A",336
2023-12-01,"KK-PAP-SED-SAC","Pabrik B",228
2023-12-01,"TB-JAS-BES-KAC","Pabrik A",791
2023-12-01,"TB-JAS-BES-KAC","Pabrik B",573
2023-12-01,"TB-JAS-KEC-PET","Pabrik A",760
2023-12-01,"TB-JAS-KEC-PET","Pabrik B",553
2023-12-01,"TB-JAS-SED-KAC","Pabrik A",510
2023-12-01,"TB-JAS-SED-KAC","Pabrik B",381
2023-12-01,"TB-JAS-SED-PET","Pabrik A",1051
2023-12-01,"TB-JAS-SED-PET","Pabrik B",641
2023-12-01,"TB-PCH-BES-KAC","Pabrik A",508
2023-12-01,"TB-PCH-BES-KAC","Pabrik B",304
2023-12-01,"TB-PCH-KEC-PET","Pabrik A",480
2023-12-01,"TB-PCH-KEC-PET","Pabrik B",366
2023-12-01,"TB-PCH-SED-KAC","Pabrik A",427
2023-12-01,"TB-PCH-SED-KAC","Pabrik B",274
2023-12-01,"TB-PCH-SED-PET","Pabrik A",632
2023-12-01,"TB-PCH-SED-PET","Pabrik B",463
2024-01-01,"KK-ORI-BES-POU","Pabrik A",224
2024-01-01,"KK-ORI-BES-POU","Pabrik B",152
2024-01-01,"KK-ORI-KEC-SAC","Pabrik A",239
2024-01-01,"KK-ORI-KEC-SAC","Pabrik B",162
2024-01-01,"KK-ORI-SED-POU","Pabrik A",155
2024-01-01,"KK-ORI-SED-POU","Pabrik B",105
2024-01-01,"KK-ORI-SED-SAC","Pabrik A",244
2024-01-01,"KK-ORI-SED-SAC","Pabrik B",150
2024-01-01,"KK-PAP-BES-POU","Pabrik A",182
2024-01-01,"KK-PAP-BES-POU","Pabrik B",123
2024-01-01,"KK-PAP-KEC-SAC","Pabrik A",232
2024-01-01,"KK-PAP-KEC-SAC","Pabrik B",144
2024-01-01,"KK-PAP-SED-POU","Pabrik A",130
2024-01-01,"KK-PAP-SED-POU","Pabrik B",86
2024-01-01,"KK-PAP-SED-SAC","Pabrik A",199
2024-01-01,"KK-PAP-SED-SAC","Pabrik B",135
2024-01-01,"TB-JAS-BES-KAC","Pabrik A",482
2024-01-01,"TB-JAS-BES-KAC","Pabrik B",305
2024-01-01,"TB-JAS-KEC-PET","Pabrik A",406
2024-01-01,"TB-JAS-KEC-PET","Pabrik B",902
2024-01-01,"TB-JAS-SED-KAC","Pabrik A",373
2024-01-01,"TB-JAS-SED-KAC","Pabrik B",231
2024-01-01,"TB-JAS-SED-PET","Pabrik A",705
2024-01-01,"TB-JAS-SED-PET","Pabrik B",677
2024-01-01,"TB-PCH-BES-KAC","Pabrik A",311
2024-01-01,"TB-PCH-BES-KAC","Pabrik B",239
2024-01-01,"TB-PCH-KEC-PET","Pabrik A",342
2024-01-01,"TB-PCH-KEC-PET","Pabrik B",209
2024-01-01,"TB-PCH-SED-KAC","Pabrik A",221
2024-01-01,"TB-PCH-SED-KAC","Pabrik B",159
2024-01-01,"TB-PCH-SED-PET","Pabrik A",380
2024-01-01,"TB-PCH-SED-PET","Pabrik B",295
2024-02-01,"KK-ORI-BES-POU","Pabrik A",122
2024-02-01,"KK-ORI-BES-POU","Pabrik B",156
2024-02-01,"KK-ORI-KEC-SAC","Pabrik A",290
2024-02-01,"KK-ORI-KEC-SAC","Pabrik B",181
2024-02-01,"KK-ORI-SED-POU","Pabrik A",154
2024-02-01,"KK-ORI-SED-POU","Pabrik B",103
2024-02-01,"KK-ORI-SED-SAC","Pabrik A",269
2024-02-01,"KK-ORI-SED-SAC","Pabrik B",191
2024-02-01,"KK-PAP-BES-POU","Pabrik A",197
2024-02-01,"KK-PAP-BES-POU","Pabrik B",135
2024-02-01,"KK-PAP-KEC-SAC","Pabrik A",239
2024-02-01,"KK-PAP-KEC-SAC","Pabrik B",145
2024-02-01,"KK-PAP-SED-POU","Pabrik A",124
2024-02-01,"KK-PAP-SED-POU","Pabrik B",91
2024-02-01,"KK-PAP-SED-SAC","Pabrik A",196
2024-02-01,"KK-PAP-SED-SAC","Pabrik B",145
2024-02-01,"TB-JAS-BES-KAC","Pabrik A",472
2024-02-01,"TB-JAS-BES-KAC","Pabrik B",359
2024-02-01,"TB-JAS-KEC-PET","Pabrik A",424
2024-02-01,"TB-JAS-KEC-PET","Pabrik B",275
2024-02-01,"TB-JAS-SED-KAC","Pabrik A",376
2024-02-01,"TB-JAS-SED-KAC","Pabrik B",236
2024-02-01,"TB-JAS-SED-PET","Pabrik A",717
2024-02-01,"TB-JAS-SED-PET","Pabrik B",433
2024-02-01,"TB-PCH-BES-KAC","Pabrik A",323
2024-02-01,"TB-PCH-BES-KAC","Pabrik B",219
2024-02-01,"TB-PCH-KEC-PET","Pabrik A",327
2024-02-01,"TB-PCH-KEC-PET","Pabrik B",216
2024-02-01,"TB-PCH-SED-KAC","Pabrik A",296
2024-02-01,"TB-PCH-SED-KAC","Pabrik B",169
2024-02-01,"TB-PCH-SED-PET","Pabrik A",460
2024-02-01,"TB-PCH-SED-PET","Pabrik B",318
2024-03-01,"KK-ORI-BES-POU","Pabrik A",248
2024-03-01,"KK-ORI-BES-POU","Pabrik B",201
2024-03-01,"KK-ORI-KEC-SAC","Pabrik A",290
2024-03-01,"KK-ORI-KEC-SAC","Pabrik B",205
2024-03-01,"KK-ORI-SED-POU","Pabrik A",183
