"Tanggal","Produk","Permintaan","Aterpen","StokBegint","StokEnd","Stockout","Defisit"
2025-01-23,"P-06",64,455,2337,2273,0,0
2025-01-24,"P-01",13,0,38,25,0,0
2025-01-24,"P-02",3,0,11,8,0,0
2025-01-24,"P-03",33,0,281,248,0,0
2025-01-24,"P-04",39,0,573,534,0,0
2025-01-24,"P-05",51,0,1584,1533,0,0
2025-01-24,"P-06",63,0,2273,2210,0,0
2025-01-25,"P-01",9,0,25,16,0,0
2025-01-25,"P-02",12,63,71,59,0,0
2025-01-25,"P-03",37,210,458,421,0,0
2025-01-25,"P-04",45,0,534,489,0,0
2025-01-25,"P-05",55,0,1533,1478,0,0
2025-01-25,"P-06",70,0,2210,2140,0,0
2025-01-27,"P-01",3,42,58,55,0,0
2025-01-27,"P-02",18,0,59,41,0,0
2025-01-27,"P-03",26,0,421,395,0,0
2025-01-27,"P-04",35,0,489,454,0,0
2025-01-27,"P-05",48,385,1863,1815,0,0
2025-01-27,"P-06",68,0,2140,2072,0,0
2025-01-28,"P-01",13,0,55,42,0,0
2025-01-28,"P-02",8,0,41,33,0,0
2025-01-28,"P-03",36,0,395,359,0,0
2025-01-28,"P-04",36,0,454,418,0,0
2025-01-28,"P-05",48,0,1815,1767,0,0
2025-01-28,"P-06",69,455,2527,2458,0,0
2025-01-29,"P-01",5,0,42,37,0,0
2025-01-29,"P-02",5,63,96,91,0,0
2025-01-29,"P-03",23,0,359,336,0,0
2025-01-29,"P-04",36,0,418,382,0,0
2025-01-29,"P-05",55,385,2152,2097,0,0
2025-01-29,"P-06",62,0,2458,2396,0,0
2025-01-30,"P-01",8,0,37,29,0,0
2025-01-30,"P-02",6,0,91,85,0,0
2025-01-30,"P-03",37,0,336,299,0,0
2025-01-30,"P-04",40,0,382,342,0,0
2025-01-30,"P-05",48,0,2097,2049,0,0
2025-01-30,"P-06",58,0,2396,2338,0,0
2025-01-31,"P-01",8,0,29,21,0,0
2025-01-31,"P-02",9,0,85,76,0,0
2025-01-31,"P-03",32,210,509,477,0,0
2025-01-31,"P-04",44,0,342,298,0,0
2025-01-31,"P-05",59,0,2049,1990,0,0
2025-01-31,"P-06",62,0,2338,2276,0,0
2025-02-01,"P-01",6,0,21,15,0,0
2025-02-01,"P-02",14,0,76,62,0,0
2025-02-01,"P-03",30,0,477,447,0,0
2025-02-01,"P-04",47,280,578,531,0,0
2025-02-01,"P-05",52,0,1990,1938,0,0
2025-02-01,"P-06",68,0,2276,2208,0,0
2025-02-03,"P-01",5,0,15,10,0,0
2025-02-03,"P-02",11,0,62,51,0,0
2025-02-03,"P-03",23,0,447,424,0,0
2025-02-03,"P-04",34,0,531,497,0,0
2025-02-03,"P-05",56,0,1938,1882,0,0
2025-02-03,"P-06",58,0,2208,2150,0,0
2025-02-04,"P-01",7,0,10,3,0,0
2025-02-04,"P-02",14,63,114,100,0,0
2025-02-04,"P-03",32,0,424,392,0,0
2025-02-04,"P-04",35,0,497,462,0,0
2025-02-04,"P-05",52,0,1882,1830,0,0
2025-02-04,"P-06",64,0,2150,2086,0,0
2025-02-05,"P-01",7,0,3,0,1,4
2025-02-05,"P-02",28,0,100,72,0,0
2025-02-05,"P-03",25,0,392,367,0,0
2025-02-05,"P-04",35,0,462,427,0,0
2025-02-05,"P-05",49,0,1830,1781,0,0
2025-02-05,"P-06",66,0,2086,2020,0,0
2025-02-06,"P-01",0,0,0,0,0,0
2025-02-06,"P-02",6,0,72,66,0,0
2025-02-06,"P-03",26,0,367,341,0,0
2025-02-06,"P-04",46,0,427,381,0,0
2025-02-06,"P-05",47,0,1781,1734,0,0
2025-02-06,"P-06",55,0,2020,1965,0,0
2025-02-07,"P-01",5,0,0,0,1,5
2025-02-07,"P-02",14,0,66,52,0,0
2025-02-07,"P-03",26,0,341,315,0,0
2025-02-07,"P-04",37,280,661,624,0,0
2025-02-07,"P-05",57,0,1734,1677,0,0
2025-02-07,"P-06",65,0,1965,1900,0,0
2025-02-08,"P-01",2,0,0,0,1,2
2025-02-08,"P-02",18,0,52,34,0,0
2025-02-08,"P-03",27,0,315,288,0,0
2025-02-08,"P-04",41,0,624,583,0,0
2025-02-08,"P-05",56,0,1677,1621,0,0
2025-02-08,"P-06",69,0,1900,1831,0,0
2025-02-10,"P-01",0,0,0,0,0,0
2025-02-10,"P-02",2,0,34,32,0,0
2025-02-10,"P-03",32,210,498,466,0,0
2025-02-10,"P-04",43,0,583,540,0,0
2025-02-10,"P-05",55,0,1621,1566,0,0
2025-02-10,"P-06",74,0,1831,1757,0,0
2025-02-11,"P-01",3,0,0,0,1,3
2025-02-11,"P-02",2,0,32,30,0,0
2025-02-11,"P-03",29,0,466,437,0,0
2025-02-11,"P-04",42,0,540,498,0,0
2025-02-11,"P-05",55,0,1566,1511,0,0
2025-02-11,"P-06",55,0,1757,1702,0,0
2025-02-12,"P-01",10,0,0,0,1,10
2025-02-12,"P-02",18,0,30,12,0,0
2025-02-12,"P-03",34,0,437,403,0,0
2025-02-12,"P-04",37,0,498,461,0,0
2025-02-12,"P-05",60,0,1511,1451,0,0
2025-02-12,"P-06",54,0,1702,1648,0,0
2025-02-13,"P-01",12,0,0,0,1,12
2025-02-13,"P-02",5,0,12,7,0,0
2025-02-13,"P-03",26,0,403,377,0,0
2025-02-13,"P-04",40,0,461,421,0,0
2025-02-13,"P-05",61,0,1451,1390,0,0
2025-02-13,"P-06",60,455,2103,2043,0,0
2025-02-14,"P-01",2,0,0,0,1,2
2025-02-14,"P-02",1,63,70,69,0,0
2025-02-14,"P-03",24,210,587,563,0,0
2025-02-14,"P-04",42,0,421,379,0,0
2025-02-14,"P-05",56,385,1775,1719,0,0
2025-02-14,"P-06",70,0,2043,1973,0,0
2025-02-15,"P-01",4,0,0,0,1,4
2025-02-15,"P-02",6,0,69,63,0,0
2025-02-15,"P-03",32,0,563,531,0,0
2025-02-15,"P-04",35,0,379,344,0,0
2025-02-15,"P-05",60,0,1719,1659,0,0
2025-02-15,"P-06",69,0,1973,1904,0,0
2025-02-17,"P-01",10,84,84,74,0,0
2025-02-17,"P-02",19,0,63,44,0,0
2025-02-17,"P-03",38,0,531,493,0,0
2025-02-17,"P-04",42,0,344,302,0,0
2025-02-17,"P-05",59,0,1659,1600,0,0
2025-02-17,"P-06",66,0,1904,1838,0,0
2025-02-18,"P-01",0,0,74,74,0,0
2025-02-18,"P-02",17,0,44,27,0,0
2025-02-18,"P-03",23,0,493,470,0,0
2025-02-18,"P-04",34,0,302,268,0,0
2025-02-18,"P-05",50,0,1600,1550,0,0
2025-02-18,"P-06",58,0,1838,1780,0,0
2025-02-19,"P-01",3,0,74,71,0,0
2025-02-19,"P-02",3,0,27,24,0,0
2025-02-19,"P-03",40,0,470,430,0,0
2025-02-19,"P-04",45,0,268,223,0,0
2025-02-19,"P-05",48,0,1550,1502,0,0
2025-02-19,"P-06",61,455,2235,2174,0,0
2025-02-20,"P-01",5,0,71,66,0,0
2025-02-20,"P-02",18,63,87,69,0,0
2025-02-20,"P-03",25,0,430,405,0,0
2025-02-20,"P-04",42,280,503,461,0,0
2025-02-20,"P-05",57,385,1887,1830,0,0
2025-02-20,"P-06",52,0,2174,2122,0,0
2025-02-21,"P-01",0,42,108,108,0,0
2025-02-21,"P-02",22,0,69,47,0,0
2025-02-21,"P-03",32,0,405,373,0,0
2025-02-21,"P-04",37,0,461,424,0,0
2025-02-21,"P-05",55,0,1830,1775,0,0
2025-02-21,"P-06",55,0,2122,2067,0,0
2025-02-22,"P-01",1,0,108,107,0,0
2025-02-22,"P-02",1,0,47,46,0,0
2025-02-22,"P-03",29,0,373,344,0,0
2025-02-22,"P-04",28,0,424,396,0,0
2025-02-22,"P-05",53,0,1775,1722,0,0
2025-02-22,"P-06",45,0,2067,2022,0,0
2025-02-24,"P-01",5,0,107,102,0,0
2025-02-24,"P-02",12,0,46,34,0,0
2025-02-24,"P-03",20,0,344,324,0,0
2025-02-24,"P-04",38,0,396,358,0,0
2025-02-24,"P-05",61,0,1722,1661,0,0
2025-02-24,"P-06",52,0,2022,1970,0,0
2025-02-25,"P-01",5,0,102,97,0,0
2025-02-25,"P-02",10,0,34,24,0,0
2025-02-25,"P-03",37,0,324,287,0,0
2025-02-25,"P-04",30,0,358,328,0,0
2025-02-25,"P-05",57,0,1661,1604,0,0
2025-02-25,"P-06",63,455,2425,2362,0,0
2025-02-26,"P-01",2,0,97,95,0,0
2025-02-26,"P-02",4,63,87,83,0,0
2025-02-26,"P-03",34,0,287,253,0,0
2025-02-26,"P-04",43,0,328,285,0,0
2025-02-26,"P-05",59,0,1604,1545,0,0
2025-02-26,"P-06",58,0,2362,2304,0,0
2025-02-27,"P-01",4,0,95,91,0,0
2025-02-27,"P-02",5,0,83,78,0,0
2025-02-27,"P-03",31,0,253,222,0,0
2025-02-27,"P-04",45,0,285,240,0,0
2025-02-27,"P-05",54,385,1930,1876,0,0
2025-02-27,"P-06",49,0,2304,2255,0,0
2025-02-28,"P-01",13,0,91,78,0,0
2025-02-28,"P-02",10,0,78,68,0,0
2025-02-28,"P-03",24,0,222,198,0,0
2025-02-28,"P-04",39,0,240,201,0,0
2025-02-28,"P-05",50,0,1876,1826,0,0
2025-02-28,"P-06",69,0,2255,2186,0,0
2025-03-01,"P-01",25,42,120,95,0,0
2025-03-01,"P-02",6,0,68,62,0,0
2025-03-01,"P-03",52,210,408,356,0,0
2025-03-01,"P-04",68,280,481,413,0,0
2025-03-01,"P-05",59,0,1826,1767,0,0
2025-03-01,"P-06",53,0,2186,2133,0,0
2025-03-03,"P-01",17,0,95,78,0,0
2025-03-03,"P-02",8,0,62,54,0,0
2025-03-03,"P-03",61,0,356,295,0,0
2025-03-03,"P-04",67,0,413,346,0,0
2025-03-03,"P-05",65,0,1767,1702,0,0
2025-03-03,"P-06",58,0,2133,2075,0,0
2025-03-04,"P-01",5,0,78,73,0,0
2025-03-04,"P-02",13,0,54,41,0,0
2025-03-04,"P-03",50,0,295,245,0,0
2025-03-04,"P-04",94,0,346,252,0,0
2025-03-04,"P-05",54,0,1702,1648,0,0
2025-03-04,"P-06",50,0,2075,2025,0,0
2025-03-05,"P-01",0,0,73,73,0,0
2025-03-05,"P-02",9,0,41,32,0,0
2025-03-05,"P-03",67,0,245,178,0,0
2025-03-05,"P-04",84,0,252,168,0,0
2025-03-05,"P-05",53,0,1648,1595,0,0
2025-03-05,"P-06",72,455,2480,2408,0,0
2025-03-06,"P-01",11,0,73,62,0,0
2025-03-06,"P-02",11,0,32,21,0,0
2025-03-06,"P-03",58,0,178,120,0,0
2025-03-06,"P-04",71,0,168,97,0,0
2025-03-06,"P-05",52,385,1980,1928,0,0
2025-03-06,"P-06",69,0,2408,2339,0,0
2025-03-07,"P-01",1,0,62,61,0,0
2025-03-07,"P-02",6,0,21,15,0,0
2025-03-07,"P-03",49,210,330,281,0,0
2025-03-07,"P-04",80,280,377,297,0,0
2025-03-07,"P-05",58,0,1928,1870,0,0
2025-03-07,"P-06",60,0,2339,2279,0,0
2025-03-08,"P-01",9,0,61,52,0,0
2025-03-08,"P-02",11,63,78,67,0,0
2025-03-08,"P-03",48,0,281,233,0,0
2025-03-08,"P-04",87,0,297,210,0,0
2025-03-08,"P-05",64,0,1870,1806,0,0
2025-03-08,"P-06",73,0,2279,2206,0,0
2025-03-10,"P-01",3,0,52,49,0,0
2025-03-10,"P-02",12,0,67,55,0,0
2025-03-10,"P-03",53,0,233,180,0,0
2025-03-10,"P-04",63,0,210,147,0,0
2025-03-10,"P-05",61,0,1806,1745,0,0
2025-03-10,"P-06",64,0,2206,2142,0,0
2025-03-11,"P-01",5,0,49,44,0,0
2025-03-11,"P-02",8,0,55,47,0,0
2025-03-11,"P-03",52,0,180,128,0,0
2025-03-11,"P-04",88,0,147,59,0,0
2025-03-11,"P-05",45,0,1745,1700,0,0
2025-03-11,"P-06",65,0,2142,2077,0,0
2025-03-12,"P-01",2,0,44,42,0,0
2025-03-12,"P-02",5,0,47,42,0,0
2025-03-12,"P-03",58,0,128,70,0,0
2025-03-12,"P-04",72,0,59,0,1,13
2025-03-12,"P-05",58,0,1700,1642,0,0
2025-03-12,"P-06",76,0,2077,2001,0,0
2025-03-13,"P-01",8,0,42,34,0,0
2025-03-13,"P-02",10,0,42,32,0,0
2025-03-13,"P-03",51,0,70,19,0,0
2025-03-13,"P-04",56,0,0,0,1,56
2025-03-13,"P-05",55,0,1642,1587,0,0
2025-03-13,"P-06",74,0,2001,1927,0,0
2025-03-14,"P-01",12,0,34,22,0,0
2025-03-14,"P-02",4,0,32,28,0,0
2025-03-14,"P-03",43,0,19,0,1,24
2025-03-14,"P-04",67,0,0,0,1,67
2025-03-14,"P-05",54,385,1972,1918,0,0
2025-03-14,"P-06",78,0,1927,1849,0,0
2025-03-15,"P-01",3,0,22,19,0,0
2025-03-15,"P-02",4,0,28,24,0,0
2025-03-15,"P-03",68,0,0,0,1,68
2025-03-15,"P-04",82,280,280,198,0,0
2025-03-15,"P-05",56,0,1918,1862,0,0
2025-03-15,"P-06",71,0,1849,1778,0,0
2025-03-17,"P-01",1,0,19,18,0,0
2025-03-17,"P-02",3,0,24,21,0,0
2025-03-17,"P-03",46,0,0,0,1,46
2025-03-17,"P-04",74,0,198,124,0,0
2025-03-17,"P-05",53,0,1862,1809,0,0
2025-03-17,"P-06",70,0,1778,1708,0,0
2025-03-18,"P-01",4,0,18,14,0,0
2025-03-18,"P-02",32,0,21,0,1,11
2025-03-18,"P-03",61,0,0,0,1,61
2025-03-18,"P-04",71,0,124,53,0,0
2025-03-18,"P-05",67,0,1809,1742,0,0
2025-03-18,"P-06",71,455,2163,2092,0,0
2025-03-19,"P-01",10,42,56,46,0,0
2025-03-19,"P-02",1,0,0,0,1,1
2025-03-19,"P-03",55,0,0,0,1,55
2025-03-19,"P-04",95,0,53,0,1,42
2025-03-19,"P-05",54,385,2127,2073,0,0
2025-03-19,"P-06",68,0,2092,2024,0,0
2025-03-20,"P-01",11,0,46,35,0,0
2025-03-20,"P-02",11,0,0,0,1,11
2025-03-20,"P-03",59,0,0,0,1,59
2025-03-20,"P-04",80,0,0,0,1,80
2025-03-20,"P-05",47,0,2073,2026,0,0
2025-03-20,"P-06",56,0,2024,1968,0,0
2025-03-21,"P-01",1,0,35,34,0,0
2025-03-21,"P-02",4,63,63,59,0,0
2025-03-21,"P-03",61,210,210,149,0,0
2025-03-21,"P-04",77,0,0,0,1,77
2025-03-21,"P-05",58,0,2026,1968,0,0
2025-03-21,"P-06",61,0,1968,1907,0,0
2025-03-22,"P-01",8,0,34,26,0,0
2025-03-22,"P-02",9,126,185,176,0,0
2025-03-22,"P-03",67,210,359,292,0,0
2025-03-22,"P-04",79,0,0,0,1,79
2025-03-22,"P-05",67,0,1968,1901,0,0
2025-03-22,"P-06",62,0,1907,1845,0,0
2025-03-24,"P-01",4,42,68,64,0,0
2025-03-24,"P-02",2,0,176,174,0,0
2025-03-24,"P-03",63,0,292,229,0,0
2025-03-24,"P-04",91,280,280,189,0,0
2025-03-24,"P-05",47,0,1901,1854,0,0
2025-03-24,"P-06",68,0,1845,1777,0,0
2025-03-25,"P-01",8,0,64,56,0,0
2025-03-25,"P-02",2,0,174,172,0,0
2025-03-25,"P-03",58,0,229,171,0,0
2025-03-25,"P-04",75,0,189,114,0,0
2025-03-25,"P-05",55,0,1854,1799,0,0
2025-03-25,"P-06",62,0,1777,1715,0,0
2025-03-26,"P-01",2,0,56,54,0,0
2025-03-26,"P-02",13,0,172,159,0,0
2025-03-26,"P-03",73,0,171,98,0,0
2025-03-26,"P-04",77,0,114,37,0,0
2025-03-26,"P-05",57,0,1799,1742,0,0
2025-03-26,"P-06",69,455,2170,2101,0,0
2025-03-27,"P-01",7,0,54,47,0,0
2025-03-27,"P-02",2,0,159,157,0,0
2025-03-27,"P-03",41,0,98,57,0,0
2025-03-27,"P-04",69,280,317,248,0,0
2025-03-27,"P-05",54,0,1742,1688,0,0
2025-03-27,"P-06",64,0,2101,2037,0,0
2025-03-28,"P-01",10,0,47,37,0,0
2025-03-28,"P-02",8,0,157,149,0,0
2025-03-28,"P-03",54,0,57,3,0,0
2025-03-28,"P-04",53,0,248,195,0,0
2025-03-28,"P-05",55,0,1688,1633,0,0
2025-03-28,"P-06",63,0,2037,1974,0,0
2025-03-29,"P-01",7,0,37,30,0,0
2025-03-29,"P-02",5,0,149,144,0,0
2025-03-29,"P-03",51,0,3,0,1,48
2025-03-29,"P-04",77,0,195,118,0,0
2025-03-29,"P-05",62,0,1633,1571,0,0
2025-03-29,"P-06",61,0,1974,1913,0,0
2025-03-31,"P-01",3,0,30,27,0,0
2025-03-31,"P-02",7,0,144,137,0,0
2025-03-31,"P-03",51,0,0,0,1,51
2025-03-31,"P-04",86,0,118,32,0,0
2025-03-31,"P-05",53,0,1571,1518,0,0
2025-03-31,"P-06",54,0,1913,1859,0,0
2025-04-01,"P-01",12,0,27,15,0,0
2025-04-01,"P-02",4,0,137,133,0,0
2025-04-01,"P-03",34,210,210,176,0,0
2025-04-01,"P-04",41,0,32,0,1,9
2025-04-01,"P-05",57,0,1518,1461,0,0
2025-04-01,"P-06",58,455,2314,2256,0,0
2025-04-02,"P-01",12,0,15,3,0,0
2025-04-02,"P-02",8,0,133,125,0,0
2025-04-02,"P-03",23,0,176,153,0,0
2025-04-02,"P-04",43,0,0,0,1,43
2025-04-02,"P-05",54,0,1461,1407,0,0
2025-04-02,"P-06",83,0,2256,2173,0,0
2025-04-03,"P-01",14,0,3,0,1,11
2025-04-03,"P-02",4,0,125,121,0,0
2025-04-03,"P-03",27,0,153,126,0,0
2025-04-03,"P-04",31,0,0,0,1,31
2025-04-03,"P-05",40,0,1407,1367,0,0
2025-04-03,"P-06",67,0,2173,2106,0,0
2025-04-04,"P-01",1,84,84,83,0,0
2025-04-04,"P-02",11,0,121,110,0,0
2025-04-04,"P-03",31,210,336,305,0,0
2025-04-04,"P-04",37,0,0,0,1,37
2025-04-04,"P-05",52,385,1752,1700,0,0
2025-04-04,"P-06",58,0,2106,2048,0,0
2025-04-05,"P-01",4,42,125,121,0,0
2025-04-05,"P-02",4,0,110,106,0,0
2025-04-05,"P-03",35,0,305,270,0,0
2025-04-05,"P-04",43,280,280,237,0,0
2025-04-05,"P-05",45,0,1700,1655,0,0
2025-04-05,"P-06",64,0,2048,1984,0,0
2025-04-07,"P-01",7,0,121,114,0,0
2025-04-07,"P-02",9,0,106,97,0,0
2025-04-07,"P-03",35,0,270,235,0,0
2025-04-07,"P-04",47,0,237,190,0,0
2025-04-07,"P-05",45,0,1655,1610,0,0
2025-04-07,"P-06",71,0,1984,1913,0,0
2025-04-08,"P-01",16,0,114,98,0,0
2025-04-08,"P-02",9,0,97,88,0,0
2025-04-08,"P-03",34,0,235,201,0,0
2025-04-08,"P-04",37,0,190,153,0,0
2025-04-08,"P-05",51,0,1610,1559,0,0
2025-04-08,"P-06",66,0,1913,1847,0,0
2025-04-09,"P-01",0,0,98,98,0,0
2025-04-09,"P-02",3,0,88,85,0,0
2025-04-09,"P-03",27,0,201,174,0,0
2025-04-09,"P-04",38,0,153,115,0,0
2025-04-09,"P-05",59,0,1559,1500,0,0
2025-04-09,"P-06",82,455,2302,2220,0,0
2025-04-10,"P-01",1,0,98,97,0,0
2025-04-10,"P-02",9,0,85,76,0,0
2025-04-10,"P-03",35,0,174,139,0,0
2025-04-10,"P-04",36,0,115,79,0,0
2025-04-10,"P-05",54,385,1885,1831,0,0
2025-04-10,"P-06",59,0,2220,2161,0,0
2025-04-11,"P-01",11,0,97,86,0,0
2025-04-11,"P-02",22,63,139,117,0,0
2025-04-11,"P-03",36,0,139,103,0,0
2025-04-11,"P-04",46,280,359,313,0,0
2025-04-11,"P-05",61,0,1831,1770,0,0
2025-04-11,"P-06",64,0,2161,2097,0,0
2025-04-12,"P-01",4,0,86,82,0,0
2025-04-12,"P-02",14,0,117,103,0,0
2025-04-12,"P-03",38,210,313,275,0,0
2025-04-12,"P-04",43,0,313,270,0,0
2025-04-12,"P-05",59,0,1770,1711,0,0
2025-04-12,"P-06",68,0,2097,2029,0,0
2025-04-14,"P-01",2,0,82,80,0,0
2025-04-14,"P-02",6,0,103,97,0,0
2025-04-14,"P-03",33,0,275,242,0,0
2025-04-14,"P-04",37,0,270,233,0,0
2025-04-14,"P-05",48,0,1711,1663,0,0
2025-04-14,"P-06",67,0,2029,1962,0,0
2025-04-15,"P-01",16,0,80,64,0,0
2025-04-15,"P-02",3,0,97,94,0,0
2025-04-15,"P-03",24,0,242,218,0,0
2025-04-15,"P-04",44,0,233,189,0,0
2025-04-15,"P-05",63,0,1663,1600,0,0
2025-04-15,"P-06",62,455,2417,2355,0,0
2025-04-16,"P-01",17,0,64,47,0,0
2025-04-16,"P-02",3,0,94,91,0,0
2025-04-16,"P-03",27,0,218,191,0,0
2025-04-16,"P-04",50,0,189,139,0,0
2025-04-16,"P-05",56,385,1985,1929,0,0
2025-04-16,"P-06",65,0,2355,2290,0,0
2025-04-17,"P-01",9,0,47,38,0,0
2025-04-17,"P-02",9,0,91,82,0,0
2025-04-17,"P-03",43,0,191,148,0,0
2025-04-17,"P-04",41,0,139,98,0,0
2025-04-17,"P-05",46,0,1929,1883,0,0
2025-04-17,"P-06",59,0,2290,2231,0,0
2025-04-18,"P-01",7,0,38,31,0,0
2025-04-18,"P-02",2,0,82,80,0,0
2025-04-18,"P-03",35,0,148,113,0,0
2025-04-18,"P-04",42,0,98,56,0,0
2025-04-18,"P-05",55,0,1883,1828,0,0
2025-04-18,"P-06",60,0,2231,2171,0,0
2025-04-19,"P-01",4,0,31,27,0,0
2025-04-19,"P-02",7,0,80,73,0,0
2025-04-19,"P-03",40,0,113,73,0,0
2025-04-19,"P-04",47,0,56,9,0,0
2025-04-19,"P-05",60,0,1828,1768,0,0
