"Karakteristik","Subgroup","Sampel","Pengukuran","Shift","Mesin"
"Diameter",25,1,25.031,"Pagi","M-01"
"Diameter",25,2,24.903,"Pagi","M-01"
"Diameter",25,3,24.983,"Pagi","M-01"
"Diameter",25,4,24.919,"Pagi","M-01"
"Diameter",25,5,24.896,"Pagi","M-01"
"Berat",1,1,118.999,"Pagi","M-01"
"Berat",1,2,120.964,"Pagi","M-01"
"Berat",1,3,119.831,"Pagi","M-01"
"Berat",1,4,121.691,"Pagi","M-01"
"Berat",1,5,121.339,"Pagi","M-01"
"Berat",2,1,119.489,"Sore","M-02"
"Berat",2,2,120.304,"Sore","M-02"
"Berat",2,3,120.145,"Sore","M-02"
"Berat",2,4,121.182,"Sore","M-02"
"Berat",2,5,120.874,"Sore","M-02"
"Berat",3,1,120.471,"Malam","M-03"
"Berat",3,2,119.984,"Malam","M-03"
"Berat",3,3,118.517,"Malam","M-03"
"Berat",3,4,121.25,"Malam","M-03"
"Berat",3,5,121.347,"Malam","M-03"
"Berat",4,1,119.815,"Pagi","M-01"
"Berat",4,2,119.498,"Pagi","M-01"
"Berat",4,3,119.327,"Pagi","M-01"
"Berat",4,4,120.827,"Pagi","M-01"
"Berat",4,5,121.321,"Pagi","M-01"
"Berat",5,1,119.368,"Sore","M-02"
"Berat",5,2,120.558,"Sore","M-02"
"Berat",5,3,118.472,"Sore","M-02"
"Berat",5,4,118.701,"Sore","M-02"
"Berat",5,5,121.315,"Sore","M-02"
"Berat",6,1,120.224,"Malam","M-03"
"Berat",6,2,119.68,"Malam","M-03"
"Berat",6,3,120.759,"Malam","M-03"
"Berat",6,4,120.396,"Malam","M-03"
"Berat",6,5,120.576,"Malam","M-03"
"Berat",7,1,120.093,"Pagi","M-01"
"Berat",7,2,117.76,"Pagi","M-01"
"Berat",7,3,120.053,"Pagi","M-01"
"Berat",7,4,122.848,"Pagi","M-01"
"Berat",7,5,117.877,"Pagi","M-01"
"Berat",8,1,119.995,"Sore","M-02"
"Berat",8,2,123.188,"Sore","M-02"
"Berat",8,3,119.091,"Sore","M-02"
"Berat",8,4,121.384,"Sore","M-02"
"Berat",8,5,118.403,"Sore","M-02"
"Berat",9,1,119.148,"Malam","M-03"
"Berat",9,2,120.249,"Malam","M-03"
"Berat",9,3,118.919,"Malam","M-03"
"Berat",9,4,120.256,"Malam","M-03"
"Berat",9,5,120.345,"Malam","M-03"
"Berat",10,1,120.095,"Pagi","M-01"
"Berat",10,2,121.363,"Pagi","M-01"
"Berat",10,3,119.661,"Pagi","M-01"
"Berat",10,4,120.471,"Pagi","M-01"
"Berat",10,5,120.183,"Pagi","M-01"
"Berat",11,1,119.794,"Sore","M-02"
"Berat",11,2,117.8,"Sore","M-02"
"Berat",11,3,120.307,"Sore","M-02"
"Berat",11,4,119.788,"Sore","M-02"
"Berat",11,5,119.487,"Sore","M-02"
"Berat",12,1,119.73,"Malam","M-03"
"Berat",12,2,120.582,"Malam","M-03"
"Berat",12,3,117.42,"Malam","M-03"
"Berat",12,4,120.759,"Malam","M-03"
"Berat",12,5,120.559,"Malam","M-03"
"Berat",13,1,119.262,"Pagi","M-01"
"Berat",13,2,119.019,"Pagi","M-01"
"Berat",13,3,120.844,"Pagi","M-01"
"Berat",13,4,120.066,"Pagi","M-01"
"Berat",13,5,120.518,"Pagi","M-01"
"Berat",14,1,121.699,"Sore","M-02"
"Berat",14,2,119.691,"Sore","M-02"
"Berat",14,3,120.13,"Sore","M-02"
"Berat",14,4,121.281,"Sore","M-02"
"Berat",14,5,121.243,"Sore","M-02"
"Berat",15,1,118.626,"Malam","M-03"
"Berat",15,2,120.345,"Malam","M-03"
"Berat",15,3,119.872,"Malam","M-03"
"Berat",15,4,121.446,"Malam","M-03"
"Berat",15,5,117.511,"Malam","M-03"
"Berat",16,1,121.455,"Pagi","M-01"
"Berat",16,2,118.233,"Pagi","M-01"
"Berat",16,3,119.227,"Pagi","M-01"
"Berat",16,4,119.823,"Pagi","M-01"
"Berat",16,5,120.757,"Pagi","M-01"
"Berat",17,1,119.567,"Sore","M-02"
"Berat",17,2,119.81,"Sore","M-02"
"Berat",17,3,119.951,"Sore","M-02"
"Berat",17,4,118.343,"Sore","M-02"
"Berat",17,5,121.402,"Sore","M-02"
"Berat",18,1,119.499,"Malam","M-03"
"Berat",18,2,121.054,"Malam","M-03"
"Berat",18,3,119.81,"Malam","M-03"
"Berat",18,4,121.486,"Malam","M-03"
"Berat",18,5,121.531,"Malam","M-03"
"Berat",19,1,119.697,"Pagi","M-01"
"Berat",19,2,122.072,"Pagi","M-01"
"Berat",19,3,122.188,"Pagi","M-01"
"Berat",19,4,118.836,"Pagi","M-01"
"Berat",19,5,121.77,"Pagi","M-01"
"Berat",20,1,122.215,"Sore","M-02"
"Berat",20,2,122.373,"Sore","M-02"
"Berat",20,3,119.513,"Sore","M-02"
"Berat",20,4,121.634,"Sore","M-02"
"Berat",20,5,119.85,"Sore","M-02"
"Berat",21,1,120.921,"Malam","M-03"
"Berat",21,2,120.949,"Malam","M-03"
"Berat",21,3,121.433,"Malam","M-03"
"Berat",21,4,119.759,"Malam","M-03"
"Berat",21,5,121.073,"Malam","M-03"
"Berat",22,1,121.818,"Pagi","M-01"
"Berat",22,2,120.99,"Pagi","M-01"
"Berat",22,3,120.603,"Pagi","M-01"
"Berat",22,4,119.671,"Pagi","M-01"
"Berat",22,5,120.55,"Pagi","M-01"
"Berat",23,1,121.816,"Sore","M-02"
"Berat",23,2,119.709,"Sore","M-02"
"Berat",23,3,121.213,"Sore","M-02"
"Berat",23,4,120.677,"Sore","M-02"
"Berat",23,5,119.842,"Sore","M-02"
"Berat",24,1,118.235,"Malam","M-03"
"Berat",24,2,119.235,"Malam","M-03"
"Berat",24,3,120.144,"Malam","M-03"
"Berat",24,4,119.574,"Malam","M-03"
"Berat",24,5,119.773,"Malam","M-03"
"Berat",25,1,118.685,"Pagi","M-01"
"Berat",25,2,119.944,"Pagi","M-01"
"Berat",25,3,118.864,"Pagi","M-01"
"Berat",25,4,120.293,"Pagi","M-01"
"Berat",25,5,120.671,"Pagi","M-01"
"Kekerasan",1,1,60.751,"Pagi","M-01"
"Kekerasan",1,2,61.365,"Pagi","M-01"
"Kekerasan",1,3,60.267,"Pagi","M-01"
"Kekerasan",1,4,61.587,"Pagi","M-01"
"Kekerasan",1,5,57.517,"Pagi","M-01"
"Kekerasan",2,1,62.519,"Sore","M-02"
"Kekerasan",2,2,58.352,"Sore","M-02"
"Kekerasan",2,3,59.075,"Sore","M-02"
"Kekerasan",2,4,59.553,"Sore","M-02"
"Kekerasan",2,5,59.908,"Sore","M-02"
"Kekerasan",3,1,58.324,"Malam","M-03"
"Kekerasan",3,2,59.516,"Malam","M-03"
"Kekerasan",3,3,58.263,"Malam","M-03"
"Kekerasan",3,4,58.325,"Malam","M-03"
"Kekerasan",3,5,59.998,"Malam","M-03"
"Kekerasan",4,1,60.986,"Pagi","M-01"
"Kekerasan",4,2,58.301,"Pagi","M-01"
"Kekerasan",4,3,60.453,"Pagi","M-01"
"Kekerasan",4,4,60.632,"Pagi","M-01"
"Kekerasan",4,5,60.744,"Pagi","M-01"
"Kekerasan",5,1,61.732,"Sore","M-02"
"Kekerasan",5,2,59.311,"Sore","M-02"
"Kekerasan",5,3,61.825,"Sore","M-02"
"Kekerasan",5,4,58.2,"Sore","M-02"
"Kekerasan",5,5,59.707,"Sore","M-02"
"Kekerasan",6,1,58.344,"Malam","M-03"
"Kekerasan",6,2,58.27,"Malam","M-03"
"Kekerasan",6,3,59.721,"Malam","M-03"
"Kekerasan",6,4,59.579,"Malam","M-03"
"Kekerasan",6,5,60.515,"Malam","M-03"
"Kekerasan",7,1,59.209,"Pagi","M-01"
"Kekerasan",7,2,61.068,"Pagi","M-01"
"Kekerasan",7,3,59.633,"Pagi","M-01"
"Kekerasan",7,4,61.954,"Pagi","M-01"
"Kekerasan",7,5,60.566,"Pagi","M-01"
"Kekerasan",8,1,58.234,"Sore","M-02"
"Kekerasan",8,2,61.582,"Sore","M-02"
"Kekerasan",8,3,60.456,"Sore","M-02"
"Kekerasan",8,4,63.681,"Sore","M-02"
"Kekerasan",8,5,60.057,"Sore","M-02"
"Kekerasan",9,1,60.512,"Malam","M-03"
"Kekerasan",9,2,58.302,"Malam","M-03"
"Kekerasan",9,3,58.48,"Malam","M-03"
"Kekerasan",9,4,59.174,"Malam","M-03"
"Kekerasan",9,5,59.706,"Malam","M-03"
"Kekerasan",10,1,59.447,"Pagi","M-01"
"Kekerasan",10,2,61.46,"Pagi","M-01"
"Kekerasan",10,3,56.877,"Pagi","M-01"
"Kekerasan",10,4,60.557,"Pagi","M-01"
"Kekerasan",10,5,58.014,"Pagi","M-01"
"Kekerasan",11,1,61.332,"Sore","M-02"
"Kekerasan",11,2,59.133,"Sore","M-02"
"Kekerasan",11,3,60.869,"Sore","M-02"
"Kekerasan",11,4,58.898,"Sore","M-02"
"Kekerasan",11,5,57.768,"Sore","M-02"
"Kekerasan",12,1,62.904,"Malam","M-03"
"Kekerasan",12,2,60.125,"Malam","M-03"
"Kekerasan",12,3,61.993,"Malam","M-03"
"Kekerasan",12,4,58.855,"Malam","M-03"
"Kekerasan",12,5,60.033,"Malam","M-03"
"Kekerasan",13,1,59.376,"Pagi","M-01"
"Kekerasan",13,2,60.218,"Pagi","M-01"
"Kekerasan",13,3,57.893,"Pagi","M-01"
"Kekerasan",13,4,60.911,"Pagi","M-01"
"Kekerasan",13,5,60.379,"Pagi","M-01"
"Kekerasan",14,1,59.199,"Sore","M-02"
"Kekerasan",14,2,59.383,"Sore","M-02"
"Kekerasan",14,3,62.171,"Sore","M-02"
"Kekerasan",14,4,56.973,"Sore","M-02"
"Kekerasan",14,5,59.641,"Sore","M-02"
"Kekerasan",15,1,59.322,"Malam","M-03"
"Kekerasan",15,2,60.839,"Malam","M-03"
"Kekerasan",15,3,61.472,"Malam","M-03"
"Kekerasan",15,4,61.615,"Malam","M-03"
"Kekerasan",15,5,57.727,"Malam","M-03"
"Kekerasan",16,1,58.184,"Pagi","M-01"
"Kekerasan",16,2,59.81,"Pagi","M-01"
"Kekerasan",16,3,59.238,"Pagi","M-01"
"Kekerasan",16,4,59.473,"Pagi","M-01"
"Kekerasan",16,5,60.555,"Pagi","M-01"
"Kekerasan",17,1,57.987,"Sore","M-02"
"Kekerasan",17,2,60.639,"Sore","M-02"
"Kekerasan",17,3,63.278,"Sore","M-02"
"Kekerasan",17,4,60.931,"Sore","M-02"
"Kekerasan",17,5,59.194,"Sore","M-02"
"Kekerasan",18,1,59.872,"Malam","M-03"
"Kekerasan",18,2,62.921,"Malam","M-03"
"Kekerasan",18,3,62.36,"Malam","M-03"
"Kekerasan",18,4,59.038,"Malam","M-03"
"Kekerasan",18,5,61.381,"Malam","M-03"
"Kekerasan",19,1,62.309,"Pagi","M-01"
"Kekerasan",19,2,63.726,"Pagi","M-01"
"Kekerasan",19,3,61.991,"Pagi","M-01"
"Kekerasan",19,4,61.618,"Pagi","M-01"
"Kekerasan",19,5,60.457,"Pagi","M-01"
"Kekerasan",20,1,62.046,"Sore","M-02"
"Kekerasan",20,2,62.851,"Sore","M-02"
"Kekerasan",20,3,63.782,"Sore","M-02"
"Kekerasan",20,4,61.711,"Sore","M-02"
"Kekerasan",20,5,64.391,"Sore","M-02"
"Kekerasan",21,1,61.509,"Malam","M-03"
"Kekerasan",21,2,61.09,"Malam","M-03"
"Kekerasan",21,3,62.043,"Malam","M-03"
"Kekerasan",21,4,58.973,"Malam","M-03"
"Kekerasan",21,5,61.924,"Malam","M-03"
"Kekerasan",22,1,60.899,"Pagi","M-01"
"Kekerasan",22,2,62.306,"Pagi","M-01"
"Kekerasan",22,3,59.643,"Pagi","M-01"
"Kekerasan",22,4,60.776,"Pagi","M-01"
"Kekerasan",22,5,58.637,"Pagi","M-01"
"Kekerasan",23,1,57.853,"Sore","M-02"
"Kekerasan",23,2,57.141,"Sore","M-02"
"Kekerasan",23,3,60.918,"Sore","M-02"
"Kekerasan",23,4,58.606,"Sore","M-02"
"Kekerasan",23,5,59.424,"Sore","M-02"
"Kekerasan",24,1,57.881,"Malam","M-03"
"Kekerasan",24,2,59.16,"Malam","M-03"
"Kekerasan",24,3,60.7,"Malam","M-03"
"Kekerasan",24,4,58.958,"Malam","M-03"
"Kekerasan",24,5,59.707,"Malam","M-03"
"Kekerasan",25,1,60.439,"Pagi","M-01"
"Kekerasan",25,2,59.715,"Pagi","M-01"
"Kekerasan",25,3,58.072,"Pagi","M-01"
"Kekerasan",25,4,61.134,"Pagi","M-01"
"Kekerasan",25,5,60.495,"Pagi","M-01"
