"Tanggal","Shift","Line","Operator","Product","Inspected","Defect","DefectRate","CycleTimeSec"
2027-01-20,"Pagi","B","OP08","Bracket",139,4,0.0287769784172662,45.8
2027-01-20,"Pagi","C","OP07","Panel",146,4,0.0273972602739726,45.3
2027-01-20,"Siang","A","OP08","Bracket",129,1,0.00775193798449612,48.1
2027-01-20,"Siang","B","OP03","Bracket",113,10,0.0884955752212389,49.3
2027-01-20,"Siang","C","OP05","Panel",135,9,0.0666666666666667,44.7
2027-01-27,"Malam","A","OP07","Housing",125,2,0.016,48.6
2027-01-27,"Malam","B","OP04","Panel",140,23,0.164285714285714,54.5
2027-01-27,"Malam","C","OP01","Housing",139,3,0.0215827338129496,49.4
2027-01-27,"Pagi","A","OP04","Bracket",131,2,0.0152671755725191,40.4
2027-01-27,"Pagi","B","OP02","Bracket",126,4,0.0317460317460317,47.1
2027-01-27,"Pagi","C","OP03","Bracket",124,5,0.0403225806451613,38.7
2027-01-27,"Siang","A","OP04","Bracket",119,4,0.0336134453781513,41.7
2027-01-27,"Siang","B","OP08","Bracket",136,7,0.0514705882352941,50
2027-01-27,"Siang","C","OP05","Bracket",129,3,0.0232558139534884,39.1
2027-02-03,"Malam","A","OP02","Housing",117,6,0.0512820512820513,52.6
2027-02-03,"Malam","B","OP03","Bracket",144,16,0.111111111111111,55.7
2027-02-03,"Malam","C","OP06","Housing",133,3,0.0225563909774436,50.3
2027-02-03,"Pagi","A","OP07","Panel",127,2,0.015748031496063,43.9
2027-02-03,"Pagi","B","OP08","Housing",106,2,0.0188679245283019,57.9
2027-02-03,"Pagi","C","OP01","Bracket",150,3,0.02,37.3
2027-02-03,"Siang","A","OP03","Housing",143,9,0.0629370629370629,53.6
2027-02-03,"Siang","B","OP04","Bracket",116,8,0.0689655172413793,50.3
2027-02-03,"Siang","C","OP01","Housing",140,4,0.0285714285714286,49.3
2027-02-10,"Malam","A","OP03","Panel",139,1,0.00719424460431655,44.4
2027-02-10,"Malam","B","OP08","Bracket",124,16,0.129032258064516,55.2
2027-02-10,"Malam","C","OP06","Bracket",117,9,0.0769230769230769,44.1
2027-02-10,"Pagi","A","OP04","Panel",112,10,0.0892857142857143,43.3
2027-02-10,"Pagi","B","OP02","Panel",140,9,0.0642857142857143,51.3
2027-02-10,"Pagi","C","OP08","Bracket",138,2,0.0144927536231884,39.8
2027-02-10,"Siang","A","OP08","Bracket",143,5,0.034965034965035,46.9
2027-02-10,"Siang","B","OP02","Panel",119,5,0.0420168067226891,50.6
2027-02-10,"Siang","C","OP01","Bracket",129,2,0.0155038759689922,40.5
2027-02-17,"Malam","A","OP06","Housing",126,8,0.0634920634920635,53.2
2027-02-17,"Malam","B","OP05","Bracket",138,15,0.108695652173913,50
2027-02-17,"Malam","C","OP06","Bracket",144,13,0.0902777777777778,42.5
2027-02-17,"Pagi","A","OP04","Bracket",124,3,0.0241935483870968,40.8
2027-02-17,"Pagi","B","OP06","Housing",155,22,0.141935483870968,56.5
2027-02-17,"Pagi","C","OP05","Bracket",140,4,0.0285714285714286,38.6
2027-02-17,"Siang","A","OP08","Housing",118,4,0.0338983050847458,51.1
2027-02-17,"Siang","B","OP05","Housing",116,9,0.0775862068965517,55.1
2027-02-17,"Siang","C","OP06","Housing",117,6,0.0512820512820513,43.5
2027-02-24,"Malam","A","OP07","Housing",128,6,0.046875,51.5
2027-02-24,"Malam","B","OP02","Bracket",147,17,0.115646258503401,50.1
2027-02-24,"Malam","C","OP07","Housing",128,5,0.0390625,48.8
2027-02-24,"Pagi","A","OP01","Panel",161,5,0.031055900621118,47.6
2027-02-24,"Pagi","B","OP01","Bracket",120,12,0.1,50.9
2027-02-24,"Pagi","C","OP08","Bracket",123,4,0.032520325203252,42.5
2027-02-24,"Siang","A","OP05","Housing",132,3,0.0227272727272727,51.3
2027-02-24,"Siang","B","OP01","Housing",124,8,0.0645161290322581,55.9
2027-02-24,"Siang","C","OP04","Panel",121,4,0.0330578512396694,39.7
2027-03-03,"Malam","A","OP06","Bracket",151,12,0.0794701986754967,46.5
2027-03-03,"Malam","B","OP05","Panel",114,18,0.157894736842105,53.2
2027-03-03,"Malam","C","OP01","Housing",132,7,0.053030303030303,53.7
2027-03-03,"Pagi","A","OP06","Bracket",129,6,0.0465116279069767,44.4
2027-03-03,"Pagi","B","OP06","Housing",122,11,0.0901639344262295,55.4
2027-03-03,"Pagi","C","OP01","Housing",132,3,0.0227272727272727,48.6
2027-03-03,"Siang","A","OP08","Panel",136,2,0.0147058823529412,45.2
2027-03-03,"Siang","B","OP07","Housing",123,8,0.0650406504065041,54
2027-03-03,"Siang","C","OP08","Panel",121,1,0.00826446280991736,42.6
2027-03-10,"Malam","A","OP01","Panel",123,5,0.040650406504065,48.7
2027-03-10,"Malam","B","OP02","Bracket",134,13,0.0970149253731343,53.3
2027-03-10,"Malam","C","OP03","Bracket",133,7,0.0526315789473684,44.9
2027-03-10,"Pagi","A","OP03","Bracket",114,2,0.0175438596491228,43
2027-03-10,"Pagi","B","OP05","Bracket",123,2,0.016260162601626,50.5
2027-03-10,"Pagi","C","OP01","Panel",140,2,0.0142857142857143,38.8
2027-03-10,"Siang","A","OP08","Panel",130,5,0.0384615384615385,46.1
2027-03-10,"Siang","B","OP01","Bracket",125,15,0.12,49.9
2027-03-10,"Siang","C","OP03","Panel",139,7,0.0503597122302158,43.5
2027-03-17,"Malam","A","OP06","Bracket",106,2,0.0188679245283019,40.4
2027-03-17,"Malam","B","OP01","Panel",147,20,0.136054421768707,54.6
2027-03-17,"Malam","C","OP06","Panel",125,17,0.136,44.8
2027-03-17,"Pagi","A","OP03","Bracket",118,5,0.0423728813559322,44.1
2027-03-17,"Pagi","B","OP05","Panel",121,7,0.0578512396694215,48.4
2027-03-17,"Pagi","C","OP03","Bracket",120,0,0,36.5
2027-03-17,"Siang","A","OP06","Bracket",116,10,0.0862068965517241,45
2027-03-17,"Siang","B","OP04","Housing",140,15,0.107142857142857,57.2
2027-03-17,"Siang","C","OP04","Bracket",137,3,0.0218978102189781,42.5
2027-03-24,"Malam","A","OP04","Panel",125,9,0.072,46.5
2027-03-24,"Malam","B","OP07","Panel",109,13,0.119266055045872,49.7
2027-03-24,"Malam","C","OP06","Bracket",125,10,0.08,39.8
2027-03-24,"Pagi","A","OP04","Bracket",124,3,0.0241935483870968,42
2027-03-24,"Pagi","B","OP02","Panel",152,15,0.0986842105263158,49.3
2027-03-24,"Pagi","C","OP01","Housing",143,3,0.020979020979021,53.1
2027-03-24,"Siang","A","OP05","Housing",124,3,0.0241935483870968,48.7
2027-03-24,"Siang","B","OP04","Housing",151,13,0.0860927152317881,56.3
2027-03-24,"Siang","C","OP03","Bracket",144,8,0.0555555555555556,41.4
2027-03-31,"Malam","A","OP01","Bracket",97,1,0.0103092783505155,40.1
2027-03-31,"Malam","B","OP07","Housing",139,17,0.122302158273381,58.7
2027-03-31,"Malam","C","OP07","Bracket",145,9,0.0620689655172414,46.1
2027-03-31,"Pagi","A","OP07","Panel",128,3,0.0234375,43
2027-03-31,"Pagi","B","OP08","Panel",143,9,0.0629370629370629,49.2
