"ProductionID","Tanggal","Shift","Line","Operator","Mesin","Produk","TargetProduksi","AktualProduksi","JumlahCacat","DowntimeMenit","CycleTimeDetik"
"PRD-00028",2026-02-03,"Pagi","Line-A","OP04","M-02","Shaft",338,328,14,15,54
"PRD-00029",2026-02-04,"Pagi","Line-A","OP02","M-01","Shaft",333,333,4,8,52
"PRD-00030",2026-02-05,"Pagi","Line-A","OP05","M-02","Housing",313,302,4,25,39.7
"PRD-00031",2026-02-06,"Pagi","Line-A","OP04","M-01","Housing",348,292,4,19,46.4
"PRD-00032",2026-02-07,"Pagi","Line-A","OP07","M-02","Bracket",426,439,15,8,42.2
"PRD-00033",2026-02-09,"Pagi","Line-A","OP04","M-01","Shaft",249,248,11,47,54.9
"PRD-00034",2026-02-10,"Pagi","Line-A","OP05","M-02","Housing",327,324,6,14,42.2
"PRD-00035",2026-02-11,"Pagi","Line-A","OP04","M-02","Housing",325,315,12,58,48
"PRD-00036",2026-02-12,"Pagi","Line-A","OP03","M-02","Bracket",426,420,10,73,43.5
"PRD-00037",2026-02-13,"Pagi","Line-A","OP03","M-01","Bracket",399,388,8,3,60.2
"PRD-00038",2026-02-14,"Pagi","Line-A","OP07","M-01","Shaft",326,311,8,22,54.2
"PRD-00039",2026-02-16,"Pagi","Line-A","OP04","M-02","Housing",354,361,14,12,49.6
"PRD-00040",2026-02-17,"Pagi","Line-A","OP06","M-01","Shaft",285,273,9,36,56.1
"PRD-00041",2026-02-18,"Pagi","Line-A","OP08","M-01","Bracket",428,379,2,0,45.4
"PRD-00042",2026-02-19,"Pagi","Line-A","OP01","M-01","Bracket",384,321,9,6,48.1
"PRD-00043",2026-02-20,"Pagi","Line-A","OP03","M-01","Housing",288,290,8,6,46.4
"PRD-00044",2026-02-21,"Pagi","Line-A","OP03","M-01","Housing",337,323,6,30,41.4
"PRD-00045",2026-02-23,"Pagi","Line-A","OP08","M-01","Housing",365,334,6,1,44.2
"PRD-00046",2026-02-24,"Pagi","Line-A","OP05","M-01","Bracket",384,367,7,37,42.6
"PRD-00047",2026-02-25,"Pagi","Line-A","OP07","M-01","Bracket",392,325,10,35,47.1
"PRD-00048",2026-02-26,"Pagi","Line-A","OP03","M-01","Shaft",342,344,6,1,53.1
"PRD-00049",2026-02-27,"Pagi","Line-A","OP04","M-01","Bracket",374,342,7,18,45.4
"PRD-00050",2026-02-28,"Pagi","Line-A","OP05","M-02","Housing",318,369,7,24,55.6
"PRD-00051",2026-03-02,"Pagi","Line-A","OP02","M-02","Bracket",450,459,10,48,51.6
"PRD-00052",2026-03-03,"Pagi","Line-A","OP01","M-02","Bracket",474,462,5,49,48.1
"PRD-00053",2026-03-04,"Pagi","Line-A","OP02","M-02","Housing",384,372,4,9,31.9
"PRD-00054",2026-03-05,"Pagi","Line-A","OP06","M-02","Shaft",299,311,23,24,51.6
"PRD-00055",2026-03-06,"Pagi","Line-A","OP02","M-01","Shaft",298,249,6,41,46.2
"PRD-00056",2026-03-07,"Pagi","Line-A","OP04","M-01","Bracket",408,435,4,20,44.6
"PRD-00057",2026-03-09,"Pagi","Line-A","OP03","M-01","Housing",363,324,7,0,44.6
"PRD-00058",2026-03-10,"Pagi","Line-A","OP06","M-02","Shaft",351,358,26,51,46.5
"PRD-00059",2026-03-11,"Pagi","Line-A","OP04","M-01","Bracket",421,421,11,5,49.2
"PRD-00060",2026-03-12,"Pagi","Line-A","OP05","M-01","Shaft",320,299,4,11,51.9
"PRD-00061",2026-03-13,"Pagi","Line-A","OP05","M-01","Shaft",335,345,10,20,59.5
"PRD-00062",2026-03-14,"Pagi","Line-A","OP03","M-01","Bracket",412,410,14,17,37.2
"PRD-00063",2026-03-16,"Pagi","Line-A","OP04","M-02","Bracket",443,414,17,31,38.2
"PRD-00064",2026-03-17,"Pagi","Line-A","OP01","M-02","Housing",339,330,7,35,46.5
"PRD-00065",2026-03-18,"Pagi","Line-A","OP05","M-02","Housing",359,341,5,46,41.3
"PRD-00066",2026-03-19,"Pagi","Line-A","OP06","M-01","Housing",318,284,8,13,49.9
"PRD-00067",2026-03-20,"Pagi","Line-A","OP06","M-02","Bracket",440,434,14,13,46.5
"PRD-00068",2026-03-21,"Pagi","Line-A","OP02","M-01","Housing",283,296,4,30,46.8
"PRD-00069",2026-03-23,"Pagi","Line-A","OP04","M-01","Bracket",449,360,16,18,37.6
"PRD-00070",2026-03-24,"Pagi","Line-A","OP01","M-01","Housing",389,394,6,25,42.7
"PRD-00071",2026-03-25,"Pagi","Line-A","OP03","M-01","Shaft",275,245,5,3,58.3
"PRD-00072",2026-03-26,"Pagi","Line-A","OP01","M-01","Housing",403,378,10,27,54.1
"PRD-00073",2026-03-27,"Pagi","Line-A","OP05","M-01","Housing",352,324,5,2,43.6
"PRD-00074",2026-03-28,"Pagi","Line-A","OP03","M-01","Shaft",299,267,7,10,51.4
"PRD-00075",2026-03-30,"Pagi","Line-A","OP05","M-01","Bracket",432,416,15,1,42.1
"PRD-00076",2026-03-31,"Pagi","Line-A","OP08","M-02","Bracket",409,358,4,24,40.8
"PRD-00077",2026-04-01,"Pagi","Line-A","OP04","M-02","Bracket",435,421,10,30,38
"PRD-00078",2026-04-02,"Pagi","Line-A","OP04","M-02","Bracket",397,383,12,10,37.2
"PRD-00079",2026-04-03,"Pagi","Line-A","OP04","M-02","Housing",311,256,11,31,32.8
"PRD-00080",2026-04-04,"Pagi","Line-A","OP04","M-01","Shaft",324,299,9,18,61.5
"PRD-00081",2026-04-06,"Pagi","Line-A","OP06","M-01","Housing",328,297,13,12,49.5
"PRD-00082",2026-04-07,"Pagi","Line-A","OP06","M-01","Bracket",401,380,12,4,35.6
"PRD-00083",2026-04-08,"Pagi","Line-A","OP07","M-02","Housing",384,387,9,25,42
"PRD-00084",2026-04-09,"Pagi","Line-A","OP04","M-01","Bracket",454,447,20,18,42.5
"PRD-00085",2026-04-10,"Pagi","Line-A","OP01","M-02","Shaft",331,321,7,15,55
"PRD-00086",2026-04-11,"Pagi","Line-A","OP01","M-02","Bracket",407,441,7,17,42.9
"PRD-00087",2026-04-13,"Pagi","Line-A","OP08","M-02","Bracket",406,415,3,32,43.4
"PRD-00088",2026-04-14,"Pagi","Line-A","OP08","M-01","Housing",342,380,1,6,41.2
"PRD-00089",2026-04-15,"Pagi","Line-A","OP04","M-01","Housing",326,274,5,77,56.5
"PRD-00090",2026-04-16,"Pagi","Line-A","OP04","M-02","Shaft",289,261,12,38,45.9
"PRD-00091",2026-04-17,"Pagi","Line-A","OP06","M-01","Housing",351,352,14,13,44
"PRD-00092",2026-04-18,"Pagi","Line-A","OP01","M-02","Bracket",450,418,9,24,38
"PRD-00093",2026-04-20,"Pagi","Line-A","OP05","M-02","Bracket",446,424,4,14,46.4
"PRD-00094",2026-04-21,"Pagi","Line-A","OP05","M-01","Housing",341,327,13,33,51.2
"PRD-00095",2026-04-22,"Pagi","Line-A","OP03","M-01","Shaft",304,329,7,1,51.1
"PRD-00096",2026-04-23,"Pagi","Line-A","OP08","M-02","Bracket",313,297,10,10,43.1
"PRD-00097",2026-04-24,"Pagi","Line-A","OP08","M-01","Bracket",348,332,3,0,51.1
"PRD-00098",2026-04-25,"Pagi","Line-A","OP06","M-02","Bracket",408,361,26,27,39.4
"PRD-00099",2026-04-27,"Pagi","Line-A","OP05","M-01","Shaft",291,265,7,53,54.3
"PRD-00100",2026-04-28,"Pagi","Line-A","OP06","M-01","Bracket",429,432,10,18,47.2
"PRD-00101",2026-04-29,"Pagi","Line-A","OP03","M-02","Shaft",335,307,12,18,54.3
"PRD-00102",2026-04-30,"Pagi","Line-A","OP06","M-02","Bracket",395,409,6,12,47.8
"PRD-00103",2026-05-01,"Pagi","Line-A","OP07","M-01","Bracket",419,423,8,14,50.8
"PRD-00104",2026-05-02,"Pagi","Line-A","OP03","M-02","Bracket",387,407,15,112,30
"PRD-00105",2026-05-04,"Pagi","Line-A","OP03","M-02","Bracket",371,377,6,10,42.8
"PRD-00106",2026-05-05,"Pagi","Line-A","OP01","M-01","Shaft",307,311,0,3,63.6
"PRD-00107",2026-05-06,"Pagi","Line-A","OP04","M-02","Bracket",431,391,12,16,57.4
"PRD-00108",2026-05-07,"Pagi","Line-A","OP06","M-02","Housing",325,317,11,10,36.2
"PRD-00109",2026-05-08,"Pagi","Line-A","OP04","M-02","Housing",364,369,15,13,44.6
"PRD-00110",2026-05-09,"Pagi","Line-A","OP02","M-01","Bracket",425,395,5,3,56.6
"PRD-00111",2026-05-11,"Pagi","Line-A","OP01","M-01","Housing",373,350,5,13,44.4
"PRD-00112",2026-05-12,"Pagi","Line-A","OP05","M-01","Bracket",454,439,6,6,45.4
"PRD-00113",2026-05-13,"Pagi","Line-A","OP08","M-01","Bracket",407,400,6,10,48.7
"PRD-00114",2026-05-14,"Pagi","Line-A","OP07","M-01","Bracket",433,415,10,13,44.2
"PRD-00115",2026-05-15,"Pagi","Line-A","OP04","M-02","Shaft",312,315,18,34,48.6
"PRD-00116",2026-05-16,"Pagi","Line-A","OP02","M-01","Bracket",398,378,11,1,45.6
"PRD-00117",2026-05-18,"Pagi","Line-A","OP07","M-02","Shaft",258,249,6,40,51
"PRD-00118",2026-05-19,"Pagi","Line-A","OP05","M-01","Housing",323,343,13,5,44.8
"PRD-00119",2026-05-20,"Pagi","Line-A","OP08","M-02","Housing",390,394,8,48,41.7
"PRD-00120",2026-05-21,"Pagi","Line-A","OP04","M-02","Shaft",304,266,13,16,60
"PRD-00121",2026-05-22,"Pagi","Line-A","OP08","M-01","Housing",374,365,5,10,43.7
"PRD-00122",2026-05-23,"Pagi","Line-A","OP06","M-02","Bracket",435,410,12,44,46.5
"PRD-00123",2026-05-25,"Pagi","Line-A","OP04","M-02","Shaft",350,355,19,18,59.2
"PRD-00124",2026-05-26,"Pagi","Line-A","OP06","M-02","Housing",381,351,23,18,49.7
"PRD-00125",2026-05-27,"Pagi","Line-A","OP08","M-01","Bracket",421,415,0,52,49.9
"PRD-00126",2026-05-28,"Pagi","Line-A","OP06","M-02","Housing",348,340,20,17,39.1
"PRD-00127",2026-05-29,"Pagi","Line-A","OP06","M-01","Housing",359,341,10,21,50.4
"PRD-00128",2026-05-30,"Pagi","Line-A","OP03","M-02","Shaft",272,252,8,21,57.9
"PRD-00129",2026-06-01,"Pagi","Line-A","OP03","M-01","Bracket",395,410,9,31,45.6
"PRD-00130",2026-06-02,"Pagi","Line-A","OP02","M-02","Housing",313,334,9,58,41.5
"PRD-00131",2026-06-03,"Pagi","Line-A","OP04","M-02","Bracket",381,370,7,22,40.2
"PRD-00132",2026-06-04,"Pagi","Line-A","OP03","M-02","Shaft",333,313,16,20,55.5
"PRD-00133",2026-06-05,"Pagi","Line-A","OP03","M-02","Bracket",395,428,10,33,45.9
"PRD-00134",2026-06-06,"Pagi","Line-A","OP07","M-02","Shaft",311,317,10,12,44
"PRD-00135",2026-06-08,"Pagi","Line-A","OP08","M-01","Housing",306,256,7,2,52.4
"PRD-00136",2026-06-09,"Pagi","Line-A","OP06","M-01","Bracket",452,433,27,6,42.4
"PRD-00137",2026-06-10,"Pagi","Line-A","OP01","M-01","Bracket",416,393,2,20,40.2
"PRD-00138",2026-06-11,"Pagi","Line-A","OP01","M-02","Housing",372,367,6,29,47.4
"PRD-00139",2026-06-12,"Pagi","Line-A","OP06","M-01","Housing",354,336,11,12,41.7
"PRD-00140",2026-06-13,"Pagi","Line-A","OP08","M-01","Shaft",319,317,4,2,57.8
"PRD-00141",2026-06-15,"Pagi","Line-A","OP05","M-02","Shaft",306,292,9,25,46.2
"PRD-00142",2026-06-16,"Pagi","Line-A","OP04","M-01","Bracket",432,437,24,9,39.5
"PRD-00143",2026-06-17,"Pagi","Line-A","OP07","M-02","Housing",309,263,3,53,40.9
"PRD-00144",2026-06-18,"Pagi","Line-A","OP04","M-01","Housing",352,351,7,14,42.4
"PRD-00145",2026-06-19,"Pagi","Line-A","OP03","M-01","Shaft",272,272,5,26,53.3
"PRD-00146",2026-06-20,"Pagi","Line-A","OP08","M-02","Shaft",310,310,7,14,49.3
"PRD-00147",2026-06-22,"Pagi","Line-A","OP01","M-01","Bracket",493,484,11,12,44
"PRD-00148",2026-06-23,"Pagi","Line-A","OP07","M-02","Housing",328,285,8,62,29.9
"PRD-00149",2026-06-24,"Pagi","Line-A","OP03","M-01","Bracket",405,387,10,27,43.8
"PRD-00150",2026-06-25,"Pagi","Line-A","OP03","M-01","Shaft",290,298,4,7,46
"PRD-00151",2026-06-26,"Pagi","Line-A","OP07","M-01","Bracket",403,371,11,33,38.9
"PRD-00152",2026-06-27,"Pagi","Line-A","OP08","M-01","Housing",373,341,8,6,46.8
"PRD-00153",2026-06-29,"Pagi","Line-A","OP08","M-02","Housing",343,361,5,33,42.5
"PRD-00154",2026-06-30,"Pagi","Line-A","OP05","M-02","Bracket",404,372,14,9,43.2
"PRD-00155",2026-01-02,"Siang","Line-A","OP08","M-01","Shaft",327,306,1,40,51.9
"PRD-00156",2026-01-03,"Siang","Line-A","OP02","M-01","Bracket",423,402,7,61,46.1
"PRD-00157",2026-01-05,"Siang","Line-A","OP06","M-01","Housing",337,361,7,73,44.2
"PRD-00158",2026-01-06,"Siang","Line-A","OP04","M-01","Bracket",437,414,6,22,46.4
"PRD-00159",2026-01-07,"Siang","Line-A","OP04","M-01","Housing",370,365,6,5,46.7
"PRD-00160",2026-01-08,"Siang","Line-A","OP03","M-01","Bracket",414,422,9,49,50.2
"PRD-00161",2026-01-09,"Siang","Line-A","OP07","M-01","Shaft",287,276,3,26,49.7
"PRD-00162",2026-01-10,"Siang","Line-A","OP01","M-02","Housing",348,348,5,74,48.4
"PRD-00163",2026-01-12,"Siang","Line-A","OP03","M-01","Housing",366,373,5,2,56
"PRD-00164",2026-01-13,"Siang","Line-A","OP03","M-02","Shaft",335,345,17,27,46
"PRD-00165",2026-01-14,"Siang","Line-A","OP03","M-01","Bracket",432,440,5,14,47.4
"PRD-00166",2026-01-15,"Siang","Line-A","OP06","M-02","Housing",313,316,15,12,38.2
"PRD-00167",2026-01-16,"Siang","Line-A","OP01","M-01","Bracket",390,364,7,15,49
"PRD-00168",2026-01-17,"Siang","Line-A","OP08","M-02","Bracket",420,416,8,13,50.5
"PRD-00169",2026-01-19,"Siang","Line-A","OP04","M-02","Bracket",435,418,17,8,50.2
"PRD-00170",2026-01-20,"Siang","Line-A","OP01","M-02","Housing",315,269,4,13,43.4
"PRD-00171",2026-01-21,"Siang","Line-A","OP04","M-02","Shaft",319,331,19,13,55.9
"PRD-00172",2026-01-22,"Siang","Line-A","OP01","M-02","Shaft",250,236,2,52,55.4
"PRD-00173",2026-01-23,"Siang","Line-A","OP04","M-01","Housing",382,356,7,9,41.8
"PRD-00174",2026-01-24,"Siang","Line-A","OP05","M-01","Housing",350,377,3,17,51.9
"PRD-00175",2026-01-26,"Siang","Line-A","OP05","M-02","Housing",365,375,6,21,47.1
"PRD-00176",2026-01-27,"Siang","Line-A","OP06","M-01","Housing",377,366,15,8,51.1
"PRD-00177",2026-01-28,"Siang","Line-A","OP03","M-02","Bracket",403,351,9,17,37.6
"PRD-00178",2026-01-29,"Siang","Line-A","OP02","M-02","Housing",352,343,4,26,51.5
"PRD-00179",2026-01-30,"Siang","Line-A","OP01","M-01","Shaft",316,310,5,17,52.9
"PRD-00180",2026-01-31,"Siang","Line-A","OP07","M-02","Shaft",345,377,17,55,54.5
"PRD-00181",2026-02-02,"Siang","Line-A","OP06","M-02","Shaft",312,313,26,53,51.4
"PRD-00182",2026-02-03,"Siang","Line-A","OP02","M-02","Housing",407,384,17,27,46
"PRD-00183",2026-02-04,"Siang","Line-A","OP05","M-02","Bracket",383,371,10,29,39.2
"PRD-00184",2026-02-05,"Siang","Line-A","OP05","M-02","Shaft",328,286,9,25,57.5
"PRD-00185",2026-02-06,"Siang","Line-A","OP06","M-02","Bracket",449,457,24,12,32.6
"PRD-00186",2026-02-07,"Siang","Line-A","OP03","M-02","Shaft",291,271,14,46,51.1
"PRD-00187",2026-02-09,"Siang","Line-A","OP06","M-01","Shaft",311,311,12,34,43.3
"PRD-00188",2026-02-10,"Siang","Line-A","OP07","M-02","Housing",402,396,16,28,52.5
"PRD-00189",2026-02-11,"Siang","Line-A","OP05","M-01","Housing",289,244,2,4,44.1
"PRD-00190",2026-02-12,"Siang","Line-A","OP04","M-01","Shaft",288,281,7,15,53
"PRD-00191",2026-02-13,"Siang","Line-A","OP08","M-01","Shaft",250,257,3,3,50.7
"PRD-00192",2026-02-14,"Siang","Line-A","OP02","M-01","Bracket",390,393,6,4,37.6
"PRD-00193",2026-02-16,"Siang","Line-A","OP05","M-02","Housing",354,345,17,35,40.2
"PRD-00194",2026-02-17,"Siang","Line-A","OP05","M-01","Housing",339,341,4,2,47
"PRD-00195",2026-02-18,"Siang","Line-A","OP06","M-02","Housing",364,346,13,22,55.2
"PRD-00196",2026-02-19,"Siang","Line-A","OP01","M-01","Housing",314,304,4,5,48.7
"PRD-00197",2026-02-20,"Siang","Line-A","OP08","M-02","Shaft",309,297,6,13,52.9
"PRD-00198",2026-02-21,"Siang","Line-A","OP03","M-02","Housing",323,326,16,25,42.2
"PRD-00199",2026-02-23,"Siang","Line-A","OP01","M-02","Bracket",394,367,7,16,41.2
"PRD-00200",2026-02-24,"Siang","Line-A","OP06","M-01","Bracket",444,445,23,35,43.7
"PRD-00201",2026-02-25,"Siang","Line-A","OP05","M-01","Bracket",370,314,8,27,55.9
"PRD-00202",2026-02-26,"Siang","Line-A","OP01","M-01","Bracket",452,411,2,2,40.9
"PRD-00203",2026-02-27,"Siang","Line-A","OP04","M-01","Shaft",273,268,11,23,52.9
"PRD-00204",2026-02-28,"Siang","Line-A","OP06","M-02","Bracket",404,402,15,25,40
"PRD-00205",2026-03-02,"Siang","Line-A","OP05","M-02","Bracket",467,474,20,17,43.2
"PRD-00206",2026-03-03,"Siang","Line-A","OP06","M-01","Bracket",407,366,10,23,39.8
"PRD-00207",2026-03-04,"Siang","Line-A","OP08","M-02","Housing",395,395,4,94,52.5
"PRD-00208",2026-03-05,"Siang","Line-A","OP07","M-02","Bracket",430,419,11,9,42.7
"PRD-00209",2026-03-06,"Siang","Line-A","OP01","M-01","Shaft",306,285,1,12,47.4
"PRD-00210",2026-03-07,"Siang","Line-A","OP01","M-01","Bracket",423,409,5,4,43.7
"PRD-00211",2026-03-09,"Siang","Line-A","OP03","M-02","Housing",352,341,12,14,42.4
"PRD-00212",2026-03-10,"Siang","Line-A","OP07","M-02","Housing",335,329,5,21,49.8
"PRD-00213",2026-03-11,"Siang","Line-A","OP01","M-02","Bracket",448,385,6,35,40.7
"PRD-00214",2026-03-12,"Siang","Line-A","OP04","M-01","Bracket",475,436,10,31,39.6
"PRD-00215",2026-03-13,"Siang","Line-A","OP04","M-02","Shaft",269,253,5,11,54.6
"PRD-00216",2026-03-14,"Siang","Line-A","OP07","M-01","Housing",322,345,2,8,42.7
"PRD-00217",2026-03-16,"Siang","Line-A","OP03","M-02","Shaft",273,280,5,10,49.8
"PRD-00218",2026-03-17,"Siang","Line-A","OP03","M-02","Housing",374,370,14,128,43
"PRD-00219",2026-03-18,"Siang","Line-A","OP08","M-01","Bracket",389,383,4,20,46.8
"PRD-00220",2026-03-19,"Siang","Line-A","OP05","M-02","Shaft",294,265,8,13,60.9
"PRD-00221",2026-03-20,"Siang","Line-A","OP04","M-01","Shaft",270,249,7,2,61.8
"PRD-00222",2026-03-21,"Siang","Line-A","OP02","M-01","Shaft",329,322,4,7,56
"PRD-00223",2026-03-23,"Siang","Line-A","OP07","M-01","Housing",368,358,7,9,39.5
"PRD-00224",2026-03-24,"Siang","Line-A","OP03","M-01","Housing",379,366,10,33,45.2
"PRD-00225",2026-03-25,"Siang","Line-A","OP02","M-01","Bracket",409,342,5,90,46.4
"PRD-00226",2026-03-26,"Siang","Line-A","OP06","M-01","Housing",349,314,6,8,44.5
"PRD-00227",2026-03-27,"Siang","Line-A","OP05","M-01","Bracket",444,439,7,5,45.8
"PRD-00228",2026-03-28,"Siang","Line-A","OP03","M-02","Bracket",412,383,17,9,40.5
"PRD-00229",2026-03-30,"Siang","Line-A","OP05","M-01","Bracket",440,394,0,16,39.1
"PRD-00230",2026-03-31,"Siang","Line-A","OP06","M-01","Housing",368,330,7,0,47.8
"PRD-00231",2026-04-01,"Siang","Line-A","OP01","M-02","Shaft",274,248,4,29,49.3
"PRD-00232",2026-04-02,"Siang","Line-A","OP08","M-02","Housing",356,356,7,32,41.9
"PRD-00233",2026-04-03,"Siang","Line-A","OP06","M-02","Shaft",249,253,8,16,59.5
"PRD-00234",2026-04-04,"Siang","Line-A","OP03","M-02","Housing",352,327,20,20,40.5
"PRD-00235",2026-04-06,"Siang","Line-A","OP01","M-02","Housing",312,313,6,19,39.9
"PRD-00236",2026-04-07,"Siang","Line-A","OP06","M-01","Housing",331,328,10,5,43.5
"PRD-00237",2026-04-08,"Siang","Line-A","OP03","M-02","Bracket",469,467,9,11,56.9
"PRD-00238",2026-04-09,"Siang","Line-A","OP01","M-02","Housing",325,278,13,63,48.3
"PRD-00239",2026-04-10,"Siang","Line-A","OP07","M-02","Shaft",312,306,8,19,53.3
"PRD-00240",2026-04-11,"Siang","Line-A","OP02","M-02","Housing",361,345,5,62,41.2
"PRD-00241",2026-04-13,"Siang","Line-A","OP05","M-02","Bracket",404,385,14,16,37.1
"PRD-00242",2026-04-14,"Siang","Line-A","OP03","M-02","Housing",379,370,6,14,45.9
"PRD-00243",2026-04-15,"Siang","Line-A","OP06","M-02","Bracket",447,459,17,8,42.1
"PRD-00244",2026-04-16,"Siang","Line-A","OP06","M-01","Housing",317,331,9,63,47.7
"PRD-00245",2026-04-17,"Siang","Line-A","OP05","M-02","Bracket",409,392,8,50,40.9
"PRD-00246",2026-04-18,"Siang","Line-A","OP01","M-02","Shaft",298,246,3,40,60.2
"PRD-00247",2026-04-20,"Siang","Line-A","OP05","M-01","Housing",346,328,6,10,50.8
"PRD-00248",2026-04-21,"Siang","Line-A","OP03","M-02","Bracket",387,416,9,10,45.1
"PRD-00249",2026-04-22,"Siang","Line-A","OP06","M-01","Shaft",295,267,13,27,59.8
"PRD-00250",2026-04-23,"Siang","Line-A","OP03","M-02","Housing",345,326,7,12,45.3
"PRD-00251",2026-04-24,"Siang","Line-A","OP08","M-01","Housing",331,309,6,5,49.1
"PRD-00252",2026-04-25,"Siang","Line-A","OP05","M-02","Housing",447,399,4,13,47.1
"PRD-00253",2026-04-27,"Siang","Line-A","OP06","M-01","Housing",381,389,8,2,62.8
"PRD-00254",2026-04-28,"Siang","Line-A","OP07","M-02","Housing",336,327,11,14,47.7
"PRD-00255",2026-04-29,"Siang","Line-A","OP07","M-01","Shaft",276,261,4,1,55.5
"PRD-00256",2026-04-30,"Siang","Line-A","OP01","M-01","Bracket",418,461,5,27,43.3
"PRD-00257",2026-05-01,"Siang","Line-A","OP02","M-01","Bracket",438,449,4,27,48.4
"PRD-00258",2026-05-02,"Siang","Line-A","OP03","M-01","Bracket",390,400,5,6,34.9
"PRD-00259",2026-05-04,"Siang","Line-A","OP04","M-01","Housing",368,371,8,0,42.4
"PRD-00260",2026-05-05,"Siang","Line-A","OP05","M-01","Housing",356,321,4,23,57.8
"PRD-00261",2026-05-06,"Siang","Line-A","OP06","M-02","Housing",363,342,26,10,42.5
"PRD-00262",2026-05-07,"Siang","Line-A","OP03","M-02","Housing",409,395,12,13,50.2
"PRD-00263",2026-05-08,"Siang","Line-A","OP01","M-01","Bracket",476,430,8,22,43
"PRD-00264",2026-05-09,"Siang","Line-A","OP05","M-02","Shaft",335,326,8,38,47
"PRD-00265",2026-05-11,"Siang","Line-A","OP08","M-02","Shaft",309,325,6,19,51.5
"PRD-00266",2026-05-12,"Siang","Line-A","OP01","M-02","Shaft",265,236,6,42,56.4
"PRD-00267",2026-05-13,"Siang","Line-A","OP05","M-02","Bracket",455,480,7,29,41.8
"PRD-00268",2026-05-14,"Siang","Line-A","OP08","M-01","Housing",337,340,6,5,46.9
"PRD-00269",2026-05-15,"Siang","Line-A","OP03","M-01","Bracket",444,483,4,2,40.1
"PRD-00270",2026-05-16,"Siang","Line-A","OP06","M-02","Bracket",379,412,21,22,51
"PRD-00271",2026-05-18,"Siang","Line-A","OP01","M-02","Housing",325,328,5,46,53
"PRD-00272",2026-05-19,"Siang","Line-A","OP07","M-02","Housing",343,371,7,46,42
"PRD-00273",2026-05-20,"Siang","Line-A","OP08","M-02","Bracket",384,387,11,12,39
"PRD-00274",2026-05-21,"Siang","Line-A","OP08","M-02","Housing",336,350,6,31,41.9
"PRD-00275",2026-05-22,"Siang","Line-A","OP03","M-01","Housing",359,380,9,15,49.8
"PRD-00276",2026-05-23,"Siang","Line-A","OP05","M-01","Housing",318,285,5,2,43.6
"PRD-00277",2026-05-25,"Siang","Line-A","OP07","M-01","Shaft",269,261,2,30,45
