"InspectionDate","Line","Product","Operator","Shift","DefectType","Inspected","Defect","CycleTimeSec"
2026-10-28,"A","Panel","OP07","Siang","Scratch",122,2,45.4
2026-11-04,"A","Panel","OP06","Malam","Scratch",114,1,42.2
2026-11-11,"A","Housing","OP06","Malam","Scratch",132,1,51.5
2026-07-01,"B","Bracket","OP05","Malam","Dimension",123,12,49.4
2026-07-08,"B","Panel","OP01","Malam","NONE",113,18,43.1
2026-07-15,"B","Bracket","OP07","Malam","NONE",141,10,40.7
2026-07-22,"B","Panel","OP02","Pagi","Scratch",132,6,48.9
2026-07-29,"B","Bracket","OP05","Malam","Dimension",119,4,43.7
2026-08-05,"B","Bracket","OP02","Siang","Crack",137,7,43.6
2026-08-12,"B","Bracket","OP01","Pagi","Scratch",126,7,43.8
2026-08-19,"B","Panel","OP03","Malam","Dimension",127,13,47.3
2026-08-26,"B","Housing","OP07","Malam","NONE",115,7,51.6
2026-09-02,"B","Panel","OP07","Malam","NONE",127,9,46.7
2026-09-09,"B","Panel","OP03","Pagi","Crack",124,6,40.8
2026-09-16,"B","Panel","OP05","Malam","Dimension",113,2,47.1
2026-09-23,"B","Panel","OP05","Pagi","Scratch",129,7,48
2026-09-30,"B","Panel","OP08","Siang","NONE",121,9,43.6
2026-10-07,"B","Panel","OP03","Pagi","Scratch",121,8,44.9
2026-10-14,"B","Housing","OP01","Pagi","NONE",123,9,45.6
2026-10-21,"B","Panel","OP01","Pagi","Color",121,3,47.1
2026-10-28,"B","Housing","OP03","Siang","Crack",117,9,52.9
2026-11-04,"B","Housing","OP02","Siang","Crack",120,9,51.3
2026-11-11,"B","Housing","OP02","Malam","NONE",116,12,50.2
2026-07-01,"C","Panel","OP06","Siang","Dimension",124,0,38.5
2026-07-08,"C","Panel","OP01","Pagi","Color",124,3,40.2
2026-07-15,"C","Bracket","OP04","Malam","NONE",114,1,47.1
2026-07-22,"C","Panel","OP05","Siang","Scratch",124,4,45.1
2026-07-29,"C","Panel","OP05","Malam","NONE",135,1,43.6
2026-08-05,"C","Housing","OP01","Siang","NONE",105,0,49.2
2026-08-12,"C","Bracket","OP05","Siang","Color",123,5,42
2026-08-19,"C","Panel","OP08","Siang","NONE",131,5,44.6
2026-08-26,"C","Bracket","OP03","Malam","NONE",123,4,44.2
2026-09-02,"C","Panel","OP04","Siang","NONE",131,2,40.2
2026-09-09,"C","Panel","OP05","Siang","NONE",114,1,46.5
2026-09-16,"C","Panel","OP04","Pagi","Crack",123,2,43.9
2026-09-23,"C","Panel","OP04","Pagi","NONE",124,3,46.3
2026-09-30,"C","Panel","OP01","Pagi","Dimension",119,1,45.6
2026-10-07,"C","Bracket","OP02","Pagi","NONE",133,2,45.2
2026-10-14,"C","Housing","OP08","Pagi","NONE",133,4,49.6
2026-10-21,"C","Bracket","OP04","Siang","Scratch",121,4,42
2026-10-28,"C","Housing","OP07","Pagi","NONE",125,7,46.5
2026-11-04,"C","Panel","OP05","Malam","NONE",121,1,46.9
2026-11-11,"C","Panel","OP07","Pagi","Dimension",120,5,41.2
2026-07-01,"A","Bracket","OP02","Siang","Color",124,6,45.5
2026-07-08,"A","Housing","OP01","Malam","Dimension",127,5,55.1
2026-07-15,"A","Panel","OP01","Malam","NONE",122,5,45.2
2026-07-22,"A","Bracket","OP04","Malam","Scratch",119,10,45.6
2026-07-29,"A","Panel","OP01","Siang","NONE",145,9,44.4
2026-08-05,"A","Panel","OP01","Pagi","NONE",132,2,44.1
2026-08-12,"A","Bracket","OP03","Siang","Crack",114,9,40.9
2026-08-19,"A","Bracket","OP04","Siang","NONE",121,8,46.4
2026-08-26,"A","Housing","OP01","Siang","Color",134,6,49.9
2026-09-02,"A","Bracket","OP02","Pagi","Color",129,2,41.3
2026-09-09,"A","Housing","OP04","Siang","Dimension",123,9,51.4
2026-09-16,"A","Bracket","OP08","Malam","Dimension",137,4,46.2
2026-09-23,"A","Bracket","OP08","Pagi","Color",123,0,39.5
2026-09-30,"A","Panel","OP07","Pagi","Dimension",126,3,41
2026-10-07,"A","Housing","OP05","Siang","NONE",115,2,48.8
2026-10-14,"A","Bracket","OP03","Malam","Color",121,6,41.7
2026-10-21,"A","Panel","OP05","Malam","NONE",127,8,45.2
2026-10-28,"A","Bracket","OP05","Malam","Dimension",119,7,47.5
2026-11-04,"A","Bracket","OP05","Pagi","NONE",142,6,40.2
2026-11-11,"A","Panel","OP05","Malam","Color",136,2,43.7
2026-07-01,"B","Bracket","OP07","Pagi","Scratch",117,11,47.2
2026-07-08,"B","Panel","OP01","Siang","Crack",129,11,47
2026-07-15,"B","Panel","OP06","Siang","Scratch",143,9,45.1
2026-07-22,"B","Bracket","OP01","Siang","Scratch",115,7,44.9
2026-07-29,"B","Bracket","OP06","Siang","Crack",130,8,42.6
2026-08-05,"B","Bracket","OP05","Pagi","Dimension",133,5,46.3
2026-08-12,"B","Bracket","OP06","Pagi","Dimension",107,5,45.4
2026-08-19,"B","Panel","OP04","Pagi","NONE",128,9,43.4
2026-08-26,"B","Panel","OP07","Malam","Crack",129,2,47.9
2026-09-02,"B","Bracket","OP05","Pagi","NONE",130,6,41.9
2026-09-09,"B","Panel","OP05","Malam","Scratch",118,4,47
2026-09-16,"B","Panel","OP04","Siang","NONE",139,5,46.3
2026-09-23,"B","Panel","OP03","Siang","NONE",131,7,44.1
2026-09-30,"B","Panel","OP02","Pagi","Scratch",126,20,47.5
2026-10-07,"B","Bracket","OP05","Siang","NONE",103,8,49.3
2026-10-14,"B","Panel","OP04","Pagi","NONE",118,7,45.5
2026-10-21,"B","Housing","OP06","Pagi","Scratch",90,4,50.7
2026-10-28,"B","Panel","OP06","Pagi","Crack",128,12,40.1
2026-11-04,"B","Panel","OP04","Pagi","Dimension",119,5,43.6
2026-11-11,"B","Bracket","OP04","Siang","Dimension",123,10,42.1
2026-07-01,"C","Panel","OP06","Malam","Dimension",119,2,46
2026-07-08,"C","Panel","OP06","Siang","Color",135,1,44
2026-07-15,"C","Panel","OP02","Pagi","Dimension",120,7,44.3
2026-07-22,"C","Bracket","OP01","Siang","NONE",123,4,47.2
2026-07-29,"C","Housing","OP04","Siang","NONE",123,1,50.1
2026-08-05,"C","Panel","OP08","Siang","Scratch",123,3,45.1
2026-08-12,"C","Panel","OP04","Pagi","Scratch",125,2,47.1
2026-08-19,"C","Panel","OP07","Pagi","Dimension",139,5,45.1
2026-08-26,"C","Panel","OP02","Malam","NONE",148,1,43.3
2026-09-02,"C","Panel","OP06","Pagi","Crack",110,3,43.4
2026-09-09,"C","Panel","OP01","Pagi","Scratch",121,4,44
2026-09-16,"C","Bracket","OP07","Malam","Dimension",133,8,45
2026-09-23,"C","Bracket","OP04","Pagi","NONE",138,2,41.9
2026-09-30,"C","Bracket","OP08","Malam","NONE",124,1,46.5
2026-10-07,"C","Panel","OP04","Pagi","Dimension",124,2,44.4
2026-10-14,"C","Bracket","OP05","Siang","Crack",124,4,42.9
2026-10-21,"C","Panel","OP06","Siang","NONE",133,1,40.6
2026-10-28,"C","Bracket","OP05","Pagi","Crack",124,3,43.5
2026-11-04,"C","Housing","OP02","Malam","Crack",117,4,50.2
2026-11-11,"C","Bracket","OP04","Malam","Crack",119,7,44.2
2026-07-01,"A","Bracket","OP05","Malam","NONE",117,7,41.1
2026-07-08,"A","Bracket","OP01","Siang","NONE",125,6,38.2
2026-07-15,"A","Panel","OP03","Malam","Crack",123,2,41.1
2026-07-22,"A","Housing","OP06","Siang","Dimension",135,8,44.3
2026-07-29,"A","Housing","OP07","Pagi","Dimension",118,4,44.2
2026-08-05,"A","Panel","OP08","Pagi","Dimension",122,0,44.4
2026-08-12,"A","Housing","OP07","Malam","NONE",123,2,46.3
2026-08-19,"A","Panel","OP04","Pagi","Dimension",133,4,40
2026-08-26,"A","Panel","OP07","Pagi","NONE",123,3,42.3
2026-09-02,"A","Bracket","OP02","Malam","NONE",127,6,44.5
2026-09-09,"A","Panel","OP08","Siang","Dimension",123,4,40.4
2026-09-16,"A","Bracket","OP04","Siang","Dimension",130,9,43.2
2026-09-23,"A","Bracket","OP05","Pagi","Dimension",132,6,41.4
2026-09-30,"A","Bracket","OP03","Pagi","Dimension",130,5,41.4
2026-10-07,"A","Bracket","OP03","Siang","NONE",119,2,43.3
2026-10-14,"A","Panel","OP04","Siang","Dimension",118,2,45
2026-10-21,"A","Housing","OP07","Pagi","Color",125,5,49.6
2026-10-28,"A","Housing","OP04","Pagi","NONE",120,5,48.3
2026-11-04,"A","Bracket","OP07","Pagi","Scratch",124,3,44
2026-11-11,"A","Housing","OP06","Pagi","Scratch",142,4,48.6
2026-07-01,"B","Panel","OP02","Pagi","Dimension",111,8,45.1
2026-07-08,"B","Panel","OP07","Malam","Dimension",126,1,49.7
2026-07-15,"B","Housing","OP01","Malam","Scratch",132,8,51.8
2026-07-22,"B","Panel","OP02","Pagi","Scratch",124,4,46.3
2026-07-29,"B","Panel","OP06","Malam","Dimension",122,7,46.8
2026-08-05,"B","Panel","OP01","Malam","Crack",129,8,45.7
2026-08-12,"B","Panel","OP08","Pagi","NONE",131,9,42.6
2026-08-19,"B","Housing","OP04","Malam","NONE",116,10,54.4
2026-08-26,"B","Bracket","OP05","Pagi","Crack",123,6,41
2026-09-02,"B","Housing","OP04","Pagi","Scratch",129,8,50.5
2026-09-09,"B","Panel","OP02","Malam","Crack",125,6,45.5
2026-09-16,"B","Bracket","OP01","Siang","NONE",107,3,42.7
2026-09-23,"B","Bracket","OP07","Pagi","NONE",132,12,45.3
2026-09-30,"B","Panel","OP08","Malam","Crack",137,3,44.7
2026-10-07,"B","Panel","OP03","Pagi","NONE",131,4,46.3
2026-10-14,"B","Bracket","OP06","Siang","Crack",125,3,44.6
2026-10-21,"B","Bracket","OP02","Malam","Scratch",130,8,50.2
2026-10-28,"B","Bracket","OP04","Pagi","NONE",117,7,42.4
2026-11-04,"B","Bracket","OP08","Pagi","NONE",122,11,42.5
2026-11-11,"B","Bracket","OP01","Siang","NONE",114,5,43.2
2026-07-01,"C","Panel","OP02","Malam","NONE",105,2,42.6
2026-07-08,"C","Panel","OP07","Siang","Crack",121,5,44.2
2026-07-15,"C","Bracket","OP07","Siang","Scratch",135,4,47.5
2026-07-22,"C","Housing","OP02","Pagi","Dimension",115,0,48.2
2026-07-29,"C","Panel","OP01","Pagi","Scratch",123,10,43.6
2026-08-05,"C","Housing","OP03","Malam","NONE",123,5,48.2
2026-08-12,"C","Bracket","OP04","Siang","NONE",133,2,45.9
2026-08-19,"C","Bracket","OP03","Malam","NONE",122,2,44
2026-08-26,"C","Panel","OP06","Pagi","Scratch",115,1,44.7
2026-09-02,"C","Housing","OP06","Malam","NONE",125,4,49.6
2026-09-09,"C","Panel","OP08","Siang","Dimension",138,8,46.9
2026-09-16,"C","Housing","OP06","Siang","NONE",129,1,47.8
2026-09-23,"C","Bracket","OP08","Malam","NONE",132,2,48.3
2026-09-30,"C","Panel","OP02","Siang","Scratch",126,4,45.5
2026-10-07,"C","Housing","OP06","Malam","Dimension",130,5,52.2
2026-10-14,"C","Housing","OP05","Malam","NONE",129,1,51.8
2026-10-21,"C","Housing","OP06","Malam","NONE",117,1,57.4
2026-10-28,"C","Housing","OP03","Pagi","Dimension",123,4,49.2
2026-11-04,"C","Bracket","OP06","Siang","NONE",128,2,40.7
2026-11-11,"C","Panel","OP07","Pagi","Color",125,6,46
2026-07-01,"A","Bracket","OP03","Siang","NONE",123,4,39.7
2026-07-08,"A","Bracket","OP05","Siang","Crack",129,4,41.3
2026-07-15,"A","Bracket","OP02","Pagi","Dimension",121,5,43.7
2026-07-22,"A","Bracket","OP06","Malam","Scratch",123,3,42.2
2026-07-29,"A","Panel","OP02","Siang","Scratch",130,2,43.8
2026-08-05,"A","Bracket","OP04","Malam","Scratch",124,2,44.4
2026-08-12,"A","Bracket","OP05","Siang","NONE",127,3,41.8
2026-08-19,"A","Panel","OP04","Pagi","NONE",139,3,46.8
2026-08-26,"A","Bracket","OP05","Siang","Crack",117,3,44.5
2026-09-02,"A","Housing","OP05","Pagi","NONE",123,9,48.2
2026-09-09,"A","Bracket","OP04","Siang","Crack",128,4,42.3
2026-09-16,"A","Panel","OP04","Malam","Scratch",128,6,43.1
2026-09-23,"A","Bracket","OP01","Pagi","Scratch",119,1,40.2
2026-09-30,"A","Panel","OP01","Pagi","NONE",126,11,44.5
2026-10-07,"A","Bracket","OP01","Siang","NONE",128,5,40.5
2026-10-14,"A","Bracket","OP05","Siang","NONE",132,4,40.7
2026-10-21,"A","Bracket","OP08","Siang","Dimension",127,2,42.1
2026-10-28,"A","Housing","OP06","Pagi","NONE",127,9,45.8
2026-11-04,"A","Panel","OP04","Pagi","Dimension",133,7,40.9
2026-11-11,"A","Panel","OP03","Siang","Scratch",128,2,39.9
2026-07-01,"B","Panel","OP01","Pagi","Scratch",134,7,43.2
2026-07-08,"B","Housing","OP03","Pagi","Color",128,5,49.5
2026-07-15,"B","Bracket","OP01","Siang","NONE",113,3,40.7
2026-07-22,"B","Bracket","OP06","Malam","Crack",129,5,42.4
2026-07-29,"B","Bracket","OP02","Pagi","NONE",133,7,42.1
2026-08-05,"B","Bracket","OP02","Siang","Crack",127,8,42.6
2026-08-12,"B","Bracket","OP03","Siang","Crack",127,4,46.1
2026-08-19,"B","Bracket","OP04","Malam","Color",131,9,46.6
2026-08-26,"B","Panel","OP04","Siang","Crack",140,10,46.5
2026-09-02,"B","Panel","OP01","Pagi","Dimension",99,6,41.8
2026-09-09,"B","Housing","OP08","Siang","Crack",130,15,52.1
2026-09-16,"B","Housing","OP06","Pagi","Scratch",127,8,48.8
2026-09-23,"B","Panel","OP07","Siang","Crack",109,9,47
2026-09-30,"B","Housing","OP05","Pagi","Crack",123,12,51.3
2026-10-07,"B","Panel","OP01","Pagi","Crack",131,1,44.3
2026-10-14,"B","Panel","OP02","Pagi","Scratch",129,8,45.7
2026-10-21,"B","Bracket","OP05","Pagi","NONE",128,8,44.5
2026-10-28,"B","Bracket","OP03","Pagi","Dimension",108,11,46.3
2026-11-04,"B","Bracket","OP03","Malam","Dimension",127,8,44
2026-11-11,"B","Bracket","OP05","Malam","Crack",135,9,42.7
2026-07-01,"C","Bracket","OP07","Siang","NONE",116,4,43.2
2026-07-08,"C","Housing","OP01","Malam","Dimension",115,5,52.4
2026-07-15,"C","Bracket","OP03","Pagi","NONE",123,3,42.6
2026-07-22,"C","Bracket","OP04","Siang","NONE",141,6,40.3
2026-07-29,"C","Bracket","OP05","Malam","NONE",109,2,42.1
2026-08-05,"C","Panel","OP04","Pagi","NONE",146,3,41.1
2026-08-12,"C","Housing","OP03","Malam","Color",130,5,51.9
2026-08-19,"C","Panel","OP04","Siang","NONE",130,5,44.1
2026-08-26,"C","Bracket","OP06","Malam","NONE",124,6,46.5
2026-09-02,"C","Panel","OP06","Siang","Scratch",128,1,39.2
2026-09-09,"C","Panel","OP08","Malam","Dimension",127,3,46.1
2026-09-16,"C","Panel","OP02","Pagi","NONE",129,6,43
2026-09-23,"C","Panel","OP05","Pagi","Color",123,4,46.8
2026-09-30,"C","Panel","OP06","Pagi","NONE",109,0,44.2
2026-10-07,"C","Housing","OP06","Siang","Color",118,0,51.5
2026-10-14,"C","Panel","OP04","Malam","NONE",129,5,43.2
2026-10-21,"C","Bracket","OP03","Pagi","NONE",108,1,42
2026-10-28,"C","Housing","OP05","Pagi","Scratch",129,3,51.5
2026-11-04,"C","Housing","OP03","Pagi","NONE",129,2,48.3
2026-11-11,"C","Housing","OP01","Malam","NONE",127,0,50.4
2026-07-01,"A","Panel","OP03","Malam","NONE",126,0,45.3
2026-07-08,"A","Bracket","OP07","Malam","Crack",115,2,42.9
2026-07-15,"A","Panel","OP06","Malam","Dimension",144,12,43.4
2026-07-22,"A","Panel","OP01","Pagi","NONE",117,3,44.8
2026-07-29,"A","Panel","OP02","Pagi","NONE",134,5,40.8
2026-08-05,"A","Bracket","OP08","Siang","NONE",132,7,38.3
2026-08-12,"A","Housing","OP05","Malam","Color",134,6,50.9
2026-08-19,"A","Panel","OP05","Malam","Color",126,8,45.3
2026-08-26,"A","Bracket","OP02","Malam","NONE",116,9,46.6
2026-09-02,"A","Panel","OP02","Siang","NONE",124,3,42.5
2026-09-09,"A","Bracket","OP07","Siang","Crack",129,4,42
2026-09-16,"A","Panel","OP06","Pagi","NONE",118,6,43.3
2026-09-23,"A","Panel","OP04","Malam","Scratch",132,9,49.2
2026-09-30,"A","Bracket","OP08","Malam","Crack",127,8,43.8
2026-10-07,"A","Bracket","OP03","Siang","Dimension",133,5,44.3
2026-10-14,"A","Bracket","OP06","Siang","Dimension",144,4,45.3
2026-10-21,"A","Bracket","OP01","Malam","Color",135,2,44
2026-10-28,"A","Bracket","OP08","Pagi","Scratch",131,5,39.1
2026-11-04,"A","Housing","OP02","Siang","NONE",130,2,52.6
2026-11-11,"A","Bracket","OP05","Pagi","Color",113,6,41.9
2026-07-01,"B","Panel","OP02","Siang","Dimension",132,7,46.1
2026-07-08,"B","Bracket","OP02","Malam","Crack",132,11,46.1
2026-07-15,"B","Panel","OP04","Siang","Scratch",127,13,49
2026-07-22,"B","Bracket","OP01","Siang","Scratch",125,1,42.6
2026-07-29,"B","Panel","OP02","Siang","Scratch",122,10,47
2026-08-05,"B","Panel","OP05","Pagi","Dimension",126,2,48.2
2026-08-12,"B","Bracket","OP06","Siang","NONE",132,5,46.2
2026-08-19,"B","Bracket","OP03","Malam","Scratch",128,8,45.9
2026-08-26,"B","Bracket","OP04","Siang","NONE",124,4,49.2
2026-09-02,"B","Panel","OP06","Pagi","Crack",119,9,48.5
2026-09-09,"B","Bracket","OP07","Malam","Color",133,3,46.5
2026-09-16,"B","Housing","OP04","Siang","Scratch",116,1,49.1
2026-09-23,"B","Bracket","OP05","Siang","Scratch",118,6,45.5
2026-09-30,"B","Bracket","OP05","Pagi","Dimension",128,5,48.6
2026-10-07,"B","Bracket","OP08","Pagi","Scratch",136,7,44.9
2026-10-14,"B","Housing","OP06","Siang","Scratch",131,12,52.1
2026-10-21,"B","Bracket","OP03","Siang","NONE",134,4,43.4
2026-10-28,"B","Panel","OP03","Malam","Crack",125,13,45
2026-11-04,"B","Panel","OP08","Siang","Scratch",139,6,52.3
