"ProductionID","Tanggal","Shift","Line","Operator","Mesin","Produk","TargetProduksi","AktualProduksi","JumlahCacat","DowntimeMenit","CycleTimeDetik","DefectRatePct","PencapaianPct","Bulan","Hari"
"PRD-00030",2026-02-05,"Pagi","Line-A","OP05","M-02","Housing",313,302,4,25,39.7,1.32,96.5,"2026-02","Thursday"
"PRD-00031",2026-02-06,"Pagi","Line-A","OP04","M-01","Housing",348,292,4,19,46.4,1.37,83.9,"2026-02","Friday"
"PRD-00032",2026-02-07,"Pagi","Line-A","OP07","M-02","Bracket",426,439,15,8,42.2,3.42,103.1,"2026-02","Saturday"
"PRD-00033",2026-02-09,"Pagi","Line-A","OP04","M-01","Shaft",249,248,11,47,54.9,4.44,99.6,"2026-02","Monday"
"PRD-00034",2026-02-10,"Pagi","Line-A","OP05","M-02","Housing",327,324,6,14,42.2,1.85,99.1,"2026-02","Tuesday"
"PRD-00035",2026-02-11,"Pagi","Line-A","OP04","M-02","Housing",325,315,12,58,48,3.81,96.9,"2026-02","Wednesday"
"PRD-00036",2026-02-12,"Pagi","Line-A","OP03","M-02","Bracket",426,420,10,73,43.5,2.38,98.6,"2026-02","Thursday"
"PRD-00037",2026-02-13,"Pagi","Line-A","OP03","M-01","Bracket",399,388,8,3,60.2,2.06,97.2,"2026-02","Friday"
"PRD-00038",2026-02-14,"Pagi","Line-A","OP07","M-01","Shaft",326,311,8,22,54.2,2.57,95.4,"2026-02","Saturday"
"PRD-00039",2026-02-16,"Pagi","Line-A","OP04","M-02","Housing",354,361,14,12,49.6,3.88,102,"2026-02","Monday"
"PRD-00040",2026-02-17,"Pagi","Line-A","OP06","M-01","Shaft",285,273,9,36,56.1,3.3,95.8,"2026-02","Tuesday"
"PRD-00041",2026-02-18,"Pagi","Line-A","OP08","M-01","Bracket",428,379,2,0,45.4,0.53,88.6,"2026-02","Wednesday"
"PRD-00042",2026-02-19,"Pagi","Line-A","OP01","M-01","Bracket",384,321,9,6,48.1,2.8,83.6,"2026-02","Thursday"
"PRD-00043",2026-02-20,"Pagi","Line-A","OP03","M-01","Housing",288,290,8,6,46.4,2.76,100.7,"2026-02","Friday"
"PRD-00044",2026-02-21,"Pagi","Line-A","OP03","M-01","Housing",337,323,6,30,41.4,1.86,95.8,"2026-02","Saturday"
"PRD-00045",2026-02-23,"Pagi","Line-A","OP08","M-01","Housing",365,334,6,1,44.2,1.8,91.5,"2026-02","Monday"
"PRD-00046",2026-02-24,"Pagi","Line-A","OP05","M-01","Bracket",384,367,7,37,42.6,1.91,95.6,"2026-02","Tuesday"
"PRD-00047",2026-02-25,"Pagi","Line-A","OP07","M-01","Bracket",392,325,10,35,47.1,3.08,82.9,"2026-02","Wednesday"
"PRD-00048",2026-02-26,"Pagi","Line-A","OP03","M-01","Shaft",342,344,6,1,53.1,1.74,100.6,"2026-02","Thursday"
"PRD-00049",2026-02-27,"Pagi","Line-A","OP04","M-01","Bracket",374,342,7,18,45.4,2.05,91.4,"2026-02","Friday"
"PRD-00050",2026-02-28,"Pagi","Line-A","OP05","M-02","Housing",318,369,7,24,55.6,1.9,116,"2026-02","Saturday"
"PRD-00051",2026-03-02,"Pagi","Line-A","OP02","M-02","Bracket",450,459,10,48,51.6,2.18,102,"2026-03","Monday"
"PRD-00052",2026-03-03,"Pagi","Line-A","OP01","M-02","Bracket",474,462,5,49,48.1,1.08,97.5,"2026-03","Tuesday"
"PRD-00053",2026-03-04,"Pagi","Line-A","OP02","M-02","Housing",384,372,4,9,31.9,1.08,96.9,"2026-03","Wednesday"
"PRD-00054",2026-03-05,"Pagi","Line-A","OP06","M-02","Shaft",299,311,23,24,51.6,7.4,104,"2026-03","Thursday"
"PRD-00055",2026-03-06,"Pagi","Line-A","OP02","M-01","Shaft",298,249,6,41,46.2,2.41,83.6,"2026-03","Friday"
"PRD-00056",2026-03-07,"Pagi","Line-A","OP04","M-01","Bracket",408,435,4,20,44.6,0.92,106.6,"2026-03","Saturday"
"PRD-00057",2026-03-09,"Pagi","Line-A","OP03","M-01","Housing",363,324,7,0,44.6,2.16,89.3,"2026-03","Monday"
"PRD-00058",2026-03-10,"Pagi","Line-A","OP06","M-02","Shaft",351,358,26,51,46.5,7.26,102,"2026-03","Tuesday"
"PRD-00059",2026-03-11,"Pagi","Line-A","OP04","M-01","Bracket",421,421,11,5,49.2,2.61,100,"2026-03","Wednesday"
"PRD-00060",2026-03-12,"Pagi","Line-A","OP05","M-01","Shaft",320,299,4,11,51.9,1.34,93.4,"2026-03","Thursday"
"PRD-00061",2026-03-13,"Pagi","Line-A","OP05","M-01","Shaft",335,345,10,20,59.5,2.9,103,"2026-03","Friday"
"PRD-00062",2026-03-14,"Pagi","Line-A","OP03","M-01","Bracket",412,410,14,17,37.2,3.41,99.5,"2026-03","Saturday"
"PRD-00063",2026-03-16,"Pagi","Line-A","OP04","M-02","Bracket",443,414,17,31,38.2,4.11,93.5,"2026-03","Monday"
"PRD-00064",2026-03-17,"Pagi","Line-A","OP01","M-02","Housing",339,330,7,35,46.5,2.12,97.3,"2026-03","Tuesday"
"PRD-00065",2026-03-18,"Pagi","Line-A","OP05","M-02","Housing",359,341,5,46,41.3,1.47,95,"2026-03","Wednesday"
"PRD-00066",2026-03-19,"Pagi","Line-A","OP06","M-01","Housing",318,284,8,13,49.9,2.82,89.3,"2026-03","Thursday"
"PRD-00067",2026-03-20,"Pagi","Line-A","OP06","M-02","Bracket",440,434,14,13,46.5,3.23,98.6,"2026-03","Friday"
"PRD-00068",2026-03-21,"Pagi","Line-A","OP02","M-01","Housing",283,296,4,30,46.8,1.35,104.6,"2026-03","Saturday"
"PRD-00069",2026-03-23,"Pagi","Line-A","OP04","M-01","Bracket",449,360,16,18,37.6,4.44,80.2,"2026-03","Monday"
"PRD-00070",2026-03-24,"Pagi","Line-A","OP01","M-01","Housing",389,394,6,25,42.7,1.52,101.3,"2026-03","Tuesday"
"PRD-00071",2026-03-25,"Pagi","Line-A","OP03","M-01","Shaft",275,245,5,3,58.3,2.04,89.1,"2026-03","Wednesday"
"PRD-00072",2026-03-26,"Pagi","Line-A","OP01","M-01","Housing",403,378,10,27,54.1,2.65,93.8,"2026-03","Thursday"
"PRD-00073",2026-03-27,"Pagi","Line-A","OP05","M-01","Housing",352,324,5,2,43.6,1.54,92,"2026-03","Friday"
"PRD-00074",2026-03-28,"Pagi","Line-A","OP03","M-01","Shaft",299,267,7,10,51.4,2.62,89.3,"2026-03","Saturday"
"PRD-00075",2026-03-30,"Pagi","Line-A","OP05","M-01","Bracket",432,416,15,1,42.1,3.61,96.3,"2026-03","Monday"
"PRD-00076",2026-03-31,"Pagi","Line-A","OP08","M-02","Bracket",409,358,4,24,40.8,1.12,87.5,"2026-03","Tuesday"
"PRD-00077",2026-04-01,"Pagi","Line-A","OP04","M-02","Bracket",435,421,10,30,38,2.38,96.8,"2026-04","Wednesday"
"PRD-00078",2026-04-02,"Pagi","Line-A","OP04","M-02","Bracket",397,383,12,10,37.2,3.13,96.5,"2026-04","Thursday"
"PRD-00079",2026-04-03,"Pagi","Line-A","OP04","M-02","Housing",311,256,11,31,32.8,4.3,82.3,"2026-04","Friday"
"PRD-00080",2026-04-04,"Pagi","Line-A","OP04","M-01","Shaft",324,299,9,18,61.5,3.01,92.3,"2026-04","Saturday"
"PRD-00081",2026-04-06,"Pagi","Line-A","OP06","M-01","Housing",328,297,13,12,49.5,4.38,90.5,"2026-04","Monday"
"PRD-00082",2026-04-07,"Pagi","Line-A","OP06","M-01","Bracket",401,380,12,4,35.6,3.16,94.8,"2026-04","Tuesday"
"PRD-00083",2026-04-08,"Pagi","Line-A","OP07","M-02","Housing",384,387,9,25,42,2.33,100.8,"2026-04","Wednesday"
"PRD-00084",2026-04-09,"Pagi","Line-A","OP04","M-01","Bracket",454,447,20,18,42.5,4.47,98.5,"2026-04","Thursday"
"PRD-00085",2026-04-10,"Pagi","Line-A","OP01","M-02","Shaft",331,321,7,15,55,2.18,97,"2026-04","Friday"
"PRD-00086",2026-04-11,"Pagi","Line-A","OP01","M-02","Bracket",407,441,7,17,42.9,1.59,108.4,"2026-04","Saturday"
"PRD-00087",2026-04-13,"Pagi","Line-A","OP08","M-02","Bracket",406,415,3,32,43.4,0.72,102.2,"2026-04","Monday"
"PRD-00088",2026-04-14,"Pagi","Line-A","OP08","M-01","Housing",342,380,1,6,41.2,0.26,111.1,"2026-04","Tuesday"
"PRD-00089",2026-04-15,"Pagi","Line-A","OP04","M-01","Housing",326,274,5,77,56.5,1.82,84,"2026-04","Wednesday"
"PRD-00090",2026-04-16,"Pagi","Line-A","OP04","M-02","Shaft",289,261,12,38,45.9,4.6,90.3,"2026-04","Thursday"
"PRD-00091",2026-04-17,"Pagi","Line-A","OP06","M-01","Housing",351,352,14,13,44,3.98,100.3,"2026-04","Friday"
"PRD-00092",2026-04-18,"Pagi","Line-A","OP01","M-02","Bracket",450,418,9,24,38,2.15,92.9,"2026-04","Saturday"
"PRD-00093",2026-04-20,"Pagi","Line-A","OP05","M-02","Bracket",446,424,4,14,46.4,0.94,95.1,"2026-04","Monday"
"PRD-00094",2026-04-21,"Pagi","Line-A","OP05","M-01","Housing",341,327,13,33,51.2,3.98,95.9,"2026-04","Tuesday"
"PRD-00095",2026-04-22,"Pagi","Line-A","OP03","M-01","Shaft",304,329,7,1,51.1,2.13,108.2,"2026-04","Wednesday"
"PRD-00096",2026-04-23,"Pagi","Line-A","OP08","M-02","Bracket",313,297,10,10,43.1,3.37,94.9,"2026-04","Thursday"
"PRD-00097",2026-04-24,"Pagi","Line-A","OP08","M-01","Bracket",348,332,3,0,51.1,0.9,95.4,"2026-04","Friday"
"PRD-00098",2026-04-25,"Pagi","Line-A","OP06","M-02","Bracket",408,361,26,27,39.4,7.2,88.5,"2026-04","Saturday"
"PRD-00099",2026-04-27,"Pagi","Line-A","OP05","M-01","Shaft",291,265,7,53,54.3,2.64,91.1,"2026-04","Monday"
"PRD-00100",2026-04-28,"Pagi","Line-A","OP06","M-01","Bracket",429,432,10,18,47.2,2.31,100.7,"2026-04","Tuesday"
"PRD-00101",2026-04-29,"Pagi","Line-A","OP03","M-02","Shaft",335,307,12,18,54.3,3.91,91.6,"2026-04","Wednesday"
"PRD-00102",2026-04-30,"Pagi","Line-A","OP06","M-02","Bracket",395,409,6,12,47.8,1.47,103.5,"2026-04","Thursday"
"PRD-00103",2026-05-01,"Pagi","Line-A","OP07","M-01","Bracket",419,423,8,14,50.8,1.89,101,"2026-05","Friday"
"PRD-00104",2026-05-02,"Pagi","Line-A","OP03","M-02","Bracket",387,407,15,112,30,3.69,105.2,"2026-05","Saturday"
"PRD-00105",2026-05-04,"Pagi","Line-A","OP03","M-02","Bracket",371,377,6,10,42.8,1.59,101.6,"2026-05","Monday"
"PRD-00106",2026-05-05,"Pagi","Line-A","OP01","M-01","Shaft",307,311,0,3,63.6,0,101.3,"2026-05","Tuesday"
"PRD-00107",2026-05-06,"Pagi","Line-A","OP04","M-02","Bracket",431,391,12,16,57.4,3.07,90.7,"2026-05","Wednesday"
"PRD-00108",2026-05-07,"Pagi","Line-A","OP06","M-02","Housing",325,317,11,10,36.2,3.47,97.5,"2026-05","Thursday"
"PRD-00109",2026-05-08,"Pagi","Line-A","OP04","M-02","Housing",364,369,15,13,44.6,4.07,101.4,"2026-05","Friday"
"PRD-00110",2026-05-09,"Pagi","Line-A","OP02","M-01","Bracket",425,395,5,3,56.6,1.27,92.9,"2026-05","Saturday"
"PRD-00111",2026-05-11,"Pagi","Line-A","OP01","M-01","Housing",373,350,5,13,44.4,1.43,93.8,"2026-05","Monday"
"PRD-00112",2026-05-12,"Pagi","Line-A","OP05","M-01","Bracket",454,439,6,6,45.4,1.37,96.7,"2026-05","Tuesday"
"PRD-00113",2026-05-13,"Pagi","Line-A","OP08","M-01","Bracket",407,400,6,10,48.7,1.5,98.3,"2026-05","Wednesday"
"PRD-00114",2026-05-14,"Pagi","Line-A","OP07","M-01","Bracket",433,415,10,13,44.2,2.41,95.8,"2026-05","Thursday"
"PRD-00115",2026-05-15,"Pagi","Line-A","OP04","M-02","Shaft",312,315,18,34,48.6,5.71,101,"2026-05","Friday"
"PRD-00116",2026-05-16,"Pagi","Line-A","OP02","M-01","Bracket",398,378,11,1,45.6,2.91,95,"2026-05","Saturday"
"PRD-00117",2026-05-18,"Pagi","Line-A","OP07","M-02","Shaft",258,249,6,40,51,2.41,96.5,"2026-05","Monday"
"PRD-00118",2026-05-19,"Pagi","Line-A","OP05","M-01","Housing",323,343,13,5,44.8,3.79,106.2,"2026-05","Tuesday"
"PRD-00119",2026-05-20,"Pagi","Line-A","OP08","M-02","Housing",390,394,8,48,41.7,2.03,101,"2026-05","Wednesday"
"PRD-00120",2026-05-21,"Pagi","Line-A","OP04","M-02","Shaft",304,266,13,16,60,4.89,87.5,"2026-05","Thursday"
"PRD-00121",2026-05-22,"Pagi","Line-A","OP08","M-01","Housing",374,365,5,10,43.7,1.37,97.6,"2026-05","Friday"
"PRD-00122",2026-05-23,"Pagi","Line-A","OP06","M-02","Bracket",435,410,12,44,46.5,2.93,94.3,"2026-05","Saturday"
"PRD-00123",2026-05-25,"Pagi","Line-A","OP04","M-02","Shaft",350,355,19,18,59.2,5.35,101.4,"2026-05","Monday"
"PRD-00124",2026-05-26,"Pagi","Line-A","OP06","M-02","Housing",381,351,23,18,49.7,6.55,92.1,"2026-05","Tuesday"
"PRD-00125",2026-05-27,"Pagi","Line-A","OP08","M-01","Bracket",421,415,0,52,49.9,0,98.6,"2026-05","Wednesday"
"PRD-00126",2026-05-28,"Pagi","Line-A","OP06","M-02","Housing",348,340,20,17,39.1,5.88,97.7,"2026-05","Thursday"
"PRD-00127",2026-05-29,"Pagi","Line-A","OP06","M-01","Housing",359,341,10,21,50.4,2.93,95,"2026-05","Friday"
"PRD-00128",2026-05-30,"Pagi","Line-A","OP03","M-02","Shaft",272,252,8,21,57.9,3.17,92.6,"2026-05","Saturday"
"PRD-00129",2026-06-01,"Pagi","Line-A","OP03","M-01","Bracket",395,410,9,31,45.6,2.2,103.8,"2026-06","Monday"
"PRD-00130",2026-06-02,"Pagi","Line-A","OP02","M-02","Housing",313,334,9,58,41.5,2.69,106.7,"2026-06","Tuesday"
"PRD-00131",2026-06-03,"Pagi","Line-A","OP04","M-02","Bracket",381,370,7,22,40.2,1.89,97.1,"2026-06","Wednesday"
"PRD-00132",2026-06-04,"Pagi","Line-A","OP03","M-02","Shaft",333,313,16,20,55.5,5.11,94,"2026-06","Thursday"
"PRD-00133",2026-06-05,"Pagi","Line-A","OP03","M-02","Bracket",395,428,10,33,45.9,2.34,108.4,"2026-06","Friday"
"PRD-00134",2026-06-06,"Pagi","Line-A","OP07","M-02","Shaft",311,317,10,12,44,3.15,101.9,"2026-06","Saturday"
"PRD-00135",2026-06-08,"Pagi","Line-A","OP08","M-01","Housing",306,256,7,2,52.4,2.73,83.7,"2026-06","Monday"
"PRD-00136",2026-06-09,"Pagi","Line-A","OP06","M-01","Bracket",452,433,27,6,42.4,6.24,95.8,"2026-06","Tuesday"
"PRD-00137",2026-06-10,"Pagi","Line-A","OP01","M-01","Bracket",416,393,2,20,40.2,0.51,94.5,"2026-06","Wednesday"
"PRD-00138",2026-06-11,"Pagi","Line-A","OP01","M-02","Housing",372,367,6,29,47.4,1.63,98.7,"2026-06","Thursday"
"PRD-00139",2026-06-12,"Pagi","Line-A","OP06","M-01","Housing",354,336,11,12,41.7,3.27,94.9,"2026-06","Friday"
"PRD-00140",2026-06-13,"Pagi","Line-A","OP08","M-01","Shaft",319,317,4,2,57.8,1.26,99.4,"2026-06","Saturday"
"PRD-00141",2026-06-15,"Pagi","Line-A","OP05","M-02","Shaft",306,292,9,25,46.2,3.08,95.4,"2026-06","Monday"
"PRD-00142",2026-06-16,"Pagi","Line-A","OP04","M-01","Bracket",432,437,24,9,39.5,5.49,101.2,"2026-06","Tuesday"
"PRD-00143",2026-06-17,"Pagi","Line-A","OP07","M-02","Housing",309,263,3,53,40.9,1.14,85.1,"2026-06","Wednesday"
"PRD-00144",2026-06-18,"Pagi","Line-A","OP04","M-01","Housing",352,351,7,14,42.4,1.99,99.7,"2026-06","Thursday"
"PRD-00145",2026-06-19,"Pagi","Line-A","OP03","M-01","Shaft",272,272,5,26,53.3,1.84,100,"2026-06","Friday"
"PRD-00146",2026-06-20,"Pagi","Line-A","OP08","M-02","Shaft",310,310,7,14,49.3,2.26,100,"2026-06","Saturday"
"PRD-00147",2026-06-22,"Pagi","Line-A","OP01","M-01","Bracket",493,484,11,12,44,2.27,98.2,"2026-06","Monday"
"PRD-00148",2026-06-23,"Pagi","Line-A","OP07","M-02","Housing",328,285,8,62,29.9,2.81,86.9,"2026-06","Tuesday"
"PRD-00149",2026-06-24,"Pagi","Line-A","OP03","M-01","Bracket",405,387,10,27,43.8,2.58,95.6,"2026-06","Wednesday"
"PRD-00150",2026-06-25,"Pagi","Line-A","OP03","M-01","Shaft",290,298,4,7,46,1.34,102.8,"2026-06","Thursday"
"PRD-00151",2026-06-26,"Pagi","Line-A","OP07","M-01","Bracket",403,371,11,33,38.9,2.96,92.1,"2026-06","Friday"
"PRD-00152",2026-06-27,"Pagi","Line-A","OP08","M-01","Housing",373,341,8,6,46.8,2.35,91.4,"2026-06","Saturday"
"PRD-00153",2026-06-29,"Pagi","Line-A","OP08","M-02","Housing",343,361,5,33,42.5,1.39,105.2,"2026-06","Monday"
"PRD-00154",2026-06-30,"Pagi","Line-A","OP05","M-02","Bracket",404,372,14,9,43.2,3.76,92.1,"2026-06","Tuesday"
"PRD-00155",2026-01-02,"Siang","Line-A","OP08","M-01","Shaft",327,306,1,40,51.9,0.33,93.6,"2026-01","Friday"
"PRD-00156",2026-01-03,"Siang","Line-A","OP02","M-01","Bracket",423,402,7,61,46.1,1.74,95,"2026-01","Saturday"
"PRD-00157",2026-01-05,"Siang","Line-A","OP06","M-01","Housing",337,361,7,73,44.2,1.94,107.1,"2026-01","Monday"
"PRD-00158",2026-01-06,"Siang","Line-A","OP04","M-01","Bracket",437,414,6,22,46.4,1.45,94.7,"2026-01","Tuesday"
"PRD-00159",2026-01-07,"Siang","Line-A","OP04","M-01","Housing",370,365,6,5,46.7,1.64,98.6,"2026-01","Wednesday"
"PRD-00160",2026-01-08,"Siang","Line-A","OP03","M-01","Bracket",414,422,9,49,50.2,2.13,101.9,"2026-01","Thursday"
"PRD-00161",2026-01-09,"Siang","Line-A","OP07","M-01","Shaft",287,276,3,26,49.7,1.09,96.2,"2026-01","Friday"
"PRD-00162",2026-01-10,"Siang","Line-A","OP01","M-02","Housing",348,348,5,74,48.4,1.44,100,"2026-01","Saturday"
"PRD-00163",2026-01-12,"Siang","Line-A","OP03","M-01","Housing",366,373,5,2,56,1.34,101.9,"2026-01","Monday"
"PRD-00164",2026-01-13,"Siang","Line-A","OP03","M-02","Shaft",335,345,17,27,46,4.93,103,"2026-01","Tuesday"
"PRD-00165",2026-01-14,"Siang","Line-A","OP03","M-01","Bracket",432,440,5,14,47.4,1.14,101.9,"2026-01","Wednesday"
"PRD-00166",2026-01-15,"Siang","Line-A","OP06","M-02","Housing",313,316,15,12,38.2,4.75,101,"2026-01","Thursday"
"PRD-00167",2026-01-16,"Siang","Line-A","OP01","M-01","Bracket",390,364,7,15,49,1.92,93.3,"2026-01","Friday"
"PRD-00168",2026-01-17,"Siang","Line-A","OP08","M-02","Bracket",420,416,8,13,50.5,1.92,99,"2026-01","Saturday"
"PRD-00169",2026-01-19,"Siang","Line-A","OP04","M-02","Bracket",435,418,17,8,50.2,4.07,96.1,"2026-01","Monday"
"PRD-00170",2026-01-20,"Siang","Line-A","OP01","M-02","Housing",315,269,4,13,43.4,1.49,85.4,"2026-01","Tuesday"
"PRD-00171",2026-01-21,"Siang","Line-A","OP04","M-02","Shaft",319,331,19,13,55.9,5.74,103.8,"2026-01","Wednesday"
"PRD-00172",2026-01-22,"Siang","Line-A","OP01","M-02","Shaft",250,236,2,52,55.4,0.85,94.4,"2026-01","Thursday"
"PRD-00173",2026-01-23,"Siang","Line-A","OP04","M-01","Housing",382,356,7,9,41.8,1.97,93.2,"2026-01","Friday"
"PRD-00174",2026-01-24,"Siang","Line-A","OP05","M-01","Housing",350,377,3,17,51.9,0.8,107.7,"2026-01","Saturday"
"PRD-00175",2026-01-26,"Siang","Line-A","OP05","M-02","Housing",365,375,6,21,47.1,1.6,102.7,"2026-01","Monday"
"PRD-00176",2026-01-27,"Siang","Line-A","OP06","M-01","Housing",377,366,15,8,51.1,4.1,97.1,"2026-01","Tuesday"
"PRD-00177",2026-01-28,"Siang","Line-A","OP03","M-02","Bracket",403,351,9,17,37.6,2.56,87.1,"2026-01","Wednesday"
"PRD-00178",2026-01-29,"Siang","Line-A","OP02","M-02","Housing",352,343,4,26,51.5,1.17,97.4,"2026-01","Thursday"
"PRD-00179",2026-01-30,"Siang","Line-A","OP01","M-01","Shaft",316,310,5,17,52.9,1.61,98.1,"2026-01","Friday"
"PRD-00180",2026-01-31,"Siang","Line-A","OP07","M-02","Shaft",345,377,17,55,54.5,4.51,109.3,"2026-01","Saturday"
"PRD-00181",2026-02-02,"Siang","Line-A","OP06","M-02","Shaft",312,313,26,53,51.4,8.31,100.3,"2026-02","Monday"
"PRD-00182",2026-02-03,"Siang","Line-A","OP02","M-02","Housing",407,384,17,27,46,4.43,94.3,"2026-02","Tuesday"
"PRD-00183",2026-02-04,"Siang","Line-A","OP05","M-02","Bracket",383,371,10,29,39.2,2.7,96.9,"2026-02","Wednesday"
"PRD-00184",2026-02-05,"Siang","Line-A","OP05","M-02","Shaft",328,286,9,25,57.5,3.15,87.2,"2026-02","Thursday"
"PRD-00185",2026-02-06,"Siang","Line-A","OP06","M-02","Bracket",449,457,24,12,32.6,5.25,101.8,"2026-02","Friday"
"PRD-00186",2026-02-07,"Siang","Line-A","OP03","M-02","Shaft",291,271,14,46,51.1,5.17,93.1,"2026-02","Saturday"
"PRD-00187",2026-02-09,"Siang","Line-A","OP06","M-01","Shaft",311,311,12,34,43.3,3.86,100,"2026-02","Monday"
"PRD-00188",2026-02-10,"Siang","Line-A","OP07","M-02","Housing",402,396,16,28,52.5,4.04,98.5,"2026-02","Tuesday"
"PRD-00189",2026-02-11,"Siang","Line-A","OP05","M-01","Housing",289,244,2,4,44.1,0.82,84.4,"2026-02","Wednesday"
"PRD-00190",2026-02-12,"Siang","Line-A","OP04","M-01","Shaft",288,281,7,15,53,2.49,97.6,"2026-02","Thursday"
"PRD-00191",2026-02-13,"Siang","Line-A","OP08","M-01","Shaft",250,257,3,3,50.7,1.17,102.8,"2026-02","Friday"
"PRD-00192",2026-02-14,"Siang","Line-A","OP02","M-01","Bracket",390,393,6,4,37.6,1.53,100.8,"2026-02","Saturday"
"PRD-00193",2026-02-16,"Siang","Line-A","OP05","M-02","Housing",354,345,17,35,40.2,4.93,97.5,"2026-02","Monday"
"PRD-00194",2026-02-17,"Siang","Line-A","OP05","M-01","Housing",339,341,4,2,47,1.17,100.6,"2026-02","Tuesday"
"PRD-00195",2026-02-18,"Siang","Line-A","OP06","M-02","Housing",364,346,13,22,55.2,3.76,95.1,"2026-02","Wednesday"
"PRD-00196",2026-02-19,"Siang","Line-A","OP01","M-01","Housing",314,304,4,5,48.7,1.32,96.8,"2026-02","Thursday"
"PRD-00197",2026-02-20,"Siang","Line-A","OP08","M-02","Shaft",309,297,6,13,52.9,2.02,96.1,"2026-02","Friday"
