"Tanggal","Produksi","Cacat","DefectRatePct","DowntimeMnt"
2026-04-13,1978,51,2.58,133
2026-04-14,1890,27,1.43,61
2026-04-15,2251,78,3.47,163
2026-04-16,2090,63,3.01,191
2026-04-17,1960,53,2.7,145
2026-04-18,1889,48,2.54,200
2026-04-20,2190,62,2.83,84
2026-04-21,2176,46,2.11,112
2026-04-22,1969,56,2.84,91
2026-04-23,1972,50,2.54,65
2026-04-24,1956,50,2.56,76
2026-04-25,2062,68,3.3,100
2026-04-27,1828,46,2.52,225
2026-04-28,2194,40,1.82,180
2026-04-29,1984,63,3.18,95
2026-04-30,2090,27,1.29,120
2026-05-01,2078,40,1.92,95
2026-05-02,2284,60,2.63,206
2026-05-04,2188,47,2.15,60
2026-05-05,2041,44,2.16,74
2026-05-06,2225,70,3.15,58
2026-05-07,1945,52,2.67,100
2026-05-08,1968,55,2.79,134
2026-05-09,2168,56,2.58,166
2026-05-11,1967,35,1.78,95
2026-05-12,1984,64,3.23,113
2026-05-13,2210,42,1.9,150
2026-05-14,2058,53,2.58,84
2026-05-15,2064,54,2.62,107
2026-05-16,1923,72,3.74,108
2026-05-18,1894,60,3.17,181
2026-05-19,2081,43,2.07,196
2026-05-20,2103,56,2.66,120
2026-05-21,1993,54,2.71,132
2026-05-22,1986,51,2.57,107
2026-05-23,2066,60,2.9,260
2026-05-25,1872,64,3.42,149
2026-05-26,2003,74,3.69,65
2026-05-27,1994,45,2.26,148
2026-05-28,2075,47,2.27,103
2026-05-29,2240,67,2.99,159
2026-05-30,2028,46,2.27,124
2026-06-01,2053,61,2.97,137
2026-06-02,2290,58,2.53,142
2026-06-03,2118,54,2.55,93
2026-06-04,1945,55,2.83,180
2026-06-05,2082,41,1.97,95
2026-06-06,1786,44,2.46,147
2026-06-08,1863,49,2.63,138
2026-06-09,2479,71,2.86,51
2026-06-10,1919,33,1.72,84
2026-06-11,2060,38,1.84,211
2026-06-12,2130,61,2.86,91
2026-06-13,2025,78,3.85,159
2026-06-15,2033,51,2.51,134
2026-06-16,1963,46,2.34,187
2026-06-17,1844,60,3.25,193
2026-06-18,1917,34,1.77,118
2026-06-19,1756,53,3.02,117
2026-06-20,1927,46,2.39,160
2026-06-22,2465,80,3.25,122
2026-06-23,1987,71,3.57,130
2026-06-24,2189,65,2.97,102
2026-06-25,1884,34,1.8,209
2026-06-26,2136,64,3,158
2026-06-27,2246,36,1.6,100
2026-06-29,1946,42,2.16,164
2026-06-30,1916,44,2.3,107
