"ProductionID","Tanggal","Shift","Line","MachineID","OperatorID","Product","PlannedTime","RunTime","DowntimeMin","Output","Defect","IdealCycleSec","CycleTimeSec"
"PRD-00046",2026-06-06,"Malam","Line-A","M-01","OP02","Housing",420,408,12,10689,333,2,2.29
"PRD-00047",2026-06-06,"Malam","Line-B","M-03","OP08","Housing",420,401,19,10610,389,2,2.27
"PRD-00048",2026-06-06,"Malam","Line-C","M-06","OP01","Bracket",420,412,8,11483,467,1.8,2.15
"PRD-00049",2026-06-06,"Pagi","Line-A","M-02","OP09","Bracket",450,425,25,12599,264,1.8,2.02
"PRD-00050",2026-06-06,"Pagi","Line-B","M-04","OP01","Housing",450,410,40,11155,396,2,2.21
"PRD-00051",2026-06-06,"Pagi","Line-C","M-05","OP06","Housing",450,440,10,12280,308,2,2.15
"PRD-00052",2026-06-06,"Sore","Line-A","M-01","OP02","Bracket",450,444,6,14402,248,1.8,1.85
"PRD-00053",2026-06-06,"Sore","Line-B","M-04","OP10","Bracket",450,349,101,10563,228,1.8,1.98
"PRD-00054",2026-06-06,"Sore","Line-C","M-06","OP03","Shaft",450,393,57,10247,230,2.2,2.3
"PRD-00055",2026-06-08,"Malam","Line-A","M-01","OP09","Shaft",420,406,14,9278,292,2.2,2.63
"PRD-00056",2026-06-08,"Malam","Line-B","M-04","OP09","Housing",420,333,87,7622,298,2,2.62
"PRD-00057",2026-06-08,"Malam","Line-C","M-06","OP06","Bracket",420,407,13,11972,419,1.8,2.04
"PRD-00058",2026-06-08,"Pagi","Line-A","M-02","OP10","Housing",450,450,0,12154,409,2,2.22
"PRD-00059",2026-06-08,"Pagi","Line-B","M-04","OP02","Bracket",450,437,13,13241,340,1.8,1.98
"PRD-00060",2026-06-08,"Pagi","Line-C","M-05","OP04","Shaft",450,406,44,10531,185,2.2,2.31
"PRD-00061",2026-06-08,"Sore","Line-A","M-02","OP07","Bracket",450,447,3,12361,364,1.8,2.17
"PRD-00062",2026-06-08,"Sore","Line-B","M-03","OP08","Bracket",450,437,13,13412,274,1.8,1.95
"PRD-00063",2026-06-08,"Sore","Line-C","M-06","OP03","Housing",450,401,49,11332,274,2,2.12
"PRD-00064",2026-06-09,"Malam","Line-A","M-02","OP10","Bracket",420,372,48,9793,299,1.8,2.28
"PRD-00065",2026-06-09,"Malam","Line-B","M-03","OP01","Bracket",420,406,14,12008,434,1.8,2.03
"PRD-00066",2026-06-09,"Malam","Line-C","M-06","OP09","Housing",420,335,85,8664,250,2,2.32
"PRD-00067",2026-06-09,"Pagi","Line-A","M-01","OP05","Housing",450,449,1,12203,337,2,2.21
"PRD-00068",2026-06-09,"Pagi","Line-B","M-03","OP08","Bracket",450,445,5,14195,370,1.8,1.88
"PRD-00069",2026-06-09,"Pagi","Line-C","M-06","OP05","Housing",450,436,14,11922,266,2,2.19
"PRD-00070",2026-06-09,"Sore","Line-A","M-02","OP10","Shaft",450,417,33,9622,180,2.2,2.6
"PRD-00071",2026-06-09,"Sore","Line-B","M-03","OP09","Housing",450,437,13,12033,200,2,2.18
"PRD-00072",2026-06-09,"Sore","Line-C","M-06","OP10","Shaft",450,437,13,10922,240,2.2,2.4
"PRD-00073",2026-06-10,"Malam","Line-A","M-01","OP01","Housing",420,412,8,10168,341,2,2.43
"PRD-00074",2026-06-10,"Malam","Line-B","M-03","OP10","Shaft",420,385,35,8640,281,2.2,2.67
"PRD-00075",2026-06-10,"Malam","Line-C","M-06","OP05","Housing",420,389,31,9844,502,2,2.37
"PRD-00076",2026-06-10,"Pagi","Line-A","M-01","OP02","Shaft",450,437,13,11458,217,2.2,2.29
"PRD-00077",2026-06-10,"Pagi","Line-B","M-04","OP04","Shaft",450,422,28,10670,169,2.2,2.37
"PRD-00078",2026-06-10,"Pagi","Line-C","M-05","OP10","Housing",450,424,26,11691,233,2,2.18
"PRD-00079",2026-06-10,"Sore","Line-A","M-01","OP09","Bracket",450,428,22,14205,279,1.8,1.81
"PRD-00080",2026-06-10,"Sore","Line-B","M-04","OP10","Bracket",450,440,10,13055,278,1.8,2.02
"PRD-00081",2026-06-10,"Sore","Line-C","M-05","OP05","Housing",450,443,7,12852,333,2,2.07
"PRD-00082",2026-06-11,"Malam","Line-A","M-01","OP05","Housing",420,412,8,10789,373,2,2.29
"PRD-00083",2026-06-11,"Malam","Line-B","M-03","OP10","Shaft",420,402,18,8978,264,2.2,2.69
"PRD-00084",2026-06-11,"Malam","Line-C","M-05","OP01","Shaft",420,398,22,9557,259,2.2,2.5
"PRD-00085",2026-06-11,"Pagi","Line-A","M-02","OP04","Bracket",450,339,111,10575,178,1.8,1.92
"PRD-00086",2026-06-11,"Pagi","Line-B","M-03","OP04","Bracket",450,444,6,14226,231,1.8,1.87
"PRD-00087",2026-06-11,"Pagi","Line-C","M-05","OP01","Bracket",450,438,12,13674,365,1.8,1.92
"PRD-00088",2026-06-11,"Sore","Line-A","M-01","OP05","Bracket",450,443,7,13362,272,1.8,1.99
"PRD-00089",2026-06-11,"Sore","Line-B","M-03","OP06","Housing",450,435,15,12870,428,2,2.03
"PRD-00090",2026-06-11,"Sore","Line-C","M-05","OP03","Housing",450,434,16,12694,420,2,2.05
"PRD-00091",2026-06-12,"Malam","Line-A","M-02","OP05","Bracket",420,405,15,10178,448,1.8,2.39
"PRD-00092",2026-06-12,"Malam","Line-B","M-04","OP02","Shaft",420,375,45,8237,343,2.2,2.73
"PRD-00093",2026-06-12,"Malam","Line-C","M-05","OP05","Shaft",420,400,20,8999,256,2.2,2.67
"PRD-00094",2026-06-12,"Pagi","Line-A","M-01","OP09","Housing",450,447,3,13569,365,2,1.98
"PRD-00095",2026-06-12,"Pagi","Line-B","M-03","OP08","Bracket",450,438,12,14747,364,1.8,1.78
"PRD-00096",2026-06-12,"Pagi","Line-C","M-05","OP07","Housing",450,448,2,13200,323,2,2.04
"PRD-00097",2026-06-12,"Sore","Line-A","M-01","OP03","Bracket",450,438,12,14124,358,1.8,1.86
"PRD-00098",2026-06-12,"Sore","Line-B","M-04","OP03","Bracket",450,435,15,12970,353,1.8,2.01
"PRD-00099",2026-06-12,"Sore","Line-C","M-06","OP02","Bracket",450,440,10,14706,265,1.8,1.8
"PRD-00100",2026-06-13,"Malam","Line-A","M-02","OP04","Shaft",420,402,18,8951,369,2.2,2.69
"PRD-00101",2026-06-13,"Malam","Line-B","M-03","OP02","Bracket",420,396,24,11402,340,1.8,2.08
"PRD-00102",2026-06-13,"Malam","Line-C","M-06","OP01","Shaft",420,385,35,8901,332,2.2,2.6
"PRD-00103",2026-06-13,"Pagi","Line-A","M-02","OP02","Housing",450,433,17,11705,388,2,2.22
"PRD-00104",2026-06-13,"Pagi","Line-B","M-03","OP02","Shaft",450,443,7,11118,288,2.2,2.39
"PRD-00105",2026-06-13,"Pagi","Line-C","M-06","OP06","Housing",450,431,19,12084,436,2,2.14
"PRD-00106",2026-06-13,"Sore","Line-A","M-01","OP01","Shaft",450,441,9,11447,238,2.2,2.31
"PRD-00107",2026-06-13,"Sore","Line-B","M-04","OP06","Housing",450,447,3,12221,536,2,2.19
"PRD-00108",2026-06-13,"Sore","Line-C","M-05","OP01","Housing",450,405,45,11076,217,2,2.19
"PRD-00109",2026-06-15,"Malam","Line-A","M-01","OP07","Shaft",420,414,6,9713,252,2.2,2.56
"PRD-00110",2026-06-15,"Malam","Line-B","M-04","OP04","Shaft",420,411,9,9097,338,2.2,2.71
"PRD-00111",2026-06-15,"Malam","Line-C","M-05","OP01","Shaft",420,393,27,9352,302,2.2,2.52
"PRD-00112",2026-06-15,"Pagi","Line-A","M-01","OP04","Bracket",450,442,8,13312,210,1.8,1.99
"PRD-00113",2026-06-15,"Pagi","Line-B","M-03","OP04","Bracket",450,444,6,14325,208,1.8,1.86
"PRD-00114",2026-06-15,"Pagi","Line-C","M-05","OP04","Shaft",450,432,18,11794,143,2.2,2.2
"PRD-00115",2026-06-15,"Sore","Line-A","M-02","OP01","Housing",450,441,9,12066,413,2,2.19
"PRD-00116",2026-06-15,"Sore","Line-B","M-03","OP07","Shaft",450,447,3,11426,230,2.2,2.35
"PRD-00117",2026-06-15,"Sore","Line-C","M-05","OP09","Bracket",450,444,6,14293,289,1.8,1.86
"PRD-00118",2026-06-16,"Malam","Line-A","M-02","OP09","Housing",420,358,62,9086,501,2,2.36
"PRD-00119",2026-06-16,"Malam","Line-B","M-04","OP01","Housing",420,411,9,9927,447,2,2.48
"PRD-00120",2026-06-16,"Malam","Line-C","M-06","OP07","Bracket",420,396,24,11755,206,1.8,2.02
"PRD-00121",2026-06-16,"Pagi","Line-A","M-01","OP09","Housing",450,448,2,12902,333,2,2.08
"PRD-00122",2026-06-16,"Pagi","Line-B","M-03","OP08","Housing",450,429,21,12084,245,2,2.13
"PRD-00123",2026-06-16,"Pagi","Line-C","M-05","OP03","Housing",450,443,7,12541,349,2,2.12
"PRD-00124",2026-06-16,"Sore","Line-A","M-01","OP07","Bracket",450,416,34,13370,254,1.8,1.87
"PRD-00125",2026-06-16,"Sore","Line-B","M-04","OP04","Bracket",450,436,14,13035,297,1.8,2.01
"PRD-00126",2026-06-16,"Sore","Line-C","M-06","OP05","Shaft",450,446,4,11143,225,2.2,2.4
"PRD-00127",2026-06-17,"Malam","Line-A","M-01","OP09","Shaft",420,413,7,9550,325,2.2,2.59
"PRD-00128",2026-06-17,"Malam","Line-B","M-03","OP06","Housing",420,412,8,11053,512,2,2.24
"PRD-00129",2026-06-17,"Malam","Line-C","M-05","OP04","Housing",420,403,17,10243,399,2,2.36
"PRD-00130",2026-06-17,"Pagi","Line-A","M-01","OP07","Housing",450,440,10,12371,265,2,2.13
"PRD-00131",2026-06-17,"Pagi","Line-B","M-03","OP01","Shaft",450,440,10,11795,252,2.2,2.24
"PRD-00132",2026-06-17,"Pagi","Line-C","M-06","OP10","Shaft",450,423,27,11708,129,2.2,2.17
"PRD-00133",2026-06-17,"Sore","Line-A","M-02","OP06","Bracket",450,404,46,12084,335,1.8,2.01
"PRD-00134",2026-06-17,"Sore","Line-B","M-03","OP09","Bracket",450,442,8,14084,204,1.8,1.88
"PRD-00135",2026-06-17,"Sore","Line-C","M-05","OP06","Bracket",450,440,10,14347,361,1.8,1.84
"PRD-00136",2026-06-18,"Malam","Line-A","M-01","OP02","Bracket",420,401,19,10436,232,1.8,2.31
"PRD-00137",2026-06-18,"Malam","Line-B","M-04","OP09","Shaft",420,407,13,9066,321,2.2,2.69
"PRD-00138",2026-06-18,"Malam","Line-C","M-05","OP10","Bracket",420,402,18,11893,299,1.8,2.03
"PRD-00139",2026-06-18,"Pagi","Line-A","M-01","OP10","Housing",450,441,9,12590,262,2,2.1
"PRD-00140",2026-06-18,"Pagi","Line-B","M-03","OP10","Housing",450,417,33,12270,219,2,2.04
"PRD-00141",2026-06-18,"Pagi","Line-C","M-06","OP04","Shaft",450,441,9,11353,180,2.2,2.33
"PRD-00142",2026-06-18,"Sore","Line-A","M-02","OP02","Housing",450,448,2,11925,438,2,2.25
"PRD-00143",2026-06-18,"Sore","Line-B","M-04","OP06","Housing",450,439,11,10611,538,2,2.48
"PRD-00144",2026-06-18,"Sore","Line-C","M-06","OP04","Bracket",450,428,22,13001,334,1.8,1.98
"PRD-00145",2026-06-19,"Malam","Line-A","M-02","OP04","Shaft",420,375,45,8305,253,2.2,2.71
"PRD-00146",2026-06-19,"Malam","Line-B","M-04","OP07","Housing",420,365,55,8799,439,2,2.49
"PRD-00147",2026-06-19,"Malam","Line-C","M-05","OP08","Shaft",420,408,12,9303,233,2.2,2.63
"PRD-00148",2026-06-19,"Pagi","Line-A","M-01","OP10","Bracket",450,432,18,13644,173,1.8,1.9
"PRD-00149",2026-06-19,"Pagi","Line-B","M-03","OP01","Housing",450,427,23,12337,263,2,2.08
"PRD-00150",2026-06-19,"Pagi","Line-C","M-06","OP01","Bracket",450,445,5,13711,243,1.8,1.95
"PRD-00151",2026-06-19,"Sore","Line-A","M-01","OP10","Shaft",450,447,3,11251,175,2.2,2.38
"PRD-00152",2026-06-19,"Sore","Line-B","M-04","OP05","Bracket",450,431,19,13054,315,1.8,1.98
"PRD-00153",2026-06-19,"Sore","Line-C","M-06","OP09","Shaft",450,429,21,11335,345,2.2,2.27
"PRD-00154",2026-06-20,"Malam","Line-A","M-02","OP01","Housing",420,404,16,9951,575,2,2.44
"PRD-00155",2026-06-20,"Malam","Line-B","M-03","OP10","Bracket",420,410,10,11327,216,1.8,2.17
"PRD-00156",2026-06-20,"Malam","Line-C","M-06","OP07","Housing",420,403,17,10648,380,2,2.27
"PRD-00157",2026-06-20,"Pagi","Line-A","M-02","OP05","Shaft",450,408,42,9850,253,2.2,2.49
"PRD-00158",2026-06-20,"Pagi","Line-B","M-03","OP10","Housing",450,445,5,12502,297,2,2.14
"PRD-00159",2026-06-20,"Pagi","Line-C","M-06","OP02","Bracket",450,429,21,13473,190,1.8,1.91
"PRD-00160",2026-06-20,"Sore","Line-A","M-01","OP04","Housing",450,447,3,12241,235,2,2.19
"PRD-00161",2026-06-20,"Sore","Line-B","M-04","OP03","Housing",450,421,29,11490,391,2,2.2
"PRD-00162",2026-06-20,"Sore","Line-C","M-06","OP10","Bracket",450,408,42,12849,176,1.8,1.91
"PRD-00163",2026-06-22,"Malam","Line-A","M-02","OP06","Shaft",420,341,79,7492,364,2.2,2.73
"PRD-00164",2026-06-22,"Malam","Line-B","M-03","OP07","Housing",420,402,18,10175,306,2,2.37
"PRD-00165",2026-06-22,"Malam","Line-C","M-06","OP03","Housing",420,390,30,10325,465,2,2.27
"PRD-00166",2026-06-22,"Pagi","Line-A","M-02","OP06","Housing",450,434,16,11531,479,2,2.26
"PRD-00167",2026-06-22,"Pagi","Line-B","M-03","OP02","Bracket",450,440,10,13532,257,1.8,1.95
"PRD-00168",2026-06-22,"Pagi","Line-C","M-06","OP05","Housing",450,423,27,12265,302,2,2.07
"PRD-00169",2026-06-22,"Sore","Line-A","M-01","OP04","Bracket",450,437,13,12922,246,1.8,2.03
"PRD-00170",2026-06-22,"Sore","Line-B","M-03","OP07","Shaft",450,447,3,11369,192,2.2,2.36
"PRD-00171",2026-06-22,"Sore","Line-C","M-05","OP03","Bracket",450,405,45,13336,347,1.8,1.82
"PRD-00172",2026-06-23,"Malam","Line-A","M-02","OP04","Bracket",420,408,12,10730,337,1.8,2.28
"PRD-00173",2026-06-23,"Malam","Line-B","M-03","OP05","Housing",420,404,16,10477,257,2,2.31
"PRD-00174",2026-06-23,"Malam","Line-C","M-05","OP03","Bracket",420,410,10,11771,486,1.8,2.09
"PRD-00175",2026-06-23,"Pagi","Line-A","M-02","OP05","Shaft",450,382,68,9263,281,2.2,2.47
"PRD-00176",2026-06-23,"Pagi","Line-B","M-04","OP06","Bracket",450,406,44,11177,370,1.8,2.18
"PRD-00177",2026-06-23,"Pagi","Line-C","M-05","OP01","Housing",450,447,3,12780,336,2,2.1
"PRD-00178",2026-06-23,"Sore","Line-A","M-01","OP09","Shaft",450,431,19,11449,320,2.2,2.26
"PRD-00179",2026-06-23,"Sore","Line-B","M-03","OP10","Shaft",450,435,15,11370,224,2.2,2.3
"PRD-00180",2026-06-23,"Sore","Line-C","M-05","OP04","Bracket",450,448,2,13965,179,1.8,1.92
"PRD-00181",2026-06-24,"Malam","Line-A","M-01","OP05","Shaft",420,410,10,9471,275,2.2,2.6
"PRD-00182",2026-06-24,"Malam","Line-B","M-03","OP03","Housing",420,408,12,10042,464,2,2.44
"PRD-00183",2026-06-24,"Malam","Line-C","M-05","OP02","Shaft",420,373,47,8554,363,2.2,2.62
"PRD-00184",2026-06-24,"Pagi","Line-A","M-02","OP07","Bracket",450,373,77,10912,207,1.8,2.05
"PRD-00185",2026-06-24,"Pagi","Line-B","M-03","OP02","Housing",450,419,31,11990,306,2,2.1
"PRD-00186",2026-06-24,"Pagi","Line-C","M-05","OP10","Housing",450,426,24,12267,278,2,2.08
"PRD-00187",2026-06-24,"Sore","Line-A","M-02","OP09","Housing",450,365,85,9819,289,2,2.23
"PRD-00188",2026-06-24,"Sore","Line-B","M-04","OP05","Shaft",450,433,17,10764,272,2.2,2.41
"PRD-00189",2026-06-24,"Sore","Line-C","M-06","OP08","Bracket",450,434,16,13415,271,1.8,1.94
"PRD-00190",2026-06-25,"Malam","Line-A","M-02","OP03","Shaft",420,370,50,8068,329,2.2,2.75
"PRD-00191",2026-06-25,"Malam","Line-B","M-04","OP03","Housing",420,363,57,9034,432,2,2.41
"PRD-00192",2026-06-25,"Malam","Line-C","M-06","OP03","Bracket",420,403,17,11611,330,1.8,2.08
"PRD-00193",2026-06-25,"Pagi","Line-A","M-02","OP04","Bracket",450,392,58,12035,297,1.8,1.95
"PRD-00194",2026-06-25,"Pagi","Line-B","M-03","OP02","Bracket",450,443,7,13270,435,1.8,2
"PRD-00195",2026-06-25,"Pagi","Line-C","M-05","OP02","Housing",450,447,3,12237,235,2,2.19
"PRD-00196",2026-06-25,"Sore","Line-A","M-01","OP04","Shaft",450,433,17,11658,211,2.2,2.23
"PRD-00197",2026-06-25,"Sore","Line-B","M-03","OP10","Housing",450,446,4,12662,288,2,2.11
"PRD-00198",2026-06-25,"Sore","Line-C","M-05","OP08","Housing",450,448,2,12610,284,2,2.13
"PRD-00199",2026-06-26,"Malam","Line-A","M-01","OP09","Shaft",420,408,12,9264,280,2.2,2.64
"PRD-00200",2026-06-26,"Malam","Line-B","M-04","OP06","Housing",420,393,27,9745,469,2,2.42
"PRD-00201",2026-06-26,"Malam","Line-C","M-06","OP07","Shaft",420,389,31,9700,263,2.2,2.41
"PRD-00202",2026-06-26,"Pagi","Line-A","M-02","OP09","Housing",450,321,129,8867,353,2,2.17
"PRD-00203",2026-06-26,"Pagi","Line-B","M-03","OP03","Bracket",450,439,11,14889,346,1.8,1.77
"PRD-00204",2026-06-26,"Pagi","Line-C","M-05","OP03","Housing",450,447,3,12994,315,2,2.06
"PRD-00205",2026-06-26,"Sore","Line-A","M-01","OP09","Shaft",450,441,9,11515,220,2.2,2.3
"PRD-00206",2026-06-26,"Sore","Line-B","M-04","OP02","Shaft",450,411,39,10244,210,2.2,2.41
"PRD-00207",2026-06-26,"Sore","Line-C","M-06","OP08","Bracket",450,435,15,13507,287,1.8,1.93
"PRD-00208",2026-06-27,"Malam","Line-A","M-01","OP10","Housing",420,401,19,9867,212,2,2.44
"PRD-00209",2026-06-27,"Malam","Line-B","M-03","OP04","Bracket",420,410,10,11431,181,1.8,2.15
"PRD-00210",2026-06-27,"Malam","Line-C","M-06","OP05","Shaft",420,400,20,9554,217,2.2,2.51
"PRD-00211",2026-06-27,"Pagi","Line-A","M-01","OP02","Bracket",450,423,27,13073,268,1.8,1.94
"PRD-00212",2026-06-27,"Pagi","Line-B","M-04","OP07","Shaft",450,442,8,11193,227,2.2,2.37
"PRD-00213",2026-06-27,"Pagi","Line-C","M-06","OP09","Shaft",450,429,21,10739,260,2.2,2.4
"PRD-00214",2026-06-27,"Sore","Line-A","M-02","OP02","Shaft",450,431,19,10570,256,2.2,2.45
"PRD-00215",2026-06-27,"Sore","Line-B","M-04","OP07","Housing",450,428,22,11010,387,2,2.33
"PRD-00216",2026-06-27,"Sore","Line-C","M-05","OP08","Shaft",450,423,27,11241,205,2.2,2.26
"PRD-00217",2026-06-29,"Malam","Line-A","M-02","OP02","Bracket",420,387,33,10382,490,1.8,2.24
"PRD-00218",2026-06-29,"Malam","Line-B","M-04","OP09","Bracket",420,352,68,9109,274,1.8,2.32
"PRD-00219",2026-06-29,"Malam","Line-C","M-05","OP06","Shaft",420,409,11,9534,252,2.2,2.57
"PRD-00220",2026-06-29,"Pagi","Line-A","M-02","OP05","Bracket",450,315,135,9441,249,1.8,2
"PRD-00221",2026-06-29,"Pagi","Line-B","M-03","OP05","Housing",450,441,9,12323,338,2,2.15
"PRD-00222",2026-06-29,"Pagi","Line-C","M-05","OP05","Housing",450,435,15,12828,302,2,2.03
"PRD-00223",2026-06-29,"Sore","Line-A","M-02","OP10","Shaft",450,370,80,8583,174,2.2,2.59
"PRD-00224",2026-06-29,"Sore","Line-B","M-03","OP02","Housing",450,430,20,12592,348,2,2.05
"PRD-00225",2026-06-29,"Sore","Line-C","M-05","OP10","Bracket",450,432,18,13787,320,1.8,1.88
"PRD-00226",2026-06-30,"Malam","Line-A","M-02","OP01","Housing",420,402,18,9600,550,2,2.51
"PRD-00227",2026-06-30,"Malam","Line-B","M-03","OP06","Housing",420,406,14,10666,477,2,2.28
"PRD-00228",2026-06-30,"Malam","Line-C","M-05","OP03","Shaft",420,388,32,9312,244,2.2,2.5
"PRD-00229",2026-06-30,"Pagi","Line-A","M-01","OP04","Shaft",450,432,18,11556,143,2.2,2.24
"PRD-00230",2026-06-30,"Pagi","Line-B","M-04","OP09","Shaft",450,327,123,7933,184,2.2,2.47
"PRD-00231",2026-06-30,"Pagi","Line-C","M-06","OP04","Housing",450,442,8,12527,269,2,2.12
"PRD-00232",2026-06-30,"Sore","Line-A","M-02","OP05","Shaft",450,398,52,9989,266,2.2,2.39
"PRD-00233",2026-06-30,"Sore","Line-B","M-03","OP08","Bracket",450,429,21,14589,278,1.8,1.76
"PRD-00234",2026-06-30,"Sore","Line-C","M-05","OP02","Housing",450,450,0,13124,308,2,2.06
"PRD-00235",2026-07-01,"Malam","Line-A","M-02","OP01","Shaft",420,394,26,8921,370,2.2,2.65
"PRD-00236",2026-07-01,"Malam","Line-B","M-03","OP03","Shaft",420,366,54,8245,245,2.2,2.66
"PRD-00237",2026-07-01,"Malam","Line-C","M-05","OP07","Shaft",420,411,9,10032,316,2.2,2.46
"PRD-00238",2026-07-01,"Pagi","Line-A","M-02","OP05","Housing",450,356,94,9852,311,2,2.17
"PRD-00239",2026-07-01,"Pagi","Line-B","M-03","OP03","Shaft",450,450,0,11811,217,2.2,2.29
"PRD-00240",2026-07-01,"Pagi","Line-C","M-05","OP02","Housing",450,447,3,12291,395,2,2.18
"PRD-00241",2026-07-01,"Sore","Line-A","M-02","OP10","Shaft",450,443,7,10326,325,2.2,2.57
"PRD-00242",2026-07-01,"Sore","Line-B","M-03","OP07","Housing",450,419,31,12203,276,2,2.06
"PRD-00243",2026-07-01,"Sore","Line-C","M-06","OP09","Bracket",450,448,2,13814,241,1.8,1.95
"PRD-00244",2026-07-02,"Malam","Line-A","M-01","OP09","Shaft",420,401,19,9626,365,2.2,2.5
"PRD-00245",2026-07-02,"Malam","Line-B","M-04","OP06","Shaft",420,401,19,8645,542,2.2,2.78
"PRD-00246",2026-07-02,"Malam","Line-C","M-05","OP05","Bracket",420,409,11,12354,390,1.8,1.99
