"Tanggal","Mesin","Shift","Breakdown","Penyebab","WaktuPerbaikanMenit","DowntimeTerencana","DowntimeMenit","UnitsProduced"
2025-01-04,"M-03","Malam",0,"Preventive OK",0,0,0,862
2025-01-04,"M-03","Pagi",0,"Preventive OK",0,0,0,759
2025-01-04,"M-03","Siang",0,"Preventive OK",0,0,0,920
2025-01-04,"M-04","Malam",0,"Preventive OK",0,0,0,806
2025-01-04,"M-04","Pagi",0,"Preventive OK",0,0,0,813
2025-01-04,"M-04","Siang",0,"Preventive OK",0,0,0,775
2025-01-04,"M-05","Malam",1,"Preventive OK",18,0,18,427
2025-01-04,"M-05","Pagi",0,"Preventive OK",0,0,0,352
2025-01-04,"M-05","Siang",0,"Preventive OK",0,0,0,344
2025-01-04,"M-06","Malam",1,"Bearing Failure",14,0,14,362
2025-01-04,"M-06","Pagi",0,"Preventive OK",0,0,0,432
2025-01-04,"M-06","Siang",0,"Preventive OK",0,0,0,429
2025-01-06,"M-01","Malam",0,"Preventive OK",0,30,30,853
2025-01-06,"M-01","Pagi",0,"Preventive OK",0,30,30,804
2025-01-06,"M-01","Siang",0,"Preventive OK",0,30,30,781
2025-01-06,"M-02","Malam",0,"Preventive OK",0,30,30,788
2025-01-06,"M-02","Pagi",1,"Bearing Failure",19,30,49,721
2025-01-06,"M-02","Siang",0,"Preventive OK",0,30,30,875
2025-01-06,"M-03","Malam",0,"Preventive OK",0,30,30,781
2025-01-06,"M-03","Pagi",0,"Preventive OK",0,30,30,767
2025-01-06,"M-03","Siang",0,"Preventive OK",0,30,30,785
2025-01-06,"M-04","Malam",0,"Preventive OK",0,30,30,879
2025-01-06,"M-04","Pagi",0,"Preventive OK",0,30,30,957
2025-01-06,"M-04","Siang",0,"Preventive OK",0,30,30,943
2025-01-06,"M-05","Malam",0,"Preventive OK",0,30,30,319
2025-01-06,"M-05","Pagi",1,"Bearing Failure",24,30,54,390
2025-01-06,"M-05","Siang",0,"Preventive OK",0,30,30,399
2025-01-06,"M-06","Malam",0,"Preventive OK",0,30,30,385
2025-01-06,"M-06","Pagi",0,"Preventive OK",0,30,30,427
2025-01-06,"M-06","Siang",0,"Preventive OK",0,30,30,369
2025-01-07,"M-01","Malam",0,"Preventive OK",0,0,0,800
2025-01-07,"M-01","Pagi",0,"Preventive OK",0,0,0,725
2025-01-07,"M-01","Siang",0,"Preventive OK",0,0,0,777
2025-01-07,"M-02","Malam",0,"Preventive OK",0,0,0,805
2025-01-07,"M-02","Pagi",0,"Preventive OK",0,0,0,758
2025-01-07,"M-02","Siang",0,"Preventive OK",0,0,0,819
2025-01-07,"M-03","Malam",0,"Preventive OK",0,0,0,837
2025-01-07,"M-03","Pagi",0,"Preventive OK",0,0,0,865
2025-01-07,"M-03","Siang",0,"Preventive OK",0,0,0,854
2025-01-07,"M-04","Malam",1,"Tool Wear",37,0,37,765
2025-01-07,"M-04","Pagi",0,"Preventive OK",0,0,0,990
2025-01-07,"M-04","Siang",0,"Preventive OK",0,0,0,901
2025-01-07,"M-05","Malam",0,"Preventive OK",0,0,0,331
2025-01-07,"M-05","Pagi",0,"Preventive OK",0,0,0,381
2025-01-07,"M-05","Siang",0,"Preventive OK",0,0,0,433
2025-01-07,"M-06","Malam",0,"Preventive OK",0,0,0,420
2025-01-07,"M-06","Pagi",0,"Preventive OK",0,0,0,453
2025-01-07,"M-06","Siang",0,"Preventive OK",0,0,0,373
2025-01-08,"M-01","Malam",0,"Preventive OK",0,0,0,855
2025-01-08,"M-01","Pagi",0,"Preventive OK",0,0,0,910
2025-01-08,"M-01","Siang",0,"Preventive OK",0,0,0,850
2025-01-08,"M-02","Malam",0,"Preventive OK",0,0,0,859
2025-01-08,"M-02","Pagi",0,"Preventive OK",0,0,0,864
2025-01-08,"M-02","Siang",0,"Preventive OK",0,0,0,811
2025-01-08,"M-03","Malam",0,"Preventive OK",0,0,0,763
2025-01-08,"M-03","Pagi",0,"Preventive OK",0,0,0,803
2025-01-08,"M-03","Siang",0,"Preventive OK",0,0,0,765
2025-01-08,"M-04","Malam",0,"Preventive OK",0,0,0,822
2025-01-08,"M-04","Pagi",1,"Tool Wear",33,0,33,892
2025-01-08,"M-04","Siang",0,"Preventive OK",0,0,0,800
2025-01-08,"M-05","Malam",0,"Preventive OK",0,0,0,391
2025-01-08,"M-05","Pagi",0,"Preventive OK",0,0,0,414
2025-01-08,"M-05","Siang",0,"Preventive OK",0,0,0,412
2025-01-08,"M-06","Malam",0,"Preventive OK",0,0,0,348
2025-01-08,"M-06","Pagi",0,"Preventive OK",0,0,0,413
2025-01-08,"M-06","Siang",0,"Preventive OK",0,0,0,358
2025-01-09,"M-01","Malam",0,"Preventive OK",0,0,0,722
2025-01-09,"M-01","Pagi",0,"Preventive OK",0,0,0,792
2025-01-09,"M-01","Siang",0,"Preventive OK",0,0,0,842
2025-01-09,"M-02","Malam",0,"Preventive OK",0,0,0,807
2025-01-09,"M-02","Pagi",0,"Preventive OK",0,0,0,811
2025-01-09,"M-02","Siang",0,"Preventive OK",0,0,0,877
2025-01-09,"M-03","Malam",0,"Preventive OK",0,0,0,758
2025-01-09,"M-03","Pagi",0,"Preventive OK",0,0,0,888
2025-01-09,"M-03","Siang",0,"Preventive OK",0,0,0,882
2025-01-09,"M-04","Malam",0,"Preventive OK",0,0,0,753
2025-01-09,"M-04","Pagi",0,"Preventive OK",0,0,0,833
2025-01-09,"M-04","Siang",0,"Preventive OK",0,0,0,862
2025-01-09,"M-05","Malam",0,"Preventive OK",0,0,0,425
2025-01-09,"M-05","Pagi",0,"Preventive OK",0,0,0,417
2025-01-09,"M-05","Siang",0,"Preventive OK",0,0,0,416
2025-01-09,"M-06","Malam",0,"Preventive OK",0,0,0,410
2025-01-09,"M-06","Pagi",0,"Preventive OK",0,0,0,426
2025-01-09,"M-06","Siang",0,"Preventive OK",0,0,0,388
2025-01-10,"M-01","Malam",0,"Preventive OK",0,0,0,680
2025-01-10,"M-01","Pagi",0,"Preventive OK",0,0,0,872
2025-01-10,"M-01","Siang",0,"Preventive OK",0,0,0,806
2025-01-10,"M-02","Malam",0,"Preventive OK",0,0,0,699
2025-01-10,"M-02","Pagi",0,"Preventive OK",0,0,0,859
2025-01-10,"M-02","Siang",0,"Preventive OK",0,0,0,893
2025-01-10,"M-03","Malam",0,"Preventive OK",0,0,0,929
2025-01-10,"M-03","Pagi",0,"Preventive OK",0,0,0,691
2025-01-10,"M-03","Siang",0,"Preventive OK",0,0,0,843
2025-01-10,"M-04","Malam",0,"Preventive OK",0,0,0,907
2025-01-10,"M-04","Pagi",1,"Bearing Failure",44,0,44,828
2025-01-10,"M-04","Siang",0,"Preventive OK",0,0,0,796
2025-01-10,"M-05","Malam",0,"Preventive OK",0,0,0,424
2025-01-10,"M-05","Pagi",0,"Preventive OK",0,0,0,353
2025-01-10,"M-05","Siang",1,"Setup & Adjust",39,0,39,346
2025-01-10,"M-06","Malam",0,"Preventive OK",0,0,0,418
2025-01-10,"M-06","Pagi",0,"Preventive OK",0,0,0,398
2025-01-10,"M-06","Siang",0,"Preventive OK",0,0,0,394
2025-01-11,"M-01","Malam",0,"Preventive OK",0,0,0,836
2025-01-11,"M-01","Pagi",0,"Preventive OK",0,0,0,769
2025-01-11,"M-01","Siang",0,"Preventive OK",0,0,0,827
2025-01-11,"M-02","Malam",0,"Preventive OK",0,0,0,894
2025-01-11,"M-02","Pagi",0,"Preventive OK",0,0,0,860
2025-01-11,"M-02","Siang",0,"Preventive OK",0,0,0,807
2025-01-11,"M-03","Malam",0,"Preventive OK",0,0,0,856
2025-01-11,"M-03","Pagi",0,"Preventive OK",0,0,0,792
2025-01-11,"M-03","Siang",0,"Preventive OK",0,0,0,793
2025-01-11,"M-04","Malam",0,"Preventive OK",0,0,0,794
2025-01-11,"M-04","Pagi",0,"Preventive OK",0,0,0,694
2025-01-11,"M-04","Siang",0,"Preventive OK",0,0,0,841
2025-01-11,"M-05","Malam",0,"Preventive OK",0,0,0,419
2025-01-11,"M-05","Pagi",0,"Preventive OK",0,0,0,390
2025-01-11,"M-05","Siang",0,"Preventive OK",0,0,0,409
2025-01-11,"M-06","Malam",0,"Preventive OK",0,0,0,413
2025-01-11,"M-06","Pagi",0,"Preventive OK",0,0,0,419
2025-01-11,"M-06","Siang",0,"Preventive OK",0,0,0,418
2025-01-13,"M-01","Malam",0,"Preventive OK",0,30,30,771
2025-01-13,"M-01","Pagi",0,"Preventive OK",0,30,30,820
2025-01-13,"M-01","Siang",0,"Preventive OK",0,30,30,823
2025-01-13,"M-02","Malam",0,"Preventive OK",0,30,30,862
2025-01-13,"M-02","Pagi",0,"Preventive OK",0,30,30,893
2025-01-13,"M-02","Siang",0,"Preventive OK",0,30,30,753
2025-01-13,"M-03","Malam",0,"Preventive OK",0,30,30,772
2025-01-13,"M-03","Pagi",0,"Preventive OK",0,30,30,874
2025-01-13,"M-03","Siang",0,"Preventive OK",0,30,30,888
2025-01-13,"M-04","Malam",1,"Kelistrikan",24,30,54,773
2025-01-13,"M-04","Pagi",0,"Preventive OK",0,30,30,813
2025-01-13,"M-04","Siang",0,"Preventive OK",0,30,30,823
2025-01-13,"M-05","Malam",0,"Preventive OK",0,30,30,448
2025-01-13,"M-05","Pagi",0,"Preventive OK",0,30,30,408
2025-01-13,"M-05","Siang",0,"Preventive OK",0,30,30,379
2025-01-13,"M-06","Malam",0,"Preventive OK",0,30,30,364
2025-01-13,"M-06","Pagi",0,"Preventive OK",0,30,30,442
2025-01-13,"M-06","Siang",0,"Preventive OK",0,30,30,439
2025-01-14,"M-01","Malam",0,"Preventive OK",0,0,0,825
2025-01-14,"M-01","Pagi",0,"Preventive OK",0,0,0,910
2025-01-14,"M-01","Siang",0,"Preventive OK",0,0,0,911
2025-01-14,"M-02","Malam",0,"Preventive OK",0,0,0,776
2025-01-14,"M-02","Pagi",0,"Preventive OK",0,0,0,750
2025-01-14,"M-02","Siang",1,"Bearing Failure",30,0,30,832
2025-01-14,"M-03","Malam",0,"Preventive OK",0,0,0,832
2025-01-14,"M-03","Pagi",0,"Preventive OK",0,0,0,872
2025-01-14,"M-03","Siang",0,"Preventive OK",0,0,0,766
2025-01-14,"M-04","Malam",0,"Preventive OK",0,0,0,783
2025-01-14,"M-04","Pagi",0,"Preventive OK",0,0,0,948
2025-01-14,"M-04","Siang",0,"Preventive OK",0,0,0,867
2025-01-14,"M-05","Malam",0,"Preventive OK",0,0,0,405
2025-01-14,"M-05","Pagi",0,"Preventive OK",0,0,0,469
2025-01-14,"M-05","Siang",0,"Preventive OK",0,0,0,444
2025-01-14,"M-06","Malam",0,"Preventive OK",0,0,0,404
2025-01-14,"M-06","Pagi",0,"Preventive OK",0,0,0,393
2025-01-14,"M-06","Siang",0,"Preventive OK",0,0,0,464
2025-01-15,"M-01","Malam",0,"Preventive OK",0,0,0,837
2025-01-15,"M-01","Pagi",0,"Preventive OK",0,0,0,764
2025-01-15,"M-01","Siang",0,"Preventive OK",0,0,0,749
2025-01-15,"M-02","Malam",0,"Preventive OK",0,0,0,781
2025-01-15,"M-02","Pagi",0,"Preventive OK",0,0,0,734
2025-01-15,"M-02","Siang",0,"Preventive OK",0,0,0,803
2025-01-15,"M-03","Malam",0,"Preventive OK",0,0,0,841
2025-01-15,"M-03","Pagi",0,"Preventive OK",0,0,0,830
2025-01-15,"M-03","Siang",0,"Preventive OK",0,0,0,763
2025-01-15,"M-04","Malam",0,"Preventive OK",0,0,0,783
2025-01-15,"M-04","Pagi",0,"Preventive OK",0,0,0,800
2025-01-15,"M-04","Siang",0,"Preventive OK",0,0,0,863
2025-01-15,"M-05","Malam",0,"Preventive OK",0,0,0,394
2025-01-15,"M-05","Pagi",0,"Preventive OK",0,0,0,421
2025-01-15,"M-05","Siang",0,"Preventive OK",0,0,0,405
2025-01-15,"M-06","Malam",0,"Preventive OK",0,0,0,401
2025-01-15,"M-06","Pagi",0,"Preventive OK",0,0,0,361
2025-01-15,"M-06","Siang",0,"Preventive OK",0,0,0,390
2025-01-16,"M-01","Malam",0,"Preventive OK",0,0,0,866
2025-01-16,"M-01","Pagi",0,"Preventive OK",0,0,0,673
2025-01-16,"M-01","Siang",0,"Preventive OK",0,0,0,834
2025-01-16,"M-02","Malam",0,"Preventive OK",0,0,0,848
2025-01-16,"M-02","Pagi",0,"Preventive OK",0,0,0,825
2025-01-16,"M-02","Siang",0,"Preventive OK",0,0,0,761
2025-01-16,"M-03","Malam",0,"Preventive OK",0,0,0,886
2025-01-16,"M-03","Pagi",0,"Preventive OK",0,0,0,749
2025-01-16,"M-03","Siang",0,"Preventive OK",0,0,0,848
2025-01-16,"M-04","Malam",0,"Preventive OK",0,0,0,794
2025-01-16,"M-04","Pagi",0,"Preventive OK",0,0,0,726
2025-01-16,"M-04","Siang",0,"Preventive OK",0,0,0,838
2025-01-16,"M-05","Malam",0,"Preventive OK",0,0,0,364
2025-01-16,"M-05","Pagi",0,"Preventive OK",0,0,0,467
2025-01-16,"M-05","Siang",0,"Preventive OK",0,0,0,433
2025-01-16,"M-06","Malam",0,"Preventive OK",0,0,0,395
2025-01-16,"M-06","Pagi",0,"Preventive OK",0,0,0,424
2025-01-16,"M-06","Siang",0,"Preventive OK",0,0,0,442
2025-01-17,"M-01","Malam",0,"Preventive OK",0,0,0,799
2025-01-17,"M-01","Pagi",0,"Preventive OK",0,0,0,796
2025-01-17,"M-01","Siang",1,"Bearing Failure",16,0,16,737
2025-01-17,"M-02","Malam",0,"Preventive OK",0,0,0,802
2025-01-17,"M-02","Pagi",0,"Preventive OK",0,0,0,768
2025-01-17,"M-02","Siang",0,"Preventive OK",0,0,0,862
2025-01-17,"M-03","Malam",0,"Preventive OK",0,0,0,831
2025-01-17,"M-03","Pagi",0,"Preventive OK",0,0,0,757
2025-01-17,"M-03","Siang",0,"Preventive OK",0,0,0,913
2025-01-17,"M-04","Malam",1,"Bearing Failure",16,0,16,797
2025-01-17,"M-04","Pagi",0,"Preventive OK",0,0,0,756
2025-01-17,"M-04","Siang",0,"Preventive OK",0,0,0,844
2025-01-17,"M-05","Malam",0,"Preventive OK",0,0,0,378
2025-01-17,"M-05","Pagi",0,"Preventive OK",0,0,0,387
2025-01-17,"M-05","Siang",0,"Preventive OK",0,0,0,405
2025-01-17,"M-06","Malam",1,"Setup & Adjust",16,0,16,376
2025-01-17,"M-06","Pagi",0,"Preventive OK",0,0,0,444
2025-01-17,"M-06","Siang",0,"Preventive OK",0,0,0,408
2025-01-18,"M-01","Malam",0,"Preventive OK",0,0,0,817
2025-01-18,"M-01","Pagi",0,"Preventive OK",0,0,0,770
2025-01-18,"M-01","Siang",0,"Preventive OK",0,0,0,825
2025-01-18,"M-02","Malam",0,"Preventive OK",0,0,0,901
2025-01-18,"M-02","Pagi",0,"Preventive OK",0,0,0,811
2025-01-18,"M-02","Siang",1,"Bearing Failure",55,0,55,780
2025-01-18,"M-03","Malam",0,"Preventive OK",0,0,0,877
2025-01-18,"M-03","Pagi",0,"Preventive OK",0,0,0,769
2025-01-18,"M-03","Siang",0,"Preventive OK",0,0,0,732
2025-01-18,"M-04","Malam",0,"Preventive OK",0,0,0,785
2025-01-18,"M-04","Pagi",0,"Preventive OK",0,0,0,779
2025-01-18,"M-04","Siang",0,"Preventive OK",0,0,0,886
2025-01-18,"M-05","Malam",0,"Preventive OK",0,0,0,405
2025-01-18,"M-05","Pagi",0,"Preventive OK",0,0,0,453
2025-01-18,"M-05","Siang",0,"Preventive OK",0,0,0,395
2025-01-18,"M-06","Malam",0,"Preventive OK",0,0,0,400
2025-01-18,"M-06","Pagi",0,"Preventive OK",0,0,0,444
2025-01-18,"M-06","Siang",0,"Preventive OK",0,0,0,400
2025-01-20,"M-01","Malam",0,"Preventive OK",0,30,30,769
2025-01-20,"M-01","Pagi",0,"Preventive OK",0,30,30,844
2025-01-20,"M-01","Siang",0,"Preventive OK",0,30,30,813
2025-01-20,"M-02","Malam",0,"Preventive OK",0,30,30,853
2025-01-20,"M-02","Pagi",0,"Preventive OK",0,30,30,822
2025-01-20,"M-02","Siang",0,"Preventive OK",0,30,30,733
2025-01-20,"M-03","Malam",0,"Preventive OK",0,30,30,838
2025-01-20,"M-03","Pagi",0,"Preventive OK",0,30,30,717
2025-01-20,"M-03","Siang",0,"Preventive OK",0,30,30,808
2025-01-20,"M-04","Malam",0,"Preventive OK",0,30,30,702
2025-01-20,"M-04","Pagi",1,"Tool Wear",38,30,68,809
2025-01-20,"M-04","Siang",1,"Kelistrikan",14,30,44,716
2025-01-20,"M-05","Malam",0,"Preventive OK",0,30,30,422
2025-01-20,"M-05","Pagi",0,"Preventive OK",0,30,30,409
2025-01-20,"M-05","Siang",0,"Preventive OK",0,30,30,410
2025-01-20,"M-06","Malam",0,"Preventive OK",0,30,30,418
2025-01-20,"M-06","Pagi",0,"Preventive OK",0,30,30,412
2025-01-20,"M-06","Siang",0,"Preventive OK",0,30,30,423
2025-01-21,"M-01","Malam",0,"Preventive OK",0,0,0,690
2025-01-21,"M-01","Pagi",0,"Preventive OK",0,0,0,723
2025-01-21,"M-01","Siang",0,"Preventive OK",0,0,0,868
2025-01-21,"M-02","Malam",0,"Preventive OK",0,0,0,777
2025-01-21,"M-02","Pagi",0,"Preventive OK",0,0,0,779
2025-01-21,"M-02","Siang",0,"Preventive OK",0,0,0,782
2025-01-21,"M-03","Malam",0,"Preventive OK",0,0,0,876
2025-01-21,"M-03","Pagi",0,"Preventive OK",0,0,0,811
2025-01-21,"M-03","Siang",0,"Preventive OK",0,0,0,907
2025-01-21,"M-04","Malam",0,"Preventive OK",0,0,0,813
2025-01-21,"M-04","Pagi",0,"Preventive OK",0,0,0,792
2025-01-21,"M-04","Siang",0,"Preventive OK",0,0,0,870
2025-01-21,"M-05","Malam",0,"Preventive OK",0,0,0,395
2025-01-21,"M-05","Pagi",1,"Setup & Adjust",28,0,28,366
2025-01-21,"M-05","Siang",0,"Preventive OK",0,0,0,408
2025-01-21,"M-06","Malam",0,"Preventive OK",0,0,0,410
2025-01-21,"M-06","Pagi",0,"Preventive OK",0,0,0,412
2025-01-21,"M-06","Siang",0,"Preventive OK",0,0,0,427
2025-01-22,"M-01","Malam",0,"Preventive OK",0,0,0,726
2025-01-22,"M-01","Pagi",0,"Preventive OK",0,0,0,847
2025-01-22,"M-01","Siang",0,"Preventive OK",0,0,0,746
2025-01-22,"M-02","Malam",0,"Preventive OK",0,0,0,838
2025-01-22,"M-02","Pagi",0,"Preventive OK",0,0,0,687
2025-01-22,"M-02","Siang",0,"Preventive OK",0,0,0,765
2025-01-22,"M-03","Malam",0,"Preventive OK",0,0,0,826
2025-01-22,"M-03","Pagi",0,"Preventive OK",0,0,0,818
2025-01-22,"M-03","Siang",0,"Preventive OK",0,0,0,774
2025-01-22,"M-04","Malam",0,"Preventive OK",0,0,0,857
2025-01-22,"M-04","Pagi",0,"Preventive OK",0,0,0,786
2025-01-22,"M-04","Siang",0,"Preventive OK",0,0,0,702
2025-01-22,"M-05","Malam",0,"Preventive OK",0,0,0,417
2025-01-22,"M-05","Pagi",0,"Preventive OK",0,0,0,402
2025-01-22,"M-05","Siang",0,"Preventive OK",0,0,0,427
2025-01-22,"M-06","Malam",0,"Preventive OK",0,0,0,404
2025-01-22,"M-06","Pagi",0,"Preventive OK",0,0,0,415
2025-01-22,"M-06","Siang",0,"Preventive OK",0,0,0,387
2025-01-23,"M-01","Malam",0,"Preventive OK",0,0,0,846
2025-01-23,"M-01","Pagi",0,"Preventive OK",0,0,0,906
2025-01-23,"M-01","Siang",0,"Preventive OK",0,0,0,801
2025-01-23,"M-02","Malam",1,"Bearing Failure",38,0,38,871
2025-01-23,"M-02","Pagi",0,"Preventive OK",0,0,0,820
2025-01-23,"M-02","Siang",0,"Preventive OK",0,0,0,787
2025-01-23,"M-03","Malam",0,"Preventive OK",0,0,0,863
2025-01-23,"M-03","Pagi",0,"Preventive OK",0,0,0,762
2025-01-23,"M-03","Siang",0,"Preventive OK",0,0,0,761
2025-01-23,"M-04","Malam",0,"Preventive OK",0,0,0,813
2025-01-23,"M-04","Pagi",0,"Preventive OK",0,0,0,825
2025-01-23,"M-04","Siang",0,"Preventive OK",0,0,0,787
2025-01-23,"M-05","Malam",0,"Preventive OK",0,0,0,442
2025-01-23,"M-05","Pagi",0,"Preventive OK",0,0,0,401
2025-01-23,"M-05","Siang",0,"Preventive OK",0,0,0,432
2025-01-23,"M-06","Malam",0,"Preventive OK",0,0,0,404
2025-01-23,"M-06","Pagi",0,"Preventive OK",0,0,0,364
2025-01-23,"M-06","Siang",0,"Preventive OK",0,0,0,414
2025-01-24,"M-01","Malam",0,"Preventive OK",0,0,0,766
2025-01-24,"M-01","Pagi",1,"Bearing Failure",38,0,38,678
2025-01-24,"M-01","Siang",0,"Preventive OK",0,0,0,821
2025-01-24,"M-02","Malam",0,"Preventive OK",0,0,0,809
2025-01-24,"M-02","Pagi",1,"Bearing Failure",30,0,30,816
2025-01-24,"M-02","Siang",0,"Preventive OK",0,0,0,813
2025-01-24,"M-03","Malam",0,"Preventive OK",0,0,0,852
2025-01-24,"M-03","Pagi",0,"Preventive OK",0,0,0,694
2025-01-24,"M-03","Siang",0,"Preventive OK",0,0,0,821
2025-01-24,"M-04","Malam",0,"Preventive OK",0,0,0,791
2025-01-24,"M-04","Pagi",0,"Preventive OK",0,0,0,717
2025-01-24,"M-04","Siang",0,"Preventive OK",0,0,0,809
2025-01-24,"M-05","Malam",0,"Preventive OK",0,0,0,412
2025-01-24,"M-05","Pagi",0,"Preventive OK",0,0,0,408
2025-01-24,"M-05","Siang",1,"Setup & Adjust",33,0,33,375
2025-01-24,"M-06","Malam",0,"Preventive OK",0,0,0,380
2025-01-24,"M-06","Pagi",0,"Preventive OK",0,0,0,403
2025-01-24,"M-06","Siang",0,"Preventive OK",0,0,0,379
2025-01-25,"M-01","Malam",0,"Preventive OK",0,0,0,783
2025-01-25,"M-01","Pagi",0,"Preventive OK",0,0,0,724
2025-01-25,"M-01","Siang",0,"Preventive OK",0,0,0,831
2025-01-25,"M-02","Malam",0,"Preventive OK",0,0,0,857
2025-01-25,"M-02","Pagi",0,"Preventive OK",0,0,0,759
2025-01-25,"M-02","Siang",0,"Preventive OK",0,0,0,738
2025-01-25,"M-03","Malam",0,"Preventive OK",0,0,0,745
2025-01-25,"M-03","Pagi",0,"Preventive OK",0,0,0,824
2025-01-25,"M-03","Siang",0,"Preventive OK",0,0,0,746
2025-01-25,"M-04","Malam",0,"Preventive OK",0,0,0,830
2025-01-25,"M-04","Pagi",0,"Preventive OK",0,0,0,852
2025-01-25,"M-04","Siang",0,"Preventive OK",0,0,0,823
2025-01-25,"M-05","Malam",0,"Preventive OK",0,0,0,408
2025-01-25,"M-05","Pagi",0,"Preventive OK",0,0,0,444
2025-01-25,"M-05","Siang",0,"Preventive OK",0,0,0,386
2025-01-25,"M-06","Malam",0,"Preventive OK",0,0,0,433
2025-01-25,"M-06","Pagi",0,"Preventive OK",0,0,0,486
2025-01-25,"M-06","Siang",0,"Preventive OK",0,0,0,455
2025-01-27,"M-01","Malam",0,"Preventive OK",0,30,30,803
2025-01-27,"M-01","Pagi",0,"Preventive OK",0,30,30,844
2025-01-27,"M-01","Siang",0,"Preventive OK",0,30,30,850
2025-01-27,"M-02","Malam",0,"Preventive OK",0,30,30,916
2025-01-27,"M-02","Pagi",0,"Preventive OK",0,30,30,824
2025-01-27,"M-02","Siang",0,"Preventive OK",0,30,30,825
